country,question_id,evidence_number,document_id,document,page,original_text,classification,evidence_validation_status
africa-do-sul,Q01,1,AF-ZA-02__africa-do-sul_caps_information-technology_grades-10-12.pdf,,29,Use testing and debugging techniques and methods... Planning techniques using any appropriate tools.,Competências,Validado
africa-do-sul,Q01,2,AF-ZA-02__africa-do-sul_caps_information-technology_grades-10-12.pdf,,22,Describe electronic communication... E-mail as a form of e-communication.,Competências,Validado
africa-do-sul,Q01,3,AF-ZA-02__africa-do-sul_caps_information-technology_grades-10-12.pdf,,31,Application Development using a high-level programming language... Apply generic algorithms as part of the solution.,Competências,Validado
africa-do-sul,Q06,1,AF-ZA-03,africa-do-sul_caps_information-technology_grades-10-12.pdf,3,,curricular,validated
africa-do-sul,Q06,2,AF-ZA-03,africa-do-sul_caps_information-technology_grades-10-12.pdf,3,,curricular,validated
australia,Q01,1,OC-AU-01__australia_digital-technologies-v9_sequence-achievement_2022.pdf,,4,,Descrição das competências,confirmado
australia,Q01,2,OC-AU-02__australia_digital-technologies-v9_sequence-content_2022.pdf,,3,,Conteúdo curricular,confirmado
australia,Q06,1,OC-AU-01__australia_digital-technologies-v9_sequence-achievement_2022.pdf,,,,,
australia,Q06,2,OC-AU-02__australia_digital-technologies-v9_sequence-content_2022.pdf,,,,,
brasil,Q01,1,DISC-B08B0A5C-03__brasil_bncc_educacao-basica_completa_2018.pdf,BNCC Educação Básica 2018,1,,Base Nacional Comum Curricular,validada
brasil,Q01,2,DISC-B08B0A5C-08__brasil_guia-educacao-digital-midiatica_2025.pdf,Guia Educação Digital e Midiática 2025,4,,Política Nacional de Educação Digital,validada
brasil,Q01,3,DISC-B08B0A5C-12__brasil_parecer-cne-ceb-2_bncc-computacao_2022.pdf,Parecer CNE sobre BNCC Computação 2022,5,,Diretrizes de Ensino,validada
brasil,Q06,1,DISC-B08B0A5C-03__brasil_bncc_educacao-basica_completa_2018.pdf,,12,"requer o desenvolvimento de competências para aprender a aprender, saber lidar com a informação cada vez mais disponível, atuar com discernimento e responsabilidade nos contextos das culturas digitais, aplicar conhecimentos para resolver problemas, ter autonomia para tomar decisões.",Evidência de prática curricular,confirmada
brasil,Q06,2,DISC-B08B0A5C-04__brasil_bncc_educacao-infantil-ensino-fundamental_2018.pdf,,64,"A BNCC define dez competências gerais comuns às etapas da Educação Básica, as quais expressam os direitos de aprendizagem dos estudantes: [...] exercitar a curiosidade intelectual e recorrer à abordagem própria das ciências, incluindo a investigação, a reflexão, a análise crítica.",Evidência de prática curricular,confirmada
brasil,Q06,3,DISC-B08B0A5C-13__brasil_parecer-cne-cp-15_bncc_2017.pdf,,10,"consultando temas e discussões na esfera pública, envolvendo o entendimento de diversas perspectivas e o desenvolvimento de ações coletivas para a solução de problemas.",Evidência de prática curricular,confirmada
brasil,Q22,1,DISC-B08B0A5C-03__brasil_bncc_educacao-basica_completa_2018.pdf,,154,"Competência é definida como a mobilização de conhecimentos, habilidades, atitudes e valores para resolver demandas complexas da vida cotidiana.",Evidência,validado
brasil,Q22,2,DISC-B08B0A5C-13__brasil_parecer-cne-cp-15_bncc_2017.pdf,,8,"Exercitar a empatia, o diálogo, a resolução de conflitos de forma harmônica e a cooperação.",Evidência,validado
brasil,Q22,3,DISC-B08B0A5C-18__brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025.pdf,,28,A cidadania digital deve ser considerada como dimensão estruturante das competências e habilidades relacionadas à educação digital.,Evidência,validado
canada,Q01,1,DISC-408C7C58-03__canada_ontario_digital-action-plan.pdf,,5,"Digital creates better value for investments and enables more efficient services. It’s a different way of thinking and working to solve human problems and produce better outcomes in an era where computers are widely used, the internet exists, and people have come to expect speed, convenience, and simplicity.",evidência positiva,validada
canada,Q01,2,DISC-408C7C58-03__canada_ontario_digital-action-plan.pdf,,15,"In a digitally inclusive Ontario, all people can access and benefit from digital technologies in their lives—regardless of skill, ability, location or socio-economic situation.",evidência positiva,validada
canada,Q06,1,DISC-408C7C58-04__canada_ontario_ministry-education-published-plan_2023-2024.html,DISC-408C7C58-04__canada_ontario_ministry-education-published-plan_2023-2024.html,2,"O currículo de Ontário enfatiza o pensamento crítico, permitindo aos alunos analisar questões locais e globais; tal abordagem promove a interdependência e habilidades de resolução de problemas.",curricular evidence,validated
chile,Q01,1,DISC-C42F5801-02__articles-37136_bases.pdf,,,"El propósito general del trabajo educativo en esta dimensión es proveer a todos los alumnos y todas las alumnas de las herramientas que les permitirán manejar el 'mundo digital' y desarrollarse en él, utilizando de manera competente y responsable estas tecnologías.",,validado
chile,Q01,2,DISC-C42F5801-02__articles-37136_bases.pdf,,,"Las habilidades de alfabetización digital y de uso de tecnologías que se promueve en las Bases Curriculares de 3° y 4° medio, como parte de las habilidades para el siglo XXI, son fundamentales para generar instancias de colaboración, comunicación, creación e innovación en los estudiantes mediante el uso de TIC.",,validado
chile,Q06,1,DISC-C42F5801-02__articles-37136_bases.pdf,Bases Curriculares 2015 | 7° básico a 2° medio | Idioma Extranjero: Inglés,219,,Pensamento Crítico,validado
chile,Q06,2,DISC-C42F5801-02__articles-37136_bases.pdf,"Bases Curriculares 2015 | 7° básico a 2° medio | Historia, Geografía y Ciencias Sociales",196,,Pensamento Crítico,validado
chile,Q06,3,DISC-C42F5801-03__articles-91414_bases.pdf,"Bases Curriculares | Historia, Geografía y Ciencias Sociales",142,,Interdependência e Resolução de Problemas,validado
coreia-do-sul,Q01,1,DISC-CB3085AF-01__coreia-do-sul_keris-white-paper-software-education_2018.pdf,,,"O Ministério da Educação distribuiu social, science and english digital textbooks... aplicação da educação de software a 1,351 escolas que compuseram cursos de informação para alunos de primeiro grau do ensino médio.",,validada
coreia-do-sul,Q01,2,DISC-CB3085AF-01__coreia-do-sul_keris-white-paper-software-education_2018.pdf,,,"A educação em software será aplicada a todos os alunos a partir do primeiro grau começando em 2018 e terminando em 2020, e para alunos do 5º e 6º ano do ensino fundamental, esse programa será aplicado em 2019.",,validada
coreia-do-sul,Q06,1,DISC-CB3085AF-01__coreia-do-sul_keris-white-paper-software-education_2018.pdf,,1,"This symposium consisted of ‘International Strategies and Cases for Enhancing Media and Information Literacy’, ‘Exploration of Digital Citizenship in Intelligence Society’, ‘Roles of Media and Information Literacy for Cultivating Democratic Citizens’ and a comprehensive discussion.",Evidência de programa educacional,Validada
coreia-do-sul,Q06,2,DISC-CB3085AF-01__coreia-do-sul_keris-white-paper-software-education_2018.pdf,,4,The third Master Plan of ICT in Education aimed to facilitate a u-Learning society and to build the talent powerhouse.,Evidência de políticas educacionais,Validada
coreia-do-sul,Q06,3,DISC-CB3085AF-01__coreia-do-sul_keris-white-paper-software-education_2018.pdf,,5,"Reinforced informatization support system of educational welfare about low-income brackets, handicapped person and Kosian for solving the gap between knowledge information and securing stability.",Evidência de inclusão educativa,Validada
estonia,Q01,1,EU-EE-02__estonia_informatics_appendix_10_2023.pdf,EU-EE-02__estonia_informatics_appendix_10_2023.pdf,1,,Currículo,Validado
