country,country_code,file,document_id,role,registry_status,reconciliation_decision,reason,eligible_extension,source_path
africa-do-sul,ZA,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,AF-ZA-01,primary,validated,validated,declared_in_registry,yes,corpus/africa-do-sul/africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf
africa-do-sul,ZA,africa-do-sul_caps_information-technology_grades-10-12.pdf,AF-ZA-02,primary,validated,validated,declared_in_registry,yes,corpus/africa-do-sul/africa-do-sul_caps_information-technology_grades-10-12.pdf
australia,AU,australia_digital-technologies-v9_sequence-achievement_2022.pdf,OC-AU-01,primary,validated,validated,declared_in_registry,yes,corpus/australia/australia_digital-technologies-v9_sequence-achievement_2022.pdf
australia,AU,australia_digital-technologies-v9_sequence-content_2022.pdf,OC-AU-02,complementary,validated,validated,declared_in_registry,yes,corpus/australia/australia_digital-technologies-v9_sequence-content_2022.pdf
brasil,BR,brasil_bncc-computacao_anexo-parecer-cneceb-2_2022.pdf,BR_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_bncc-computacao_anexo-parecer-cneceb-2_2022.pdf
brasil,BR,brasil_bncc-computacao_complemento-bncc_2022.pdf,BR_002,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_bncc-computacao_complemento-bncc_2022.pdf
brasil,BR,brasil_bncc_educacao-basica_completa_2018.pdf,BR_003,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_bncc_educacao-basica_completa_2018.pdf
brasil,BR,brasil_bncc_educacao-infantil-ensino-fundamental_2018.pdf,BR_004,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_bncc_educacao-infantil-ensino-fundamental_2018.pdf
brasil,BR,brasil_cieb-itinerario-formativo-tecnologia-computacao_2021.pdf,BR_005,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_cieb-itinerario-formativo-tecnologia-computacao_2021.pdf
brasil,BR,brasil_curriculo-referencia-tecnologia-computacao-cieb_2018.pdf,BR_006,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_curriculo-referencia-tecnologia-computacao-cieb_2018.pdf
brasil,BR,brasil_guia-complemento-computacao-bncc_2023.pdf,BR_007,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_guia-complemento-computacao-bncc_2023.pdf
brasil,BR,brasil_guia-educacao-digital-midiatica_2025.pdf,BR_008,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_guia-educacao-digital-midiatica_2025.pdf
brasil,BR,brasil_ldb-lei-9394_compilada_1996-atualizada.pdf,BR_009,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_ldb-lei-9394_compilada_1996-atualizada.pdf
brasil,BR,brasil_matriz-saberes-digitais-docentes_2024.pdf,BR_010,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_matriz-saberes-digitais-docentes_2024.pdf
brasil,BR,brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025.pdf,BR_011,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025.pdf
brasil,BR,brasil_parecer-cne-ceb-2_bncc-computacao_2022.pdf,BR_012,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_parecer-cne-ceb-2_bncc-computacao_2022.pdf
brasil,BR,brasil_parecer-cne-cp-15_bncc_2017.pdf,BR_013,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_parecer-cne-cp-15_bncc_2017.pdf
brasil,BR,brasil_parecer-cne-cp-7_bncc_2022.pdf,BR_014,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_parecer-cne-cp-7_bncc_2022.pdf
brasil,BR,brasil_politica-nacional-educacao-digital-lei-14533_2023.pdf,BR_015,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_politica-nacional-educacao-digital-lei-14533_2023.pdf
brasil,BR,brasil_referencial-saberes-digitais-docentes_2024.pdf,BR_016,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_referencial-saberes-digitais-docentes_2024.pdf
brasil,BR,brasil_resolucao-cne-ceb-1_bncc-computacao_2022.pdf,BR_017,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_resolucao-cne-ceb-1_bncc-computacao_2022.pdf
brasil,BR,brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025.pdf,BR_018,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025.pdf
brasil,BR,brasil_resolucao-cne-cp-2_bncc_2017.pdf,BR_019,primary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_resolucao-cne-cp-2_bncc_2017.pdf
brasil,BR,brasil_restricao-celulares-escolas-lei-15010_2025.pdf,BR_020,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/brasil/brasil_restricao-celulares-escolas-lei-15010_2025.pdf
canada,CA,canada_alberta_draft-k6-science-update_2022.pdf,CA_001,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/canada/canada_alberta_draft-k6-science-update_2022.pdf
canada,CA,canada_alberta_k6-science-curriculum-computer-science_2023.pdf,CA_002,primary,pending_review,pending_review,declared_in_registry,yes,corpus/canada/canada_alberta_k6-science-curriculum-computer-science_2023.pdf
canada,CA,canada_ontario_digital-action-plan.pdf,CA_003,primary,pending_review,pending_review,declared_in_registry,yes,corpus/canada/canada_ontario_digital-action-plan.pdf
canada,CA,canada_ontario_ministry-education-published-plan_2023-2024.html,CA_004,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/canada/canada_ontario_ministry-education-published-plan_2023-2024.html
chile,CL,articles-140146_programa_feb_2021_final_s_disegno.pdf,CL_001,primary,pending_review,pending_review,declared_in_registry,yes,corpus/chile/articles-140146_programa_feb_2021_final_s_disegno.pdf
chile,CL,articles-37136_bases.pdf,CL_002,primary,pending_review,pending_review,declared_in_registry,yes,corpus/chile/articles-37136_bases.pdf
chile,CL,articles-91414_bases.pdf,CL_003,primary,pending_review,pending_review,declared_in_registry,yes,corpus/chile/articles-91414_bases.pdf
chile,CL,ds_po_3_2025_tiskarna-66-82.pdf,CL_004,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/chile/ds_po_3_2025_tiskarna-66-82.pdf
chile,CL,recurso_2_rota do pensamento computacional.pdf,CL_005,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/chile/recurso_2_rota do pensamento computacional.pdf
china,CN,china_compulsory_education_curriculum_plan_2022.pdf,AS-CN-02,complementary,pending_review,pending_review,declared_in_registry,yes,corpus/china/china_compulsory_education_curriculum_plan_2022.pdf
china,CN,china_information_technology_curriculum_standard_2022.pdf,AS-CN-01,primary,pending_review,pending_review,declared_in_registry,yes,corpus/china/china_information_technology_curriculum_standard_2022.pdf
