country,question_id,question_text,response,situacao_resposta,evidence_count,evidence_classification,validation_status,source_file
africa-do-sul,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Na África do Sul, as competências em Computação e Educação Digital são definidas em documentos curriculares como o 'CAPS (Curriculum and Assessment Policy Statement) para Tecnologia da Informação'. Os alunos são expostos a tópicos que incluem princípios de engenharia de software, desenvolvimento de soluções, programação em alta nível, e gerenciamento de dados. O currículo enfatiza a resolução de problemas, o desenvolvimento de software, e a utilização de tecnologias de comunicação digitais.",candidate,3,Competências Curriculares,candidate,analysis/countries/africa-do-sul/respostas.csv
africa-do-sul,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem práticas de pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas. O currículo Sul-Africano promove a aprendizagem ativa e crítica, proporcionando aos alunos habilidades essenciais para a resolução de problemas e tomada de decisões.",candidate,2,curricular,candidate,analysis/countries/africa-do-sul/respostas.csv
australia,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Na Austrália, as competências em Computação e Educação Digital são definidas e organizadas através do currículo nacional, que inclui uma sequência de conteúdos para as tecnologias digitais. As competências são abordadas em diferentes níveis de ensino, de Fundações até o 10º ano, e incluem o reconhecimento de sistemas digitais, representação de dados, design de algoritmos, gestão e análise de dados, além de aspectos de privacidade e segurança.",candidate,2,documentos curriculares,candidate,analysis/countries/australia/respostas.csv
australia,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","[{'document_id': 'OC-AU-01__australia_digital-technologies-v9_sequence-achievement_2022.pdf', 'document': 'OC-AU-01__australia_digital-technologies-v9_sequence-achievement_2022.pdf', 'page': 4, 'original_excerpt': 'By the end of Year 6 students develop and modify digital solutions, and define problems and evaluate solutions using user stories and design criteria. They process data and show how digital systems represent data. Students design algorithms involving complex branching and iteration and implement them as visual programs including variables.', 'classification': 'educativo', 'validation_status': 'confirmado'}, {'document_id': 'OC-AU-02__australia_digital-technologies-v9_sequence-content_2022.pdf', 'document': 'OC-AU-02__australia_digital-technologies-v9_sequence-content_2022.pdf', 'page': 5, 'original_excerpt': 'define & decompose real-world problems with design criteria & by creating user stories.', 'classification': 'educativo', 'validation_status': 'confirmado'}, {'document_id': 'OC-AU-02__australia_digital-technologies-v9_sequence-content_2022.pdf', 'document': 'OC-AU-02__australia_digital-technologies-v9_sequence-content_2022.pdf', 'page': 5, 'original_excerpt': 'evaluate existing & student solutions against the design criteria, user stories & possible future impact.', 'classification': 'educativo', 'validation_status': 'confirmado'}]",candidate,2,curricular,candidate,analysis/countries/australia/respostas.csv
brasil,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O Brasil organiza as competências de Computação e Educação Digital em seus documentos curriculares por meio de diretrizes estabelecidas na Base Nacional Comum Curricular (BNCC) e na Política Nacional de Educação Digital (PNED). A BNCC propõe a inclusão de conteúdos relacionados à Computação desde os anos iniciais, abrangendo aspectos como pensamento computacional e cultura digital, enquanto a PNED delineia eixos estruturantes como inclusão digital e educação digital escolar.",candidate,3,Curricular,candidate,analysis/countries/brasil/respostas.csv
brasil,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem competências que visam desenvolver o pensamento crítico, a compreensão de questões locais e globais, a interdependência e a resolução de problemas através de práticas educacionais específicas e reflexões sobre contextos sociopolíticos e culturais.",candidate,3,curricular,candidate,analysis/countries/brasil/respostas.csv
brasil,Q22,"Quais competências e habilidades dos documentos brasileiros apresentam correspondência com as dimensões cognitiva, socioemocional e comportamental da Educação para a Cidadania Global da UNESCO?","{'competências': [{'dimensão': 'cognitiva', 'habilidades': ['Valer-se dos conhecimentos sobre o mundo físico, social, cultural e digital', 'Investigar causas, elaborar e testar hipóteses']}, {'dimensão': 'socioemocional', 'habilidades': ['Exercitar a empatia e o respeito ao outro', 'Agir com responsabilidade e autonomia']}, {'dimensão': 'comportamental', 'habilidades': ['Tomar decisões com princípios éticos', 'Promover a participação cidadã e a inclusão']}]}",candidate,3,relevante,candidate,analysis/countries/brasil/respostas.csv
canada,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O Canadá organiza as competências de Computação e Educação Digital dentro de um enfoque centrado no usuário, incorporando práticas ágeis que priorizam a pesquisa com usuários e a melhoria contínua. A abordagem enfatiza a importância da inclusão digital e da acessibilidade, assegurando que todos possam se beneficiar das tecnologias digitais. As diretrizes são integradas nas políticas e serviços públicos, promovendo um governo responsivo e melhorando a experiência do cidadão.",candidate,2,evidência positiva,candidate,analysis/countries/canada/respostas.csv
canada,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","O currículo da província de Ontário está alinhado com a dimensão cognitiva da Educação para a Cidadania Global, enfatizando habilidades como pensamento crítico e a compreensão de questões locais e globais, promovendo a interdependência e a resolução de problemas.",candidate,1,curricular evidence,candidate,analysis/countries/canada/respostas.csv
chile,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O Chile estrutura as competências de Computação e Educação Digital em seu currículo focando no uso responsável e crítico das Tecnologias da Informação e Comunicação (TIC). Os alunos são incentivados a buscar, avaliar e utilizar informação de diversas fontes digitais. As curriculares promovem habilidades de pensamento crítico, colaboração e comunicação.",candidate,2,evidência curricular,candidate,analysis/countries/chile/respostas.csv
chile,Q06,"Quais evidências curriculares estão relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO, especialmente pensamento crítico, compreensão de questões locais e globais, interdependência e resolução de problemas?","As evidências curriculares relacionadas à dimensão cognitiva da Educação para a Cidadania Global da UNESCO incluem o desenvolvimento do pensamento crítico, a compreensão de questões locais e globais, a interdependência e a resolução de problemas. Essas habilidades são fundamentais para a formação de cidadãos capazes de analisar, sintetizar e interpretar informações em um contexto global.",candidate,3,curricular,candidate,analysis/countries/chile/respostas.csv
china,Q01,Como cada país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Parece que não encontrei evidências específicas nos documentos fornecidos sobre como a China define e organiza as competências de Computação e Educação Digital em seus documentos curriculares. Se precisar de mais assistência ou informações sobre outro tema, estou à disposição!",candidate,0,,candidate,analysis/countries/china/respostas.csv
