document_id,processed_path,page,chars,alnum_ratio,replacement_chars,page_status
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,1,86,0.8256,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,3,75,0.8,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,4,2514,0.8095,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,5,3567,0.8068,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,6,4146,0.8227,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,7,3991,0.8111,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,8,2051,0.8108,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,9,4251,0.8175,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,10,1341,0.7778,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,11,1469,0.8101,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,12,1813,0.7921,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,13,2509,0.8079,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,14,3675,0.782,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,15,3939,0.7837,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,16,4494,0.7866,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,17,2197,0.7715,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,18,3141,0.8029,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,19,3860,0.8034,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,20,4190,0.8019,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,21,4388,0.8093,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,22,4219,0.8109,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,23,3581,0.7975,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,24,2457,0.7981,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,25,530,0.7906,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,26,4237,0.8041,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,27,787,0.7637,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,28,2750,0.7916,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,29,3664,0.7926,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,30,3946,0.7025,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,31,3597,0.7198,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,32,3888,0.7495,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,33,3967,0.7507,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,34,3707,0.7211,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,35,3561,0.7324,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,36,2976,0.7658,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,37,2949,0.7555,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,38,97,0.6598,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,39,95,0.6737,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,40,2660,0.8,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,41,554,0.7906,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,42,3786,0.8038,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,43,4191,0.8208,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,44,3270,0.7902,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,45,1089,0.7897,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,46,4095,0.7941,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,47,4121,0.8115,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,48,3877,0.8174,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,49,1145,0.8087,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,50,487,0.7906,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,51,766,0.7467,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,52,3798,0.8046,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,53,3201,0.7951,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,54,4794,0.7843,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,55,2324,0.8128,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,56,5061,0.7787,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,57,2537,0.8124,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,58,4921,0.7838,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,59,4155,0.8026,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,60,2749,0.7985,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,61,4889,0.8032,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,62,2663,0.8085,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,63,1578,0.7953,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,64,1392,0.8197,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,65,2818,0.8109,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,66,2200,0.8077,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,67,1336,0.7964,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,68,3562,0.7316,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,69,3476,0.7486,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,70,3783,0.7354,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,71,3692,0.7514,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,72,3551,0.7313,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,73,3481,0.7472,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,74,3334,0.8212,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,75,3683,0.7744,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,76,3760,0.7886,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,77,731,0.8057,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,78,3840,0.7664,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,79,1530,0.7752,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,80,3561,0.7961,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,81,3091,0.7907,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,82,4226,0.8216,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,83,3113,0.8301,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,84,3356,0.8182,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,85,3644,0.8167,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,86,3636,0.8122,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,87,3748,0.7713,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,88,3032,0.7302,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,89,268,0.7127,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,90,791,0.7661,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,91,2651,0.7971,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,92,2330,0.8026,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,93,2397,0.7839,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,94,5891,0.8272,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,95,3196,0.7875,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,96,2001,0.7996,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,97,2556,0.804,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,98,2833,0.8136,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,99,2302,0.8002,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,100,2523,0.7848,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,101,4255,0.8216,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,102,4964,0.8145,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,103,1668,0.8082,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,104,2783,0.7855,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,105,4144,0.8277,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,106,3356,0.806,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,107,863,0.7752,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,108,2961,0.7991,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,109,370,0.7811,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,110,2737,0.7673,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,111,800,0.7688,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,112,4314,0.7949,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,113,4728,0.8143,0,OK
PISA_001,dados_intermediarios/processed/OECD_PISA/PISA_001.md,114,1492,0.7902,0,OK
