country,CA0_Devices and software operations,CA2_Communication and collaboration,CA3_Digital content creation,CA4_Safety,CA5_Problem-solving
africa-do-sul,0,0,1,0,0
australia,0,0,2,2,0
brasil,0,1,0,0,3
canada,0,0,0,0,0
chile,0,0,0,0,0
coreia-do-sul,0,1,1,0,0
estonia,0,2,0,2,0
eua,0,0,0,0,4
finlandia,0,0,0,0,0
gana,0,0,0,0,2
hong-kong,0,0,0,0,0
irlanda,0,0,0,0,4
japao,0,0,0,0,0
nova-zelandia,0,0,0,0,0
quenia,0,0,0,0,0
reino-unido,1,0,2,0,2
ruanda,0,0,0,0,1
singapura,0,0,0,2,1
suica,0,0,0,0,0
taiwan,0,0,0,0,0
uruguai,3,0,0,0,0
