country,dlgf_area_code,dlgf_area_name,evidence_count,interpretation_limit
africa-do-sul,3,Digital content creation,1,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
australia,3,Digital content creation,2,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
australia,4,Safety,2,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
brasil,2,Communication and collaboration,1,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
brasil,5,Problem-solving,3,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
coreia-do-sul,2,Communication and collaboration,1,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
coreia-do-sul,3,Digital content creation,1,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
estonia,2,Communication and collaboration,2,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
estonia,4,Safety,2,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
eua,5,Problem-solving,4,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
gana,5,Problem-solving,2,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
irlanda,5,Problem-solving,4,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
reino-unido,0,Devices and software operations,1,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
reino-unido,3,Digital content creation,2,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
reino-unido,5,Problem-solving,2,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
ruanda,5,Problem-solving,1,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
singapura,4,Safety,2,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
singapura,5,Problem-solving,1,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
uruguai,0,Devices and software operations,3,"Contagem de evidências classificadas; não representa qualidade, desempenho ou implementação curricular."
