country,responses,questions,candidate,inconclusive,evidences,documents
africa-do-sul,13,13,13,0,24,2
australia,13,13,13,0,31,2
brasil,13,13,13,0,30,10
canada,13,13,12,1,26,3
chile,13,13,13,0,28,5
china,13,13,11,2,31,2
coreia-do-sul,13,13,13,0,28,1
estonia,13,13,13,0,31,2
eua,13,13,13,0,28,1
finlandia,13,13,13,0,24,1
gana,13,13,13,0,29,2
hong-kong,13,13,13,0,31,2
irlanda,13,13,13,0,31,1
japao,13,13,13,0,27,2
nova-zelandia,13,13,13,0,28,1
quenia,13,13,13,0,23,2
reino-unido,13,13,13,0,27,2
ruanda,13,13,12,1,29,1
singapura,13,13,13,0,27,10
suica,13,13,12,1,29,3
taiwan,13,13,13,0,32,1
uruguai,13,13,13,0,27,3
