evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_AUSTRALIA_Q01_OC_AU_01_P0001_001,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q01,RESP_AUSTRALIA_Q01_20260912T140702Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,australia,OC-AU-01,australia_digital-technologies-v9_sequence-achievement_2022,1,1,OC-AU-01_p0001_c001,en,"By the end of Foundation students show familiarity with digital systems and use them for a purpose. They represent data using objects, pictures and symbols and identify examples of data that is owned by them.","Até o final da educação infantil, os alunos demonstram familiaridade com sistemas digitais e os utilizam para um propósito. Eles representam dados usando objetos, imagens e símbolos e identificam exemplos de dados que são de sua propriedade.",translated,,curricular_definition,candidate,
EVID_AUSTRALIA_Q01_OC_AU_02_P0001_002,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q01,RESP_AUSTRALIA_Q01_20260912T140702Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,australia,OC-AU-02,australia_digital-technologies-v9_sequence-content_2022,1,1,OC-AU-02_p0001_c001,en,explore & describe a range of digital systems & their peripherals for a variety of purposes AC9TDI4K01,explorar e descrever uma variedade de sistemas digitais e seus periféricos para várias finalidades AC9TDI4K01,translated,,curricular_definition,candidate,
EVID_AUSTRALIA_Q01_OC_AU_02_P0002_003,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q01,RESP_AUSTRALIA_Q01_20260912T140702Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,australia,OC-AU-02,australia_digital-technologies-v9_sequence-content_2022,2,2,OC-AU-02_p0002_c001,en,"analyze & visualise data using a range of software, including spreadsheets & databases, to draw conclusions & make predictions by identifying trends AC9TDI8P02","analisar e visualizar dados usando uma variedade de software, incluindo planilhas e bancos de dados, para tirar conclusões e fazer previsões identificando tendências AC9TDI8P02",translated,,curricular_definition,candidate,
EVID_AUSTRALIA_Q02_OC_AU_01_P0001_001,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q02,RESP_AUSTRALIA_Q02_20260912T140702Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,australia,OC-AU-01,OC-AU-01__OC-AU-01.md,1,1,OC-AU-01_p0001_c001,english,"By the end of Foundation students show familiarity with digital systems and use them for a purpose. They represent data using objects, pictures and symbols and identify examples of data that is owned by them.","Ao final da Educação Infantil, os alunos demonstram familiaridade com sistemas digitais e os utilizam para um propósito. Eles representam dados utilizando objetos, imagens e símbolos e identificam exemplos de dados que são de sua propriedade.",translated,,definition_development_integration,candidate,
EVID_AUSTRALIA_Q02_OC_AU_01_P0001_002,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q02,RESP_AUSTRALIA_Q02_20260912T140702Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,australia,OC-AU-01,OC-AU-01__OC-AU-01.md,1,1,OC-AU-01_p0001_c001,english,By the end of Year 2 students show how simple digital solutions meet a need for known users. Students represent and process data in different ways. They follow and describe basic algorithms involving a sequence of steps and branching.,"Ao final do 2º ano, os alunos mostram como soluções digitais simples atendem a uma necessidade de usuários conhecidos. Os alunos representam e processam dados de maneiras diferentes. Eles seguem e descrevem algoritmos básicos envolvendo uma sequência de etapas e ramificações.",translated,,definition_development_integration,candidate,
EVID_AUSTRALIA_Q02_OC_AU_02_P0001_003,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q02,RESP_AUSTRALIA_Q02_20260912T140702Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,australia,OC-AU-02,OC-AU-02__OC-AU-02.md,1,2,OC-AU-02_p0001_c001,english,Students securely access and use multiple digital systems and describe their components and how they interact to process and transmit data.,Os alunos acessam e utilizam com segurança múltiplos sistemas digitais e descrevem seus componentes e como eles interagem para processar e transmitir dados.,translated,,definition_development_integration,candidate,
EVID_AUSTRALIA_Q03_OC_AU_02_P0001_001,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q03,RESP_AUSTRALIA_Q03_20260912T140702Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,australia,OC-AU-02,OC-AU-02__OC-AU-02.md,1,4,1,en,Students recognise that digital tools may store their personal data online.,Os alunos reconhecem que as ferramentas digitais podem armazenar seus dados pessoais online.,translated,,candidate,candidate,
EVID_AUSTRALIA_Q03_OC_AU_01_P0001_002,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q03,RESP_AUSTRALIA_Q03_20260912T140702Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,australia,OC-AU-01,OC-AU-01__OC-AU-01.md,1,3,1,en,Students identify their digital footprint and recognise its permanence.,Os alunos identificam sua pegada digital e reconhecem sua permanência.,translated,,candidate,candidate,
EVID_AUSTRALIA_Q04_OC_AU_01_P0001_001,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q04,RESP_AUSTRALIA_Q04_20260912T140702Z,Q04,C04,OECD_PISA,australia,OC-AU-01,OC-AU-01__OC-AU-01.md,1,1,OC-AU-01_p0001_c001,en,"By the end of Year 6 students explain how people design products, services and environments to meet the needs of communities, including sustainability.","Ao final do ano 6, os alunos explicam como as pessoas projetam produtos, serviços e ambientes para atender às necessidades das comunidades, incluindo a sustentabilidade.",translated,,supporting,candidate,
EVID_AUSTRALIA_Q04_OC_AU_01_P0001_002,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q04,RESP_AUSTRALIA_Q04_20260912T140702Z,Q04,C04,OECD_PISA,australia,OC-AU-01,OC-AU-01__OC-AU-01.md,1,1,OC-AU-01_p0001_c001,en,"They process data and show how digital systems represent data, design algorithms involving complex branching and iteration, and implement them as visual programs including variables.","Eles processam dados e mostram como os sistemas digitais representam dados, projetam algoritmos envolvendo ramificações e iterações complexas e os implementam como programas visuais, incluindo variáveis.",translated,,supporting,candidate,
