run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q01,RESP_CHILE_Q01_20260912T141439Z,Q01,chile,2026-09-12T14:14:49.910801+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q02,RESP_CHILE_Q02_20260912T141439Z,Q02,chile,2026-09-12T14:14:56.241525+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q03,RESP_CHILE_Q03_20260912T141439Z,Q03,chile,2026-09-12T14:15:02.255321+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q04,RESP_CHILE_Q04_20260912T141439Z,Q04,chile,2026-09-12T14:15:08.357535+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q05,RESP_CHILE_Q05_20260912T141439Z,Q05,chile,2026-09-12T14:15:14.395742+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,1
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q06,RESP_CHILE_Q06_20260912T141439Z,Q06,chile,2026-09-12T14:15:22.409503+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q07,RESP_CHILE_Q07_20260912T141439Z,Q07,chile,2026-09-12T14:15:29.353379+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q08,RESP_CHILE_Q08_20260912T141439Z,Q08,chile,2026-09-12T14:15:37.738514+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q09,RESP_CHILE_Q09_20260912T141439Z,Q09,chile,2026-09-12T14:15:48.657875+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q10,RESP_CHILE_Q10_20260912T141439Z,Q10,chile,2026-09-12T14:15:59.442833+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,3
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q11,RESP_CHILE_Q11_20260912T141439Z,Q11,chile,2026-09-12T14:16:07.266237+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,3
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q12,RESP_CHILE_Q12_20260912T141439Z,Q12,chile,2026-09-12T14:16:15.829274+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q13,RESP_CHILE_Q13_20260912T141439Z,Q13,chile,2026-09-12T14:16:25.870788+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,3
