evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_CHINA_Q01_AS_CN_02_P0001_001,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q01,RESP_CHINA_Q01_20260912T141700Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,china,AS-CN-02,AS-CN-02,1,1,2,chi_sim,义务教育课程规定了教育目标、教育内容和教学基本要求，体现国家意志，在立德树人中发挥着关键作用。,"Os currículos da educação obrigatória definem os objetivos educacionais, o conteúdo educacional e os requisitos básicos de ensino, refletindo a vontade nacional e desempenhando um papel crucial na formação de caráter.",translated,,curricular,candidate,
EVID_CHINA_Q01_AS_CN_01_P0030_002,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q01,RESP_CHINA_Q01_20260912T141700Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,china,AS-CN-01,AS-CN-01,30,30,3,chi_sim,引导学生根据学习需求，查找数字化学习平台或工具，比较这些平台或工具的差异，了解数字化学习环境的优势。,"Orientar os alunos, de acordo com suas necessidades de aprendizado, a procurar plataformas ou ferramentas de aprendizado digital, comparar as diferenças entre essas plataformas ou ferramentas e entender as vantagens do ambiente de aprendizado digital.",translated,,curricular,candidate,
EVID_CHINA_Q01_AS_CN_02_P0003_003,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q01,RESP_CHINA_Q01_20260912T141700Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,china,AS-CN-02,AS-CN-02,3,3,4,chi_sim,坚持素养导向，围绕“为什么教”和“为谁教”，深刻理解课程育人价值，落实育人为本理念。,"Manter o foco nas competências, refletindo sobre 'por que ensinar' e 'para quem ensinar', e compreendendo profundamente o valor de educar através do currículo, implementando a filosofia centrada na formação integral.",translated,,curricular,candidate,
EVID_CHINA_Q03_AS_CN_01_P0013_001,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q03,RESP_CHINA_Q03_20260912T141700Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,china,AS-CN-01,AS-CN-01__AS-CN-01.md,13,13,5,chi_sim,具备信息社会责任的学生，能理解信息科技给人们学习、生活和工作带来的各种影响，具有自我保护意识和能力; 乐于帮助他人开展信息活动，负责任地共享信息和资源，尊重他人的知识产权。,"Os alunos com responsabilidades na sociedade da informação podem entender os vários impactos da tecnologia da informação na aprendizagem, vida e trabalho das pessoas, tendo consciência e capacidade de se proteger; estão dispostos a ajudar os outros em atividades de informação, compartilhar informações e recursos de forma responsável, e respeitar os direitos de propriedade intelectual de outros.",translated,,relevant,candidate,
EVID_CHINA_Q03_AS_CN_01_P0035_002,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q03,RESP_CHINA_Q03_20260912T141700Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,china,AS-CN-01,AS-CN-01__AS-CN-01.md,35,35,4,chi_sim,对人工智能的伦理与安全的挑战。能遵循信息科技领域的伦理道德规范，明确科技活动中应遵循的价值观念、道德责任和行为准则。,"Desafios éticos e de segurança da inteligência artificial. Podem seguir as normas éticas do campo da tecnologia da informação, definindo claramente os valores, responsabilidades morais e padrões de comportamento que devem ser seguidos em atividades tecnológicas.",translated,,relevant,candidate,
EVID_CHINA_Q04_AS_CN_02_P0019_001,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q04,RESP_CHINA_Q04_20260912T141700Z,Q04,C04,OECD_PISA,china,AS-CN-02,AS-CN-02__AS-CN-02.md,19,19,AS-CN-02_p0019_c001,zh,基于核心素养培养要求，明确课程内容选什么、选多少，注重与学生经验、社会生活的关联，加强课程内容的内在联系，突出课程内容结构化，探索主题、项目、任务等内容组织方式。,"Com base nos requisitos de desenvolvimento das competências centrais, definir o que e quanto do conteúdo do curso deve ser escolhido, focar na relação com a experiência dos alunos e a vida social, fortalecer a conexão intrínseca do conteúdo do curso, destacar a estruturação do conteúdo do curso, explorar maneiras de organizar conteúdo temático, projetos e tarefas.",translated,,supporting,candidate,
EVID_CHINA_Q04_AS_CN_01_P0065_002,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q04,RESP_CHINA_Q04_20260912T141700Z,Q04,C04,OECD_PISA,china,AS-CN-01,AS-CN-01__AS-CN-01.md,65,66,1,zh,要引导教学落实立德树人根本任务，践行社会主义核心价值观; 引导教学顺应时代发展、技术创新和社会变革，推进教与学方式改革，着力发展学生核心素养。,"Deve-se orientar o ensino para implementar a tarefa fundamental de cultivar virtudes e formar pessoas, praticando os valores centrais do socialismo; orientar o ensino para seguir o desenvolvimento da era, inovação tecnológica e mudanças sociais, promovendo a reforma da forma de ensinar e aprender, com foco no desenvolvimento das competências centrais dos alunos.",translated,,supporting,candidate,
EVID_CHINA_Q05_AS_CN_01_P0012_001,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q05,RESP_CHINA_Q05_20260912T141700Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,china,AS-CN-01,AS-CN-01__AS-CN-01.md,12,12,AS-CN-01_p0012_c001,chinese,"1. 信息意识
信息意识是指个体对信息的敏感度和对信息价值的判断力。具备信息意识的学生，具有一定的信息感知力，熟悉信息及其呈现与传递方式，善于利用信息科技交流和分享信息、开展协同创新;能根据解决问题的需要，评估数据来源，辩别数据的可靠性和时效性，具有较强的数据安全意识; 具有寻找有效数字平台与资源解决问题的意愿，能合理利用信息真诚友善地进行表达; 崇尚科学精神、原创精神，具有将创新理念融入自身学习、生活的意识; 具有自主动手解决问题、掌握核心技术的意识; 能有意识地保护个人及他人隐私，依据法律法规合理应用信息，具有尊法学法守法用法意识。","1. Consciência da informação
A consciência da informação refere-se à sensibilidade do indivíduo em relação à informação e à sua capacidade de julgar o valor da informação. Estudantes com consciência da informação têm uma certa percepção da informação, estão familiarizados com suas formas de apresentação e transmissão, são habilidosos em usar tecnologia da informação para trocar e compartilhar informações e promover inovações colaborativas; conseguem avaliar a origem dos dados com base nas necessidades de resolução de problemas, discernir a confiabilidade e a atualidade dos dados, têm uma forte consciência de segurança de dados; têm a disposição de buscar plataformas digitais eficazes e recursos para resolver problemas, podem usar informações de forma sincera e amigável; valorizam o espírito científico e a originalidade, têm a consciência de integrar conceitos inovadores em seu próprio aprendizado e vida; têm a consciência de resolver problemas de forma proativa e dominar tecnologias centrais; podem proteger conscientemente a privacidade pessoal e de outros, aplicando a legislação de maneira razoável.",translated,,primary,candidate,
EVID_CHINA_Q05_AS_CN_01_P0012_002,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q05,RESP_CHINA_Q05_20260912T141700Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,china,AS-CN-01,AS-CN-01__AS-CN-01.md,12,12,AS-CN-01_p0012_c001,chinese,"2. 计算思维
计算思维是指个体运用计算机科学领域的思想方法，在问题解决过程中涉及的抽象、分解、建模、算法设计等思维活动。具备计算思维的学生，能对问题进行抽象、分解、建模，并通过设计算法形成解决方案，能尝试模拟、仿真、验证解决问题的过程，反思、优化解决问题的方案，并将其迁移运用于解决其他问题。","2. Pensamento computacional
O pensamento computacional refere-se ao uso de métodos de pensamento do campo da ciência da computação em atividades cognitivas como abstração, decomposição, modelagem e design de algoritmos durante o processo de resolução de problemas. Estudantes com pensamento computacional podem abstrair, decompor e modelar problemas e, através do design de algoritmos, formar soluções. Podem tentar simular, testar e validar o processo de resolução de problemas, refletir e otimizar propostas de solução e transferir essas soluções para resolver outros problemas.",translated,,primary,candidate,
EVID_CHINA_Q05_AS_CN_01_P0012_003,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q05,RESP_CHINA_Q05_20260912T141700Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,china,AS-CN-01,AS-CN-01__AS-CN-01.md,12,12,AS-CN-01_p0012_c001,chinese,"3. 数字化学习与创新
数字化学习与创新是指个体在日常学习和生活中通过选用合适的数字设备、平台和资源，有效地管理学习过程与学习资源，开展探究性学习，创造性地解决问题。具备数字化学习与创新的学生，能认识到原始创新对国家可持续发展的重要性，养成利用信息科技开展数字化学习与交流的行为习惯；能根据学习需求，利用信息科技获取、加工、管理、评价、交流学习资源，开展自主学习和合作探究；在日常学习与生活中，具有创新创造活力，能积极主动运用信息科技高效地解决问题，并进行创新活动。","3. Aprendizado digital e inovação
O aprendizado digital e a inovação referem-se ao uso de dispositivos, plataformas e recursos digitais adequados no cotidiano de aprendizado e vida para gerenciar efetivamente o processo e os recursos de aprendizado, participar de aprendizado investigativo e resolver problemas de forma criativa. Estudantes com aprendizado digital e inovação reconhecem a importância da inovação inicial para o desenvolvimento sustentável do país e desenvolvem hábitos de comportamento de uso da tecnologia da informação para aprendizagem e comunicação digitais; podem, de acordo com as necessidades de aprendizado, usar a tecnologia da informação para obter, processar, gerenciar, avaliar e trocar recursos de aprendizado, realizando aprendizado autônomo e investigação cooperativa; no cotidiano de aprendizado e vida, têm uma vitalidade criativa e inovadora, gerenciando proativamente a tecnologia da informação de forma eficiente para resolver problemas e realizar atividades inovadoras.",translated,,primary,candidate,
