run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q01,RESP_CHINA_Q01_20260912T141700Z,Q01,china,2026-09-12T14:17:11.668098+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,3
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q02,RESP_CHINA_Q02_20260912T141700Z,Q02,china,2026-09-12T14:17:18.080773+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,0
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q03,RESP_CHINA_Q03_20260912T141700Z,Q03,china,2026-09-12T14:17:29.134512+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,2
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q04,RESP_CHINA_Q04_20260912T141700Z,Q04,china,2026-09-12T14:17:37.021168+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q05,RESP_CHINA_Q05_20260912T141700Z,Q05,china,2026-09-12T14:17:52.228213+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,4
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q06,RESP_CHINA_Q06_20260912T141700Z,Q06,china,2026-09-12T14:18:00.220444+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,3
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q07,RESP_CHINA_Q07_20260912T141700Z,Q07,china,2026-09-12T14:18:08.331544+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,2
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q08,RESP_CHINA_Q08_20260912T141700Z,Q08,china,2026-09-12T14:18:15.655119+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,3
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q09,RESP_CHINA_Q09_20260912T141700Z,Q09,china,2026-09-12T14:18:28.947871+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,3
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q10,RESP_CHINA_Q10_20260912T141700Z,Q10,china,2026-09-12T14:18:32.815844+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,0
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q11,RESP_CHINA_Q11_20260912T141700Z,Q11,china,2026-09-12T14:18:44.232043+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,4
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q12,RESP_CHINA_Q12_20260912T141700Z,Q12,china,2026-09-12T14:18:50.631211+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q13,RESP_CHINA_Q13_20260912T141700Z,Q13,china,2026-09-12T14:18:58.417788+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,3
