evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_HONG_KONG_Q01_HK_002_P0032_001,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q01,RESP_HONG_KONG_Q01_20260912T142926Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,HK_002,HK_002__HK_002.md,32,32,23,en,"Students will learn about: how to connect to the Internet, and the hardware, software and Internet Service Provider (ISP) involved in accessing the Internet; the personal, social and commercial activities that are available on the Internet; how to participate in various Internet activities such as searching for information, sharing opinions, and exchanging messages and files; the technologies involved in transmitting and displaying multimedia elements on the Internet; the design and construction of simple web pages for an intended audience; the potential threats on the Internet and measures to reduce them; and the need to use ICT safely, sensibly, legally and ethically.","Os alunos aprenderão sobre: como se conectar à Internet, e o hardware, software e Provedor de Serviço de Internet (ISP) envolvidos no acesso à Internet; as atividades pessoais, sociais e comerciais disponíveis na Internet; como participar em várias atividades da Internet, como buscar informações, compartilhar opiniões e trocar mensagens e arquivos; as tecnologias envolvidas na transmissão e exibição de elementos multimídia na Internet; o design e a construção de páginas web simples para um público-alvo; as ameaças potenciais na Internet e medidas para reduzi-las; e a necessidade de usar TIC de forma segura, sensata, legal e ética.",translated,,curricular,candidate,
EVID_HONG_KONG_Q01_HK_001_P0058_002,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q01,RESP_HONG_KONG_Q01_20260912T142926Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,HK_001,HK_001__HK_001.md,58,59,46,en,"Students are encouraged to care about local and international affairs, and enquire into those issues with guidance of teachers. For example: collect and analyse information of TV advertisements, newspapers or information from the Internet...","Os alunos são incentivados a se preocupar com assuntos locais e internacionais, e a investigar essas questões com a orientação de professores. Por exemplo: coletar e analisar informações de comerciais de TV, jornais ou informações da Internet...",translated,,curricular,candidate,
EVID_HONG_KONG_Q02_HK_001_P0146_001,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q02,RESP_HONG_KONG_Q02_20260912T142926Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,HK_001,HK_001__HK_001.md,146,146,4,en,"Coding can be integrated into the learning and teaching contents of various subjects including GS in order to cultivate students’ problem-solving skills, creativity and computational thinking.","A codificação pode ser integrada ao conteúdo de aprendizagem e ensino de várias disciplinas, incluindo GS, para cultivar as habilidades de resolução de problemas, criatividade e pensamento computacional.",translated,,supportive,candidate,
EVID_HONG_KONG_Q02_HK_001_P0213_002,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q02,RESP_HONG_KONG_Q02_20260912T142926Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,HK_001,HK_001__HK_001.md,213,213,6,en,"Computational Thinking involves solving problems, designing systems, and understanding human behaviour, by drawing on the concepts fundamental to computer science.","O Pensamento Computacional envolve resolver problemas, projetar sistemas e entender o comportamento humano, baseando-se em conceitos fundamentais da ciência da computação.",translated,,supportive,candidate,
EVID_HONG_KONG_Q03_HK_001_P0058_001,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q03,RESP_HONG_KONG_Q03_20260912T142926Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,HK_001,HK_001__HK_001.md,58,59,HK_001_p0058_c001,en,"using information effectively and ethically (e.g. using the Internet, keyword searching, respecting copyright, rejecting piracy)
media education and information literacy, including intellectual property rights and privacy (e.g. citing the sources of information, avoiding plagiarism, protecting personal information)","usando informações de forma eficaz e ética (por exemplo, usando a Internet, pesquisa por palavras-chave, respeitando direitos autorais, rejeitando pirataria)
educação midiática e letramento informacional, incluindo direitos de propriedade intelectual e privacidade (por exemplo, citando as fontes de informação, evitando plágio, protegendo informações pessoais)",translated,,supporting,candidate,
EVID_HONG_KONG_Q03_HK_002_P0023_002,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q03,RESP_HONG_KONG_Q03_20260912T142926Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,HK_002,HK_002__HK_002.md,23,24,3,en,"Define Information Age and discuss the importance of information literacy in a knowledge-based society. How the development of technologies leads to the emergence of the Information Age, and how information can be flexibly and analytically converted into knowledge in modern society should be discussed.",Defina a Era da Informação e discuta a importância do letramento informacional em uma sociedade baseada no conhecimento. Como o desenvolvimento de tecnologias leva ao surgimento da Era da Informação e como a informação pode ser convertida de maneira flexível e analítica em conhecimento na sociedade moderna devem ser discutidos.,translated,,supporting,candidate,
EVID_HONG_KONG_Q04_HK_001_P0038_001,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q04,RESP_HONG_KONG_Q04_20260912T142926Z,Q04,C04,OECD_PISA,hong-kong,HK_001,HK_001__HK_001.md,38,38,2,pt,"Strand 2: People and Environment
This strand aims at arousing students’ concern for the environment and its sustainable development. Students are expected to acquire a basic understanding of the nature and the relationships between people and the environment, and be willing to bear the responsibility of environmental conservation.","Estrutura 2: Pessoas e Ambiente
Esta estrutura visa despertar a preocupação dos alunos com o meio ambiente e seu desenvolvimento sustentável. Espera-se que os alunos adquiram um entendimento básico da natureza e das relações entre as pessoas e o meio ambiente, e estejam dispostos a assumir a responsabilidade pela conservação ambiental.",translated,,supportive,candidate,
EVID_HONG_KONG_Q04_HK_001_P0121_002,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q04,RESP_HONG_KONG_Q04_20260912T142926Z,Q04,C04,OECD_PISA,hong-kong,HK_001,HK_001__HK_001.md,121,121,4.1.5,pt,Developing Students’ Generic Skills and Cultivating their Positive Values and Attitudes,Desenvolvendo Habilidades Genéricas dos Alunos e Cultivando Seus Valores e Atitudes Positivas,not_needed,,supportive,candidate,
EVID_HONG_KONG_Q05_HK_001_P0100_001,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q05,RESP_HONG_KONG_Q05_20260912T142926Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,HK_001,HK_001__HK_001.md,100,100,HK_001_p0100_c001,English,"According to the “Report on the Fourth Strategy on Information Technology in Education” and the “Report on Promotion of STEM Education – Unleashing Potential to Innovation”, the EDB suggests that equipping primary students with computational thinking is essential to cope with future societal needs. Furthermore, coding can cultivate the creativity, computational thinking and problem solving skills of primary students.","De acordo com o 'Relatório sobre a Quarta Estratégia em Tecnologia da Informação na Educação' e o 'Relatório sobre a Promoção da Educação STEM - Libertando Potencial para Inovação', a EDB sugere que equipar estudantes do ensino fundamental com pensamento computacional é essencial para enfrentar as necessidades sociais futuras. Além disso, a programação pode cultivar a criatividade, o pensamento computacional e as habilidades de resolução de problemas dos estudantes do ensino fundamental.",translated,0.0,support,candidate,
EVID_HONG_KONG_Q05_HK_001_P0134_002,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q05,RESP_HONG_KONG_Q05_20260912T142926Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,HK_001,HK_001__HK_001.md,134,135,1,English,"Collaborative Problem Solving skills refers to students’ abilities to solve problems with synergised efforts through effective division of labour, as well as incorporation of information from multiple sources of knowledge, perspectives, and experiences in solving problems. Compared to individual problem solving, collaborative problem solving has distinct advantages because it enhances the creativity and quality of solutions through stimulation brought by the ideas of other group members. In the 21st century, it is particularly important for people with different perspectives and talents to solve problems with the effective use of communication technology.","As habilidades de Resolução Colaborativa de Problemas referem-se às habilidades dos estudantes para resolver problemas com esforços sinergizados por meio de uma divisão de trabalho eficaz, bem como a incorporação de informações de múltiplas fontes de conhecimento, perspectivas e experiências na resolução de problemas. Em comparação com a resolução individual de problemas, a resolução colaborativa de problemas possui vantagens distintas, pois aprimora a criatividade e a qualidade das soluções através da estimulação trazida pelas ideias de outros membros do grupo. No século XXI, é particularmente importante que pessoas com diferentes perspectivas e talentos resolvam problemas com o uso eficaz da tecnologia de comunicação.",translated,0.0,support,candidate,
