evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_JAPAO_Q01_JP_001_P0191_001,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q01,RESP_JAPAO_Q01_20260912T143439Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_001,JP_001__JP_001.md,191,192,1,ja,コンピュータや情報通信ネットワークなどの活用を図り，学習の効果を高めるようにすること。,Deve-se promover o uso de computadores e redes de comunicação de informações para aumentar a eficácia da aprendizagem.,translated,,Curricular guideline,candidate,
EVID_JAPAO_Q01_JP_001_P0192_002,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q01,RESP_JAPAO_Q01_20260912T143439Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_001,JP_001__JP_001.md,192,192,2,ja,情報技術を活用して問題の発見・解決を行う学習活動を通して，問題の発見・解決に向けて情報と情報技術を適切かつ効果的に活用し、情報社会に主体的に参画するための資質・能力を次のとおり育成することを目指す。,"Por meio de atividades de aprendizagem que utilizam tecnologia da informação para descobrir e resolver problemas, visa-se desenvolver as competências necessárias para participar ativamente na sociedade da informação.",translated,,Curricular guideline,candidate,
EVID_JAPAO_Q02_JP_002_P0001_001,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q02,RESP_JAPAO_Q02_20260912T143439Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_002,JP_002__JP_002.md,1,1,JP_002_p0001_c001,ja,情報テクノロジーについて体系的・系統的に理解するとともに，関連する技術を身に付けるようにする。,Compreender sistematicamente e de maneira estruturada a tecnologia da informação e adquirir as tecnologias relacionadas.,translated,,curricular_framework,candidate,
EVID_JAPAO_Q02_JP_002_P0001_002,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q02,RESP_JAPAO_Q02_20260912T143439Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_002,JP_002__JP_002.md,1,1,1,ja,情報社会を支える情報テクノロジーの活用に必要な資質・能力を次のとおり育成することを目指す。,Buscar desenvolver as qualidades e habilidades necessárias para utilizar tecnologias da informação que suportam a sociedade da informação.,translated,,curricular_framework,candidate,
EVID_JAPAO_Q03_JP_001_P0012_001,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q03,RESP_JAPAO_Q03_20260912T143439Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_001,JP_001__JP_001.md,12,12,JP_001_p0012_c001,ja,（ｲ） コミュニケーションの目的を明確にして，適切かつ効果的な情報デザインを考えること。,Definir claramente o objetivo da comunicação e considerar um design de informação apropriado e eficaz.,translated,,cidadania digital,candidate,
EVID_JAPAO_Q03_JP_001_P0012_002,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q03,RESP_JAPAO_Q03_20260912T143439Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_001,JP_001__JP_001.md,12,12,JP_001_p0012_c001,ja,（ｳ） 効果的なコミュニケーションを行うための情報デザインの考え方や方法に基づいて表現し，評価し改善すること。,"Expressar, avaliar e melhorar com base em conceitos e métodos de design de informação para realizar uma comunicação eficaz.",translated,,ética digital,candidate,
EVID_JAPAO_Q03_JP_002_P0170_003,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q03,RESP_JAPAO_Q03_20260912T143439Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_002,JP_002__JP_002.md,170,170,3,ja,ウ　プログラムの統合を取り上げ，複数の単体プログラムを情報システムとして動作するように統合すること。,"Abordar a integração de programas, integrando vários programas individuais para que funcionem como um sistema de informação.",translated,,letramento midiático,candidate,
EVID_JAPAO_Q04_JP_001_P0078_001,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q04,RESP_JAPAO_Q04_20260912T143439Z,Q04,C04,OECD_PISA,japao,JP_001,JP_001__JP_001.md,78,78,5,ja,核兵器などの脅威に着目させ，戦争や紛争などを防止し，平和で民主的な国際社会を実現することが重要な課題であることを認識するよう指導を工夫すること。,"É importante que os alunos reconheçam a necessidade de focar nas ameaças de armas nucleares e prevenir guerras e conflitos, visando a realização de uma sociedade internacional pacífica e democrática.",translated,,candidate,candidate,
EVID_JAPAO_Q05_JP_001_P0196_001,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q05,RESP_JAPAO_Q05_20260912T143439Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_001,JP_001__JP_001.md,196,196,0,ja,"（ｱ）目的に応じて，適切なデータを収集し，整理し，整形すること。
（ｲ）将来の現象を予測したり，複数の現象間の関連を明らかにしたりするために，適切なモデル化や処理，解釈・表現を行うこと。
（ｳ）モデルやデータ処理の結果を評価し，モデル化や処理，解釈・表現の方法を改善すること。","De acordo com o objetivo, coletar, organizar e tratar dados adequadamente.
Prever fenômenos futuros e esclarecer as relações entre vários fenômenos através da modelagem, processamento, interpretação e representação adequados.
Avaliar os resultados do modelo ou do processamento de dados e melhorar os métodos de modelagem, processamento, interpretação e representação.",translated,,relevant,candidate,
EVID_JAPAO_Q05_JP_001_P0196_002,RUN_JAPAO_20260912T143439Z,RUN_JAPAO_20260912T143439Z_Q05,RESP_JAPAO_Q05_20260912T143439Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,japao,JP_001,JP_001__JP_001.md,196,196,1,ja,（ｱ）情報システムにおける，情報の流れや処理の仕組み，情報セキュリティを確保する方法や技術について理解すること。,"Compreender o fluxo de informações e os processos dentro dos sistemas de informação, incluindo métodos e técnicas para garantir a segurança da informação.",translated,,relevant,candidate,
