evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_AFRICA_DO_SUL_Q01_AF_ZA_01_P0034_001,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q01,RESP_AFRICA_DO_SUL_Q01_20260912T140454Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-01,AF-ZA-01__AF-ZA-01.md,34,34,1,en,This section also covers some practical aspects regarding learning about and working with databases.,Esta seção também cobre alguns aspectos práticos relacionados ao aprendizado e ao trabalho com bancos de dados.,translated,0.8,curricular,candidate,
EVID_AFRICA_DO_SUL_Q01_AF_ZA_02_P0005_002,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q01,RESP_AFRICA_DO_SUL_Q01_20260912T140454Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-02,AF-ZA-02__AF-ZA-02.md,5,5,1,en,Develop solutions for various problems using computational thinking and applying software engineering principles that include both database and non-database problems.,Desenvolver soluções para vários problemas usando pensamento computacional e aplicando princípios de engenharia de software que incluem problemas com e sem banco de dados.,translated,0.9,curricular,candidate,
EVID_AFRICA_DO_SUL_Q02_AF_ZA_02_P0031_001,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q02,RESP_AFRICA_DO_SUL_Q02_20260912T140454Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-02,AF-ZA-02__AF-ZA-02.md,31,32,1,pt,Design and develop solutions for specific problems that include computational thinking and applying software engineering principles using event-driven programming within the OOP paradigm which may include database connectivity as part of the solution.,"Desenhar e desenvolver soluções para problemas específicos que incluam o pensamento computacional e a aplicação de princípios de engenharia de software usando programação orientada a eventos dentro do paradigma OOP, que pode incluir conectividade de banco de dados como parte da solução.",not_needed,,supportive,candidate,
EVID_AFRICA_DO_SUL_Q02_AF_ZA_01_P0045_002,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q02,RESP_AFRICA_DO_SUL_Q02_20260912T140454Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-01,AF-ZA-01__AF-ZA-01.md,45,46,AF-ZA-01_p0045_c001,pt,Tasks given to learners should also involve procedural skills and encourage computational thinking.,As tarefas dadas aos alunos também devem envolver habilidades processuais e encorajar o pensamento computacional.,not_needed,,supportive,candidate,
EVID_AFRICA_DO_SUL_Q03_AF_ZA_02_P0017_001,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q03,RESP_AFRICA_DO_SUL_Q03_20260912T140454Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-02,AF-ZA-02__AF-ZA-02.md,17,17,4,en,"Social implications in the IT curriculum refer to issues relating to the digital age, bridging the digital divide and the responsible use of ICTs.","As implicações sociais no currículo de TI referem-se a questões relacionadas à era digital, a superação da divisão digital e o uso responsável das TIC.",translated,,supportive,candidate,
EVID_AFRICA_DO_SUL_Q03_AF_ZA_01_P0039_002,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q03,RESP_AFRICA_DO_SUL_Q03_20260912T140454Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-01,AF-ZA-01__AF-ZA-01.md,39,39,5,en,Safe e-mail and Internet use – dangers and tips to ensure safe use.,Uso seguro de e-mail e Internet – perigos e dicas para garantir o uso seguro.,translated,,supportive,candidate,
EVID_AFRICA_DO_SUL_Q04_AF_ZA_02_P0004_001,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q04,RESP_AFRICA_DO_SUL_Q04_20260912T140454Z,Q04,C04,OECD_PISA,africa-do-sul,AF-ZA-02,AF-ZA-02__AF-ZA-02.md,4,5,1,portuguese,"O National Curriculum Statement Grades R - 12 é baseado nos seguintes princípios: Social transformation: garantindo que os desequilíbrios educacionais do passado sejam corrigidos, e que oportunidades educacionais iguais sejam proporcionadas a todas as seções da população; Active and critical learning: estimulando uma abordagem ativa e crítica ao aprendizado, em vez da memorização e aprendizado não crítico de verdades dadas;","O National Curriculum Statement Grades R - 12 é baseado nos seguintes princípios: Transformação social: garantindo que os desequilíbrios educacionais do passado sejam corrigidos, e que oportunidades educacionais iguais sejam proporcionadas a todas as seções da população; Aprendizado ativo e crítico: estimulando uma abordagem ativa e crítica ao aprendizado, em vez da memorização e aprendizado não crítico de verdades dadas;",not_needed,0.9,convergência,candidate,
EVID_AFRICA_DO_SUL_Q05_AF_ZA_01_P0006_001,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q05,RESP_AFRICA_DO_SUL_Q05_20260912T140454Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-01,AF-ZA-01__AF-ZA-01.md,6,6,1,pt,"A National Curriculum Statement Grades R - 12 aims to produce learners that are able to: • identify and solve problems and make decisions using critical and creative thinking; • work effectively as individuals and with others as members of a team; • organise and manage themselves and their activities responsibly and effectively; • collect, analyse, organise and critically evaluate information; • communicate effectively using visual, symbolic and/or language skills in various modes; • use science and technology effectively and critically showing responsibility towards the environment and the health of others; and • demonstrate an understanding of the world as a set of related systems by recognising that problem solving contexts do not exist in isolation.","A National Curriculum Statement Grades R - 12 tem o objetivo de produzir aprendizes capazes de: • identificar e resolver problemas e tomar decisões usando pensamento crítico e criativo; • trabalhar efetivamente como indivíduos e com outros como membros de uma equipe; • organizar e gerenciar a si mesmos e suas atividades de forma responsável e eficaz; • coletar, analisar, organizar e avaliar criticamente as informações; • comunicar-se efetivamente usando habilidades visuais, simbólicas e/ou linguísticas em várias modalidades; • usar a ciência e a tecnologia de maneira eficaz e crítica, mostrando responsabilidade em relação ao meio ambiente e à saúde dos outros; e • demonstrar compreensão do mundo como um conjunto de sistemas relacionados, reconhecendo que os contextos de resolução de problemas não existem isoladamente.",not_needed,,supportive,candidate,
EVID_AFRICA_DO_SUL_Q06_AF_ZA_02_P0030_001,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q06,RESP_AFRICA_DO_SUL_Q06_20260912T140454Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-02,AF-ZA-02__AF-ZA-02.md,30,30,AF-ZA-02_p0030_c001,en,Design and develop solutions for specific problems that include computational thinking and applying software engineering principles using event-driven programming within the OOP paradigm which may include database connectivity as part of the solution.,"Projetar e desenvolver soluções para problemas específicos que incluam pensamento computacional e a aplicação de princípios de engenharia de software usando programação orientada a eventos dentro do paradigma OOP, que pode incluir conectividade de banco de dados como parte da solução.",translated,,supporting,candidate,
EVID_AFRICA_DO_SUL_Q06_AF_ZA_01_P0021_002,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q06,RESP_AFRICA_DO_SUL_Q06_20260912T140454Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,AF-ZA-01,AF-ZA-01__AF-ZA-01.md,21,21,2,en,"Teach learners to use and combine information, data and ideas to solve the problems to discover and explain relationships or trends and predict behaviour/events.","Ensinar os alunos a usar e combinar informações, dados e ideias para resolver problemas, descobrir e explicar relacionamentos ou tendências e prever comportamentos/eventos.",translated,,supporting,candidate,
