evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_CHILE_Q01_CL_003_P0019_001,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q01,RESP_CHILE_Q01_20260912T141439Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,chile,CL_003,CL_003,19,19,CL_003_p0019_c001,es,"Usar tecnología de la información en forma reflexiva y eficaz para obtenerla, procesarla y comunicarla.","Usar tecnologia da informação de forma reflexiva e eficaz para obtê-la, processá-la e comunicá-la.",translated,0,direct,candidate,
EVID_CHILE_Q01_CL_002_P0018_002,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q01,RESP_CHILE_Q01_20260912T141439Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,chile,CL_002,CL_002,18,18,1,es,"Las Bases Curriculares constituyen, de acuerdo con esta ley, el documento principal del currículum nacional.","As Bases Curriculares constituem, de acordo com esta lei, o documento principal do currículo nacional.",translated,0,direct,candidate,
EVID_CHILE_Q02_CL_005_P0002_001,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q02,RESP_CHILE_Q02_20260912T141439Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,chile,CL_005,CL_005__CL_005.md,2,4,CL_005_p0002_c001,es,"se buscó desarrollar una ruta de aprendizaje para el pensamiento computacional en base al modelo de trayectorias de aprendizaje originalmente propuesto por Rich et al. (Rich et al., 2017) para el desarrollo de competencias básicas de pensamiento computacional: secuencialidad, condiciones y repetición.","buscou-se desenvolver uma rota de aprendizagem para o pensamento computacional com base no modelo de trajetórias de aprendizagem originalmente proposto por Rich et al. (Rich et al., 2017) para o desenvolvimento de competências básicas de pensamento computacional: sequencialidade, condições e repetição.",translated,,curriculum,candidate,
EVID_CHILE_Q02_CL_005_P0004_002,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q02,RESP_CHILE_Q02_20260912T141439Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,chile,CL_005,CL_005__CL_005.md,4,4,1,es,"Dado esto, se siguió la siguiente metodología para crear una ruta de aprendizaje para el desarrollo del pensamiento computacional en Chile.","Dado isso, seguiu-se a seguinte metodologia para criar uma rota de aprendizagem para o desenvolvimento do pensamento computacional no Chile.",translated,,curriculum,candidate,
EVID_CHILE_Q03_CL_001_P0032_001,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q03,RESP_CHILE_Q03_20260912T141439Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,chile,CL_001,CL_001__CL_001.md,32,32,CL_001_p0032_c001,es,"OA 6. Utilizar la tecnología digital, y la información personal y privada que esta contiene, de una forma creativa, respetuosa y responsable.","OA 6. Utilizar a tecnologia digital e as informações pessoais e privadas que ela contém de forma criativa, respeitosa e responsável.",translated,,supportive,candidate,
EVID_CHILE_Q03_CL_002_P0384_002,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q03,RESP_CHILE_Q03_20260912T141439Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,chile,CL_002,CL_002__CL_002.md,384,384,CL_002_p0384_c001,es,"las tecnologías de la información y la comunicación se abordan transversalmente dentro de los Objetivos de Aprendizaje planteados, los que están formulados de modo que las y los estudiantes usen las tecnologías de la información y la comunicación en forma efectiva, de manera competente y responsable, así como también con la capacidad para identificar dilemas éticos, legales y sociales en ambiente digital.","as tecnologias da informação e comunicação são abordadas transversalmente dentro dos Objetivos de Aprendizagem propostos, os quais estão formulados de modo que os alunos utilizem as tecnologias de forma efetiva, competente e responsável, assim como também com a capacidade de identificar dilemas éticos, legais e sociais em ambiente digital.",translated,,supportive,candidate,
EVID_CHILE_Q04_CL_003_P0342_001,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q04,RESP_CHILE_Q04_20260912T141439Z,Q04,C04,OECD_PISA,chile,CL_003,CL_003__CL_003.md,342,342,CL_003_p0342_c001,es,"OECD. (2007). Informe PISA 2006. Competencias Científicas para el Mundo del Mañana. Paris, Francia: OECD Publishing.","OCDE. (2007). Informe PISA 2006. Competências Científicas para o Mundo do Amanhã. Paris, França: Publicações da OCDE.",translated,,relevant,candidate,
EVID_CHILE_Q04_CL_002_P0144_002,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q04,RESP_CHILE_Q04_20260912T141439Z,Q04,C04,OECD_PISA,chile,CL_002,CL_002__CL_002.md,144,144,5,en,"Organisation for Economic Co-operation and Development (2009). PISA 2009: Marco de la evaluación, Conocimientos y habilidades en Ciencias, Matemáticas y Lectura.","Organização para Cooperação e Desenvolvimento Econômico (2009). PISA 2009: Marco da avaliação, Conhecimentos e habilidades em Ciências, Matemática e Leitura.",translated,,relevant,candidate,
EVID_CHILE_Q05_CL_003_P0095_001,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q05,RESP_CHILE_Q05_20260912T141439Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,chile,CL_003,CL_003__CL_003.md,95,96,CL_003_p0095_c001,es,"Los Objetivos de Aprendizaje planteados en esta propuesta implican el desarrollo integral de actitudes requeridas para el siglo XXI, como la flexibilidad, la empatía, la responsabilidad, la disposición a enfrentar nuevos desafíos e ideas, y la apertura ante la diversidad de culturas y opiniones, entre otras.","Os Objetivos de Aprendizagem propostos nesta proposta implicam o desenvolvimento integral de atitudes necessárias para o século XXI, como a flexibilidade, a empatia, a responsabilidade, a disposição para enfrentar novos desafios e ideias e a abertura à diversidade de culturas e opiniões, entre outras.",translated,,direct,candidate,
EVID_CHILE_Q06_CL_003_P0142_001,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q06,RESP_CHILE_Q06_20260912T141439Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,chile,CL_003,CL_003__CL_003.md,142,144,1,es,"Las habilidades de alfabetización digital y de uso de tecnologías que se promueve en las Bases Curriculares de 3° y 4° medio, como parte de las habilidades para el siglo XXI, son fundamentales para generar instancias de colaboración, comunicación, creación e innovación en los estudiantes mediante el uso de TIC.","As habilidades de alfabetização digital e de uso de tecnologias que se promovem nas Bases Curriculares do 3º e 4º ano do ensino médio, como parte das habilidades para o século XXI, são fundamentais para gerar instâncias de colaboração, comunicação, criação e inovação nos estudantes mediante o uso de TIC.",translated,,supportive,candidate,
