evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_COREIA_DO_SUL_Q01_KR_001_P0137_001,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q01,RESP_COREIA_DO_SUL_Q01_20260912T141943Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,KR_001,KR_001__KR_001.md,137,138,1,en,"As a base material for supporting personalized learning, the government will establish a ‘Learning Map’ that establishes inter-topic relationships (causal and reference relationships, etc.) by analyzing the subjects and achievement criteria of the 2015 curriculum and connects learning resources.","Como material base para apoiar a aprendizagem personalizada, o governo estabelecerá um 'Mapa de Aprendizagem' que estabelece relações inter-tópicos (relações causais e de referência, etc.) analisando os assuntos e critérios de realização do currículo de 2015 e conecta os recursos de aprendizado.",translated,,curricular_policy,candidate,
EVID_COREIA_DO_SUL_Q01_KR_001_P0138_002,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q01,RESP_COREIA_DO_SUL_Q01_20260912T141943Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,KR_001,KR_001__KR_001.md,138,138,1,en,"The content distribution platform provides content by level to support customized learning by developing, collecting and securing diverse content to create an open content distribution environment that shares and distributes content for free education with public, private and individual participation.","A plataforma de distribuição de conteúdo fornece conteúdo por nível para apoiar a aprendizagem personalizada, desenvolvendo, coletando e garantindo conteúdo diverso para criar um ambiente de distribuição de conteúdo aberto que compartilha e distribui conteúdo para educação gratuita com participação pública, privada e individual.",translated,,curricular_policy,candidate,
EVID_COREIA_DO_SUL_Q01_KR_001_P0050_003,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q01,RESP_COREIA_DO_SUL_Q01_20260912T141943Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,KR_001,KR_001__KR_001.md,50,51,1,en,"Establishment of a customized learning support system (kindergarten, elementary and secondary education) ... Expanded the area of education information service to the whole of education (kindergarten, elementary and secondary schools, universities, lifetime, jobs, etc.).","Estabelecimento de um sistema de suporte à aprendizagem personalizada (educação infantil, primária e secundária) ... Expandiu a área do serviço de informação educacional para toda a educação (jardim de infância, escolas primárias e secundárias, universidades, vida, trabalho, etc.).",translated,,curricular_policy,candidate,
EVID_COREIA_DO_SUL_Q02_KR_001_P0041_001,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q02,RESP_COREIA_DO_SUL_Q02_20260912T141943Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,KR_001,KR_001__KR_001.md,41,41,2,inglês,"Considering the limitations and implications of the policy of the previous phase of basic plan and the rapidly changing environment mentioned before, the 6th basic plan for ICT in education consisted of four goals and areas, 13 major policy tasks, and 51 implementation tasks under the vision of ‘implement of person-centered future intelligent education environment’.","Considerando as limitações e implicações da política da fase anterior do plano básico e o ambiente em rápida mudança mencionado anteriormente, o 6º plano básico para TIC na educação consistiu em quatro metas e áreas, 13 tarefas políticas principais e 51 tarefas de implementação sob a visão de 'implantar um ambiente educacional inteligente centrado na pessoa'.",translated,,definição,candidate,
EVID_COREIA_DO_SUL_Q02_KR_001_P0057_002,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q02,RESP_COREIA_DO_SUL_Q02_20260912T141943Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,KR_001,KR_001__KR_001.md,57,57,6,inglês,"Education should be prepared for change in the era of the fourth industrial revolution due to the rapidly changing convergence of information and communication technology and education in the intelligent information society. In other words, AI (Artificial Intelligence), Learning Analytics, IOT (Internet of Things) and Robot (Robot) technologies have developed rapidly, and are seeking meaningful changes and innovations in education by converging new technologies in different areas of education.","A educação deve estar preparada para mudanças na era da quarta revolução industrial devido à convergência rapidamente mutável da tecnologia da informação e comunicação e da educação na sociedade da informação inteligente. Em outras palavras, as tecnologias de IA (Inteligência Artificial), Análise de Aprendizado, IOT (Internet das Coisas) e Robô se desenvolveram rapidamente e buscam mudanças e inovações significativas na educação ao convergir novas tecnologias em diferentes áreas de educação.",translated,,desenvolvimento,candidate,
EVID_COREIA_DO_SUL_Q03_KR_001_P0053_001,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q03,RESP_COREIA_DO_SUL_Q03_20260912T141943Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,KR_001,KR_001__KR_001.md,53,54,5,en,"The 5th ICT in Education (2014ť2018) established the 5th strategic information system in five areas, including education, elementary and secondary education, higher education and academic research for capacity-oriented social development, lifelong and career education, education related to learning and work, education welfare, special education, public information utilization and sound cultural composition.","O 5º ICT na Educação (2014-2018) estabeleceu o 5º sistema estratégico de informação em cinco áreas, incluindo educação, educação básica e secundária, educação superior e pesquisa acadêmica para desenvolvimento social orientado à capacidade, educação e formação ao longo da vida, educação relacionada ao aprendizado e ao trabalho, assistência educacional, educação especial, utilização de informações públicas e composição cultural saudável.",translated,,strong,candidate,
EVID_COREIA_DO_SUL_Q03_KR_001_P0040_002,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q03,RESP_COREIA_DO_SUL_Q03_20260912T141943Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,KR_001,KR_001__KR_001.md,40,40,6,en,"First, it was to change informationization based on infrastructure to policies based on soft power cultivation. Second, it was to build environment of production, distribution and utilization of information by introducing the concept of digital learning-research ecosystem and to lead future education by connecting information and technology and learning and research in a virtuous cycle.","Primeiro, foi mudar a informatização baseada em infraestrutura para políticas baseadas no cultivo de poder brando. Em segundo lugar, foi construir um ambiente de produção, distribuição e utilização da informação, introduzindo o conceito de ecossistema de aprendizado digital e pesquisa e liderando a educação futura conectando informação e tecnologia e aprendizagem e pesquisa em um ciclo virtuoso.",translated,,strong,candidate,
EVID_COREIA_DO_SUL_Q04_KR_001_P0001_001,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q04,RESP_COREIA_DO_SUL_Q04_20260912T141943Z,Q04,C04,OECD_PISA,coreia-do-sul,KR_001,KR_001__KR_001.md,1,1,1,en,"Main Performance: The basic plan for ICT in education was developed and implemented at each stage, starting with the first stage of the basic plan in 1996. The main characteristics of each step are as shown in [Table Figure-1]. Major achievements in 2018 at the end of the 5th basic plan for ICT in education (2014-2018) are ‘Fostering Creative Talent through Convergence of Education and ICT’.","Desempenho Principal: O plano básico para TIC na educação foi desenvolvido e implementado em cada etapa, começando pela primeira etapa do plano básico em 1996. As principais características de cada etapa estão mostradas em [Tabela Figura-1]. As principais conquistas em 2018, ao final do 5º plano básico para TIC na educação (2014-2018), são 'Desenvolvendo Talentos Criativos através da Convergência da Educação e TIC'.",translated,,Support,candidate,
EVID_COREIA_DO_SUL_Q04_KR_001_P0039_002,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q04,RESP_COREIA_DO_SUL_Q04_20260912T141943Z,Q04,C04,OECD_PISA,coreia-do-sul,KR_001,KR_001__KR_001.md,39,39,5,en,"The special feature of ‘Software Education Policy Status and Future Plans’, highlights the importance of software education in the wake of the recent arrival of a digital knowledge and information society, which is central to innovation, growth and value creation throughout society.","A característica especial da 'Situação da Política de Educação em Software e Planos Futuros' destaca a importância da educação em software na sequência da recente chegada de uma sociedade digital de conhecimento e informação, que é central para a inovação, crescimento e criação de valor em toda a sociedade.",translated,,Support,candidate,
EVID_COREIA_DO_SUL_Q05_KR_001_P0154_001,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q05,RESP_COREIA_DO_SUL_Q05_20260912T141943Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,KR_001,KR_001__KR_001.md,154,155,3,en,Middle school students showed a strong tendency to ‘Communicate Information’ and ‘Use and Manage Information’.,Estudantes do ensino médio mostraram uma forte tendência em 'Comunicar Informação' e 'Usar e Gerir Informação'.,translated,,competencies,candidate,
