response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_COREIA_DO_SUL_Q01_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Coreia do Sul organiza as competências de Computação e Educação Digital em seus documentos curriculares através de um sistema que promove a coleta e análise de dados de aprendizado, a construção de mapas de aprendizado e a criação de uma plataforma de distribuição de conteúdo. A abordagem se concentra na personalização da educação por meio de tecnologias digitais e no desenvolvimento de habilidades de TIC em vários níveis de ensino.",EVID_COREIA_DO_SUL_Q01_KR_001_P0137_001; EVID_COREIA_DO_SUL_Q01_KR_001_P0138_002; EVID_COREIA_DO_SUL_Q01_KR_001_P0050_003,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q02_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?",O Pensamento Computacional na Coreia do Sul é incorporado ao currículo educacional através do planejamento e desenvolvimento de um ambiente de educação centrado na utilização das tecnologias da informação e comunicação (TIC). O 6º plano básico para a educação em TIC enfatiza a criação de um ambiente educacional inteligente que se adapta às necessidades dos alunos e promove uma contínua evolução dos métodos de ensino e aprendizagem.,EVID_COREIA_DO_SUL_Q02_KR_001_P0041_001; EVID_COREIA_DO_SUL_Q02_KR_001_P0057_002,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q03_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital, ética digital e letramento midiático através da implementação de um ambiente de educação digital que promove a inclusão e o acesso à informação. A educação em tecnologias digitais é uma prioridade, focando no desenvolvimento de competências que capacitam os alunos a navegar na informação de forma ética e responsável.",EVID_COREIA_DO_SUL_Q03_KR_001_P0053_001; EVID_COREIA_DO_SUL_Q03_KR_001_P0040_002,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q04_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q04,Q04,C04,OECD_PISA,coreia-do-sul,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,A evidência de Convergência entre a educação e as diretrizes da UNESCO e do OECD/PISA é identificada nos princípios de desenvolvimento de talentos criativos através da integração de Tecnologia da Informação e Comunicação (TIC) no processo educacional.,EVID_COREIA_DO_SUL_Q04_KR_001_P0001_001; EVID_COREIA_DO_SUL_Q04_KR_001_P0039_002,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q05_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI nos documentos curriculares incluem a medição da literacia em TIC, onde o estudo revelou um forte desenvolvimento nas áreas de 'Comunicação da Informação' e 'Uso e Gestão da Informação' entre estudantes do ensino médio, indicando a relevância dessas habilidades na formação educacional moderna.",EVID_COREIA_DO_SUL_Q05_KR_001_P0154_001,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q06_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares por meio do uso de livros didáticos digitais e metodologias que promovem a aprendizagem autodirigida e atividades diversificadas. A utilização de livros digitais permite experiências indiretas e promove a colaboração entre estudantes, facilitando discussões e atividades em grupo.",EVID_COREIA_DO_SUL_Q06_KR_001_P0077_001; EVID_COREIA_DO_SUL_Q06_KR_001_P0077_002,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q07_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam questões de ética e privacidade ao estabelecer diretrizes para a proteção de informações pessoais, garantindo a segurança no uso de tecnologias digitais, através de inspeções regulares e consultas de especialistas. O desenvolvimento de padrões e diretrizes para o uso seguro e responsável de tecnologias, como inteligência artificial e realidade virtual, também é enfatizado.",EVID_COREIA_DO_SUL_Q07_KR_001_P0291_001; EVID_COREIA_DO_SUL_Q07_KR_001_P0139_002; EVID_COREIA_DO_SUL_Q07_KR_001_P0294_003,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q08_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","A inclusão, acessibilidade e equidade digital são abordadas por meio de políticas que visam reduzir a disparidade de oportunidades educacionais e garantir o acesso a recursos digitais. Isso inclui o apoio na redução de custos para estudantes de famílias de baixa renda e a disponibilização de conteúdos educacionais adaptados para alunos com deficiências.",EVID_COREIA_DO_SUL_Q08_KR_001_P0001_001; EVID_COREIA_DO_SUL_Q08_KR_001_P0040_002,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q09_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","As dimensões técnicas da Computação, através da aplicação de tecnologias como e-books e plataformas digitais, têm facilitado um ensino mais voltado para a auto-dirigência e atividades diversificadas, alterando o foco das aulas para envolver mais os alunos. Isso se traduz em um aprendizado que promove competências como auto-dirigido, criatividade, inovação e pensamento crítico. Por outro lado, a inclusão de conteúdos digitais também busca minimizar a divisão digital, garantindo o acesso equitativo à educação.",EVID_COREIA_DO_SUL_Q09_KR_001_P0074_001; EVID_COREIA_DO_SUL_Q09_KR_001_P0078_002; EVID_COREIA_DO_SUL_Q09_KR_001_P0052_003,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_COREIA_DO_SUL_Q10_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo relacionado à Computação e Educação Digital na Coreia do Sul visa promover pensamento crítico, autonomia e participação social através do desenvolvimento de um ambiente de aprendizagem personalizado, que inclui a análise de dados de aprendizado dos alunos e o uso de plataformas digitais que favorecem a interação e a colaboração entre alunos e professores.",EVID_COREIA_DO_SUL_Q10_KR_001_P0137_001; EVID_COREIA_DO_SUL_Q10_KR_001_P0075_002,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
