evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_GANA_Q01_GH_001_P0032_001,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q01,RESP_GANA_Q01_20260912T142704Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_001,GH_001__GH_001.md,32,32,4,en,"Creativity and Innovation (CI), Communication and Collaboration (CC), Digital Literacy (DL), Critical Thinking and Problem Solving (CP), Cultural Identity and Global Citizenship, Personal Development and Leadership (PL)","Criatividade e Inovação (CI), Comunicação e Colaboração (CC), Literacia Digital (DL), Pensamento Crítico e Resolução de Problemas (CP), Identidade Cultural e Cidadania Global, Desenvolvimento Pessoal e Liderança (PL)",translated,1,curricular,candidate,
EVID_GANA_Q01_GH_001_P0057_002,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q01,RESP_GANA_Q01_20260912T142704Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_001,GH_001__GH_001.md,57,58,2,en,Digital literacy. Subject Specific Practices 1. Internet Skill Development 2. Communication,Literacia digital. Práticas Específicas do Tema 1. Desenvolvimento de Habilidades na Internet 2. Comunicação,translated,1,curricular,candidate,
EVID_GANA_Q01_GH_002_P0025_003,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q01,RESP_GANA_Q01_20260912T142704Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_002,GH_002__GH_002.md,25,26,4,en,"Demonstrate the use of the Desktop Background as well as working with folders. Guide learners to create, name and rename a folder.","Demonstrar o uso do Papel de Parede da Área de Trabalho, bem como trabalhar com pastas. Orientar os alunos a criar, nomear e renomear uma pasta.",translated,1,curricular,candidate,
EVID_GANA_Q02_GH_001_P0082_001,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q02,RESP_GANA_Q02_20260912T142704Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_001,GH_001__GH_001.md,82,82,1,en,B9.4.1.1. Show an Understanding of the Concept of Programming,B9.4.1.1. Mostrar compreensão sobre o conceito de programação,not_needed,,definitional,candidate,
EVID_GANA_Q02_GH_002_P0002_002,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q02,RESP_GANA_Q02_20260912T142704Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_002,GH_002__GH_002.md,2,2,3,en,The new curriculum encourages the use of Information and Communication Technologies (ICTs) for teaching and learning – ICTs as teaching and learning materials.,O novo currículo incentiva o uso de Tecnologias da Informação e Comunicação (TIC) para o ensino e a aprendizagem - TIC como materiais de ensino e aprendizagem.,translated,,curricular,candidate,
EVID_GANA_Q03_GH_001_P0064_001,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q03,RESP_GANA_Q03_20260912T142704Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_001,GH_001__GH_001.md,64,64,1,en,DL6.1: Understand the sociological and emotional aspects of cyberspace.,DL6.1: Compreender os aspectos sociológicos e emocionais do ciberespaço.,translated,,supportive,candidate,
EVID_GANA_Q03_GH_001_P0092_002,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q03,RESP_GANA_Q03_20260912T142704Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_001,GH_001__GH_001.md,92,92,2,en,DL6.6: Knowledge and recognition of ethical use of information.,DL6.6: Conhecimento e reconhecimento do uso ético de informações.,translated,,supportive,candidate,
EVID_GANA_Q03_GH_002_P0049_003,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q03,RESP_GANA_Q03_20260912T142704Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_002,GH_002__GH_002.md,49,49,3,en,B5.6.10.1.2. Illustrate how to keep some information from public when using the internet.,B5.6.10.1.2. Ilustrar como manter algumas informações fora do público ao usar a internet.,translated,,supportive,candidate,
EVID_GANA_Q04_GH_001_P0080_001,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q04,RESP_GANA_Q04_20260912T142704Z,Q04,C04,OECD_PISA,gana,GH_001,GH_001__GH_001.md,80,80,GH_001_p0080_c001,en,"DL5.1: Ability to ascertain when information is needed and be able to identify, locate, evaluate and effectively use it to solve a problem.","DL5.1: Capacidade de determinar quando a informação é necessária e ser capaz de identificar, localizar, avaliar e utilizá-la efetivamente para resolver um problema.",translated,,supporting,candidate,
EVID_GANA_Q04_GH_001_P0079_002,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q04,RESP_GANA_Q04_20260912T142704Z,Q04,C04,OECD_PISA,gana,GH_001,GH_001__GH_001.md,79,79,GH_001_p0079_c001,en,CC8.5: Vary the level of detail and the language used when presenting to make it appropriate for the audience.,CC8.5: Variar o nível de detalhe e a linguagem utilizada ao apresentar para torná-la apropriada para o público.,translated,,supporting,candidate,
EVID_GANA_Q05_GH_002_P0025_001,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q05,RESP_GANA_Q05_20260912T142704Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_002,GH_002__GH_002.md,25,26,2,en,1. Creativity and innovation. 2. Communication and collaboration 3. Cultural identity and global citizenship. 4. Personal development and leadership. 5. Digital literacy.,1. Criatividade e inovação. 2. Comunicação e colaboração 3. Identidade cultural e cidadania global. 4. Desenvolvimento pessoal e liderança. 5. Alfabetização digital.,translated,,supportive,candidate,
EVID_GANA_Q05_GH_001_P0088_002,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q05,RESP_GANA_Q05_20260912T142704Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_001,GH_001__GH_001.md,88,89,GH_001_p0088_c001,en,"Creativity and Innovation (CI), Communication and Collaboration (CC), Digital Literacy (DL), Critical thinking and Problem solving (CP).","Criatividade e Inovação (CI), Comunicação e Colaboração (CC), Alfabetização Digital (DL), Pensamento Crítico e Resolução de Problemas (CP).",translated,,supportive,candidate,
EVID_GANA_Q06_GH_002_P0013_001,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q06,RESP_GANA_Q06_20260912T142704Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_002,GH_002__GH_002.md,13,13,GH_002_p0013_c001,pt,O currículo promove a coesão social. A aprendizagem é encorajada através do pensamento crítico e da utilização de tecnologia contemporânea.,O currículo promove a coesão social. A aprendizagem é encorajada através do pensamento crítico e da utilização de tecnologia contemporânea.,not_needed,0.9,supportive,candidate,
EVID_GANA_Q06_GH_002_P0013_002,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q06,RESP_GANA_Q06_20260912T142704Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_002,GH_002__GH_002.md,13,13,1,pt,Os alunos são incentivados a se comprometer com ambientes de trabalho e aprendizagem orientados para o trabalho em equipe.,Os alunos são incentivados a se comprometer com ambientes de trabalho e aprendizagem orientados para o trabalho em equipe.,not_needed,0.9,supportive,candidate,
EVID_GANA_Q06_GH_001_P0071_003,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q06,RESP_GANA_Q06_20260912T142704Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_001,GH_001__GH_001.md,71,71,5,en,Evaluate problems in the community that can be solved with technology.,Avalie os problemas na comunidade que podem ser solucionados com tecnologia.,translated,0.85,supportive,candidate,
EVID_GANA_Q07_GH_001_P0001_001,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q07,RESP_GANA_Q07_20260912T142704Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,gana,GH_001,GH_001__GH_001.md,1,1,B7.3.3.1,en,"Discuss the key principles of information security (confidentiality, integrity and availability).","Discutir os principais princípios da segurança da informação (confidencialidade, integridade e disponibilidade).",translated,,supportive,candidate,
