evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_IRLANDA_Q01_IE_001_P0010_001,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q01,RESP_IRLANDA_Q01_20260912T143215Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,IE_001,IE_001__IE_001.md,10,12,6,en,"There are three strands in the Computer Science specification: Practices and principles, Core concepts and Computer science in practice. All three strands are interwoven and should be studied concurrently at different stages of the course and should not be studied in a linear order.","Existem três estratos na especificação de Ciência da Computação: Práticas e princípios, Conceitos centrais e Computação na prática. Todos os três estratos estão interligados e devem ser estudados de forma concomitante em diferentes fases do curso e não devem ser estudados em uma ordem linear.",translated,0.95,support,candidate,
EVID_IRLANDA_Q02_IE_001_P0020_001,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q02,RESP_IRLANDA_Q02_20260912T143215Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,IE_001,IE_001__IE_001.md,20,20,3,en,"The practices and principles of computer science describe the behaviours and ways of thinking that computationally-literate students use to fully engage in a data-rich and interconnected world. Computational thinking, at the heart of computer science practices, is a problem-solving process that involves designing solutions that exploit the power of computers.","As práticas e princípios da ciência da computação descrevem os comportamentos e maneiras de pensar que estudantes com letramento computacional usam para se engajar plenamente em um mundo rico em dados e interconectado. O pensamento computacional, no coração das práticas de ciência da computação, é um processo de resolução de problemas que envolve a concepção de soluções que exploram o poder dos computadores.",translated,1,definition,candidate,
EVID_IRLANDA_Q02_IE_001_P0020_002,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q02,RESP_IRLANDA_Q02_20260912T143215Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,IE_001,IE_001__IE_001.md,20,20,4,en,Students learn about: Computational thinking... solve problems by deconstructing them into smaller units using a systematic approach in an iterative fashion.,Os estudantes aprendem sobre: Pensamento computacional... resolver problemas decompondo-os em unidades menores usando uma abordagem sistemática de forma iterativa.,translated,1,curricular_incorporation,candidate,
EVID_IRLANDA_Q03_IE_001_P0021_001,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q03,RESP_IRLANDA_Q03_20260912T143215Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,IE_001,IE_001__IE_001.md,21,21,1.11,en,discuss the complex relationship between computing technologies and society including issues of ethics,"discutir a complexa relação entre as tecnologias de computação e a sociedade, incluindo questões de ética",translated,,sustentação,candidate,
EVID_IRLANDA_Q03_IE_001_P0021_002,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q03,RESP_IRLANDA_Q03_20260912T143215Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,IE_001,IE_001__IE_001.md,21,21,1.12,en,compare the positive and negative impacts of computing on culture and society,comparar os impactos positivos e negativos da computação na cultura e sociedade,translated,,sustentação,candidate,
EVID_IRLANDA_Q04_IE_001_P0013_001,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q04,RESP_IRLANDA_Q04_20260912T143215Z,Q04,C04,OECD_PISA,irlanda,IE_001,Computer Science Curriculum Specification,13,13,IE_001_p0013_c001,en,The overarching practices and principles of computer science are the behaviours and ways of thinking that computer scientists use.,As práticas e princípios gerais da ciência da computação são os comportamentos e maneiras de pensar que os cientistas da computação usam.,translated,,supporting,candidate,
EVID_IRLANDA_Q04_IE_001_P0021_002,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q04,RESP_IRLANDA_Q04_20260912T143215Z,Q04,C04,OECD_PISA,irlanda,IE_001,Computer Science Curriculum Specification,21,21,IE_001_p0021_c001,en,"Computational thinking, at the heart of computer science practices, is a problem-solving process that involves designing solutions that exploit the power of computers.","O pensamento computacional, no cerne das práticas de ciência da computação, é um processo de resolução de problemas que envolve o design de soluções que exploram o poder dos computadores.",translated,,supporting,candidate,
EVID_IRLANDA_Q04_IE_001_P0027_003,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q04,RESP_IRLANDA_Q04_20260912T143215Z,Q04,C04,OECD_PISA,irlanda,IE_001,Computer Science Curriculum Specification,27,27,IE_001_p0027_c001,en,"Students must acknowledge, through appropriate citations and references, the source or author of all information or evidence taken from someone else’s work.","Os estudantes devem reconhecer, por meio de citações e referências apropriadas, a fonte ou autor de todas as informações ou evidências extraídas do trabalho de outra pessoa.",translated,,supporting,candidate,
EVID_IRLANDA_Q04_IE_001_P0008_004,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q04,RESP_IRLANDA_Q04_20260912T143215Z,Q04,C04,OECD_PISA,irlanda,IE_001,Computer Science Curriculum Specification,8,8,IE_001_p0008_c001,en,"It is an education policy that emphasises the promotion of social cohesion, the growth of society and the economy, and the principle of sustainability in all aspects of development.","É uma política educacional que enfatiza a promoção da coesão social, o crescimento da sociedade e da economia, e o princípio da sustentabilidade em todos os aspectos do desenvolvimento.",translated,,supporting,candidate,
EVID_IRLANDA_Q05_IE_001_P0006_001,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q05,RESP_IRLANDA_Q05_20260912T143215Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,IE_001,Computer Science Curriculum Specification,6,8,S1,en,Students will apply the fundamental practices and concepts of computer science and develop an appreciation of the diverse role of computing technology in society and the environment in which they live.,Os alunos aplicarão as práticas e conceitos fundamentais de ciência da computação e desenvolverão uma apreciação do papel diverso da tecnologia da computação na sociedade e no ambiente em que vivem.,translated,,primary,candidate,
