response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_IRLANDA_Q01_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O currículo de Computação na Irlanda organiza as competências em três estratos: Práticas e Princípios, Conceitos Centrais e Computação na Prática. Essas competências estão interligadas e são aplicadas por meio de tarefas de aprendizagem prática ao longo do curso.",EVID_IRLANDA_Q01_IE_001_P0010_001,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q02_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é uma parte fundamental do currículo de Ciência da Computação na Irlanda, sendo definido como um processo de resolução de problemas que envolve a concepção de soluções que exploram o poder dos computadores. Os estudantes devem demonstrar capacidade de descrever problemas de forma sistemática, utilizando a abstração para identificar tarefas e selecionar estratégias apropriadas para gerar soluções. Além disso, eles devem desenvolver algoritmos e examiná-los quanto à eficiência e utilização em diversas situações.",EVID_IRLANDA_Q02_IE_001_P0020_001; EVID_IRLANDA_Q02_IE_001_P0020_002,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q03_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital, ética digital e letramento midiático através do reconhecimento da relação complexa entre as tecnologias de computação e a sociedade, incluindo questões de ética e o impacto positivo e negativo da computação na cultura e sociedade.",EVID_IRLANDA_Q03_IE_001_P0021_001; EVID_IRLANDA_Q03_IE_001_P0021_002,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q04_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q04,Q04,C04,OECD_PISA,irlanda,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"O currículo de Ciências da Computação promove habilidades essenciais como pensamento computacional, resolução de problemas e ética social, que ressoam com os princípios da UNESCO e dimensões do OECD/PISA.",EVID_IRLANDA_Q04_IE_001_P0013_001; EVID_IRLANDA_Q04_IE_001_P0021_002; EVID_IRLANDA_Q04_IE_001_P0027_003; EVID_IRLANDA_Q04_IE_001_P0008_004,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q05_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI mencionadas nos documentos curriculares incluem a capacidade de resolver problemas, pensamento lógico, pensamento crítico, e colaboração. Os alunos devem também desenvolver habilidades de autogerenciamento e responsabilidade social.",EVID_IRLANDA_Q05_IE_001_P0006_001; EVID_IRLANDA_Q05_IE_001_P0009_002; EVID_IRLANDA_Q05_IE_001_P0021_003,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q06_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A colaboração, criatividade e resolução de problemas são incorporadas nas competências e práticas curriculares através de metodologias que promovem o trabalho em grupo, a análise crítica e a inovação. Os alunos aprendem a desenvolver soluções criativas para problemas complexos, utilizando pensamento lógico e computacional, enquanto colaboram em projetos que envolvem a criação de artefatos computacionais relevantes para suas vidas e interesses.",EVID_IRLANDA_Q06_IE_001_P0016_001; EVID_IRLANDA_Q06_IE_001_P0001_002; EVID_IRLANDA_Q06_IE_001_P0021_003,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q07_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam a Inteligência Artificial e ética, bem como a privacidade e segurança em tecnologias digitais, avaliando as implicações sociais e éticas do uso de tecnologias computacionais.",EVID_IRLANDA_Q07_IE_001_P0020_001; EVID_IRLANDA_Q07_IE_001_P0009_002,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q08_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","Nos documentos, a inclusão, acessibilidade e equidade digital são abordadas por meio da ênfase em práticas e princípios que promovem a responsabilidade dos alunos em seu próprio aprendizado, além do uso de tecnologia adaptativa para apoiar pessoas com necessidades especiais.",EVID_IRLANDA_Q08_IE_001_P0006_001; EVID_IRLANDA_Q08_IE_001_P0017_002,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q09_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O equilíbrio entre as dimensões técnicas da Computação e as dimensões sociais, culturais, éticas e humanas da Educação Digital é evidenciado através do reconhecimento das práticas e princípios da ciência da computação que, em um contexto aplicado, promovem a reflexão sobre aspectos éticos e sociais da tecnologia. Os alunos têm a oportunidade de explorar como a tecnologia impacta a sociedade e como eles podem contribuir para a comunidade ao desenvolver artefatos computacionais que são pessoalmente relevantes ou benéficos para a sociedade.",EVID_IRLANDA_Q09_IE_001_P0012_001; EVID_IRLANDA_Q09_IE_001_P0012_002,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
RESP_IRLANDA_Q10_20260912T143215Z,RUN_IRLANDA_20260912T143215Z,RUN_IRLANDA_20260912T143215Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,irlanda,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo de Computação e Educação Digital promove pensamento crítico, autonomia e participação social através de várias práticas e abordagens educacionais. Os alunos desenvolvem habilidades de pensamento crítico ao analisar padrões e relações, realizando um trabalho colaborativo que incentiva a comunicação e a resolução de problemas. A autonomia é fomentada através do aprendizado autodirigido, onde os alunos têm a capacidade de planejar, monitorar e avaliar seu próprio aprendizado. Além disso, a participação social é incentivada ao criar artefatos computacionais que têm relevância para suas vidas e para a comunidade, promovendo uma conexão entre o aprendizado e a aplicação prática na sociedade.",EVID_IRLANDA_Q10_IE_001_P0007_001; EVID_IRLANDA_Q10_IE_001_P0016_002; EVID_IRLANDA_Q10_IE_001_P0018_003,openai,3.0,rag-country-v3.2,2026-09-12T14:32:15.586024+00:00,candidate,
