response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_NOVA_ZELANDIA_Q01_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Nova Zelândia organiza as competências de Computação e Educação Digital em seus documentos curriculares através de um currículo de tecnologia que inclui três áreas principais: prática tecnológica, conhecimento tecnológico e a natureza da tecnologia. Dois dos cinco domínios tecnológicos são as tecnologias digitais, que abordam o design e o desenvolvimento de resultados digitais e o pensamento computacional para tecnologias digitais, os quais são suportados por resultados de progresso.",EVID_NOVA_ZELANDIA_Q01_NZ_001_P0012_001,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q02_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é incorporado ao currículo de tecnologia da Nova Zelândia, onde é essencial para alunos nos anos 1 a 10 alcançarem resultados progressivos definidos até o final do ano 10, especialmente em áreas de tecnologias digitais. A abordagem é integrada, não isolada, e busca conectar o aprendizado de tecnologia com outras áreas do currículo.",EVID_NOVA_ZELANDIA_Q02_NZ_001_P0014_001; EVID_NOVA_ZELANDIA_Q02_NZ_001_P0004_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q03_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital e ética digital através da integração de tecnologias digitais no currículo escolar, promovendo o letramento midiático. Os educadores estão incentivados a ensinar de maneira que conecte a tecnologia a outras áreas do aprendizado, desenvolvendo competências-chave dos alunos.",EVID_NOVA_ZELANDIA_Q03_NZ_001_P0010_001; EVID_NOVA_ZELANDIA_Q03_NZ_001_P0004_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q04_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q04,Q04,C04,OECD_PISA,nova-zelandia,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"As evidências recuperadas mostram que o currículo de tecnologia na Nova Zelândia enfatiza uma abordagem integrada e interdisciplinar, promovendo competências-chave como o pensamento crítico, a colaboração e a participação, alinhando-se assim aos princípios e dimensões dos referenciais UNESCO e OECD/PISA.",EVID_NOVA_ZELANDIA_Q04_NZ_001_P0010_001; EVID_NOVA_ZELANDIA_Q04_NZ_001_P0012_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q05_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,Os documentos curriculares mencionam competências como o pensamento computacional e a habilidade de projetar e desenvolver resultados digitais.,EVID_NOVA_ZELANDIA_Q05_NZ_001_P0014_001; EVID_NOVA_ZELANDIA_Q05_NZ_001_P0010_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q06_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","O aprendizado de tecnologia é integrado de maneira a promover a colaboração, criatividade e resolução de problemas através de abordagens que conectam diferentes áreas curriculares e desenvolvem competências-chave. A prática de tecnologia é ensinada de forma cruzada, permitindo que os alunos reconheçam as ligações entre diferentes áreas tecnológicas.",EVID_NOVA_ZELANDIA_Q06_NZ_001_P0008_001; EVID_NOVA_ZELANDIA_Q06_NZ_001_P0010_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q07_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos discutem a integração de tecnologias digitais no currículo escolar, enfatizando a importância do aprendizado sobre competências digitais, segurança, ética e privacidade. A abordagem inclui práticas de ensino que promovem a inovação, o pensamento crítico e a colaboração, preparando os alunos para um mundo digital em transformação.",EVID_NOVA_ZELANDIA_Q07_NZ_001_P0010_001; EVID_NOVA_ZELANDIA_Q07_NZ_001_P0014_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q08_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","A Nova Zelândia enfatiza a inclusão, acessibilidade e equidade digital em sua estratégia educacional. A integração de tecnologias digitais é vista como crucial, e os líderes educacionais são encorajados a colaborar com a comunidade e priorizar o aprendizado tecnológico, garantindo que todos os aprendizes tenham acesso às oportunidades necessárias.",EVID_NOVA_ZELANDIA_Q08_NZ_001_P0010_001; EVID_NOVA_ZELANDIA_Q08_NZ_001_P0008_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q09_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O equilíbrio entre as dimensões técnicas da Computação e as dimensões sociais, culturais, éticas e humanas da Educação Digital é fundamental para preparar os alunos para um mundo digital em transformação. O currículo deve integrar práticas tecnológicas e conhecimentos técnicos com competências sociais e culturais, promovendo um aprendizado que desenvolva a cidadania digital e o bem-estar dos alunos.",EVID_NOVA_ZELANDIA_Q09_NZ_001_P0006_001; EVID_NOVA_ZELANDIA_Q09_NZ_001_P0008_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
RESP_NOVA_ZELANDIA_Q10_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo de Computação e Educação Digital na Nova Zelândia promove o pensamento crítico, autonomia e participação social através da educação tecnológica integrada, onde os alunos são encorajados a desenvolver soluções digitais que impactem positivamente a sociedade. As experiências de aprendizagem são projetadas para serem autênticas e interdisciplinares, promovendo a colaboração e o pensamento crítico entre os alunos.",EVID_NOVA_ZELANDIA_Q10_NZ_001_P0005_001; EVID_NOVA_ZELANDIA_Q10_NZ_001_P0010_002,openai,3.0,rag-country-v3.2,2026-09-12T14:36:55.078312+00:00,candidate,
