evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_REINO_UNIDO_Q01_UK_001_P0001_001,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q01,RESP_REINO_UNIDO_Q01_20260912T144124Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,UK_001,reino-unido_computing-curriculum_ks1-ks2_2014,1,2,1,en,A high-quality computing education equips pupils to use computational thinking and creativity to understand and change the world.,Uma educação de computação de alta qualidade capacita os alunos a usar o pensamento computacional e a criatividade para entender e mudar o mundo.,translated,0.9,primary,candidate,
EVID_REINO_UNIDO_Q01_UK_002_P0001_002,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q01,RESP_REINO_UNIDO_Q01_20260912T144124Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,UK_002,reino-unido_computing-curriculum_ks3-ks4_2014,1,2,3,en,"The national curriculum for computing aims to ensure that all pupils: can understand and apply the fundamental principles and concepts of computer science, including abstraction, logic, algorithms and data representation.","O currículo nacional de computação visa garantir que todos os alunos: possam entender e aplicar os princípios e conceitos fundamentais da ciência da computação, incluindo abstração, lógica, algoritmos e representação de dados.",translated,0.85,primary,candidate,
EVID_REINO_UNIDO_Q02_UK_001_P0001_001,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q02,RESP_REINO_UNIDO_Q02_20260912T144124Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,UK_001,reino-unido_computing-curriculum_ks1-ks2_2014,1,1,1,en,"A high-quality computing education equips pupils to use computational thinking and creativity to understand and change the world. Computing has deep links with mathematics, science, and design and technology, and provides insights into both natural and artificial systems. The core of computing is computer science, in which pupils are taught the principles of information and computation, how digital systems work, and how to put this knowledge to use through programming.","Uma educação de computação de alta qualidade capacita os alunos a usar o pensamento computacional e a criatividade para entender e mudar o mundo. A computação tem profundas conexões com matemática, ciência e design e tecnologia, e fornece insights sobre sistemas naturais e artificiais. O núcleo da computação é a ciência da computação, na qual os alunos são ensinados os princípios da informação e da computação, como os sistemas digitais funcionam e como utilizar esse conhecimento por meio da programação.",translated,,definição,candidate,
EVID_REINO_UNIDO_Q02_UK_002_P0001_002,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q02,RESP_REINO_UNIDO_Q02_20260912T144124Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,UK_002,reino-unido_computing-curriculum_ks3-ks4_2014,1,1,2,en,"The national curriculum for computing aims to ensure that all pupils: can understand and apply the fundamental principles and concepts of computer science, including abstraction, logic, algorithms and data representation.","O currículo nacional de computação visa garantir que todos os alunos: possam entender e aplicar os princípios e conceitos fundamentais da ciência da computação, incluindo abstração, lógica, algoritmos e representação de dados.",translated,,desenvolvimento,candidate,
EVID_REINO_UNIDO_Q03_UK_001_P0001_001,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q03,RESP_REINO_UNIDO_Q03_20260912T144124Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,UK_001,reino-unido_computing-curriculum_ks1-ks2_2014,1,2,UK_001_p0001_c001,en,"use technology safely and respectfully, keeping personal information private; identify where to go for help and support when they have concerns about content or contact on the internet or other online technologies.","usar a tecnologia de forma segura e respeitosa, mantendo informações pessoais privadas; identificar para onde ir para obter ajuda e suporte quando tiverem preocupações sobre conteúdo ou contato na internet ou em outras tecnologias online.",translated,,supportive,candidate,
EVID_REINO_UNIDO_Q03_UK_002_P0001_002,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q03,RESP_REINO_UNIDO_Q03_20260912T144124Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,UK_002,reino-unido_computing-curriculum_ks3-ks4_2014,1,3,UK_002_p0001_c001,en,"understand a range of ways to use technology safely, respectfully, responsibly and securely, including protecting their online identity and privacy; recognise inappropriate content, contact and conduct and know how to report concerns.","compreender uma variedade de maneiras de usar a tecnologia de forma segura, respeitosa, responsável e segura, incluindo proteger sua identidade e privacidade online; reconhecer conteúdo, contato e conduta inadequados e saber como relatar preocupações.",translated,,supportive,candidate,
EVID_REINO_UNIDO_Q04_UK_001_P0001_001,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q04,RESP_REINO_UNIDO_Q04_20260912T144124Z,Q04,C04,OECD_PISA,reino-unido,UK_001,UK_001__UK_001.md,1,2,UK_001_p0001_c001,en,"Computing programmes of study: key stages 1 and 2 National curriculum in England. Purpose of study A high-quality computing education equips pupils to use computational thinking and creativity to understand and change the world. Computing has deep links with mathematics, science, and design and technology, and provides insights into both natural and artificial systems.","Programas de estudo de computação: estágios chave 1 e 2. Currículo nacional na Inglaterra. Propósito do estudo Uma educação de computação de alta qualidade capacita os alunos a usar o pensamento computacional e a criatividade para entender e mudar o mundo. A computação tem profundas ligações com a matemática, ciência e design e tecnologia, e fornece insights tanto sobre sistemas naturais quanto artificiais.",translated,,supporting,candidate,
EVID_REINO_UNIDO_Q04_UK_002_P0001_002,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q04,RESP_REINO_UNIDO_Q04_20260912T144124Z,Q04,C04,OECD_PISA,reino-unido,UK_002,UK_002__UK_002.md,1,2,UK_002_p0001_c001,en,"All pupils should be taught to: develop their capability, creativity and knowledge in computer science, digital media and information technology.","Todos os alunos devem ser ensinados a: desenvolver sua capacidade, criatividade e conhecimento em ciência da computação, mídia digital e tecnologia da informação.",translated,,supporting,candidate,
EVID_REINO_UNIDO_Q05_UK_001_P0001_001,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q05,RESP_REINO_UNIDO_Q05_20260912T144124Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,UK_001,UK_001__UK_001.md,1,2,UK_001_p0001_c001,en,A high-quality computing education equips pupils to use computational thinking and creativity to understand and change the world.,Uma educação em computação de alta qualidade capacita os alunos a usar o pensamento computacional e a criatividade para entender e mudar o mundo.,translated,,competências século XXI,candidate,
EVID_REINO_UNIDO_Q05_UK_002_P0001_002,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q05,RESP_REINO_UNIDO_Q05_20260912T144124Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,UK_002,UK_002__UK_002.md,1,2,UK_002_p0001_c001,en,"All pupils should be taught to develop their capability, creativity and knowledge in computer science, digital media and information technology.","Todos os alunos devem ser ensinados a desenvolver sua capacidade, criatividade e conhecimento em ciência da computação, mídia digital e tecnologia da informação.",translated,,competências século XXI,candidate,
