evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_SINGAPURA_Q01_SG_015_P0003_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q01,RESP_SINGAPURA_Q01_20260912T144617Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_015,SG_015__SG_015.md,3,3,5,por,"O Lugar do Pensamento Computacional no Curriculo
Singapore Brasil
Uma Disciplina Central Uma Competéncia Transversal
o Competência 5 é dedicada a “Compreender, utilizar e criar tecnologias digitais”.","O Lugar do Pensamento Computacional no Curriculo
Singapore Brasil
Uma Disciplina Central Uma Competéncia Transversal
o Competência 5 é dedicada a “Compreender, utilizar e criar tecnologias digitais”.",not_needed,,curricular_structure,candidate,
EVID_SINGAPURA_Q01_SG_016_P0004_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q01,RESP_SINGAPURA_Q01_20260912T144617Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_016,singapura_g3-computing-syllabus_2024,4,4,5,eng,"Through the G3 Computing subject, our students: • develop computational thinking through problem analysis and evaluation, • develop effective problem-solving and systems thinking as they think algorithmically, with planning and designing of steps to solve tasks.","Através da disciplina de Computação G3, nossos alunos: • desenvolvem o pensamento computacional por meio da análise e avaliação de problemas, • desenvolvem habilidades eficazes de resolução de problemas e pensamento sistêmico ao pensarem de forma algorítmica, com planejamento e design de etapas para resolver tarefas.",translated,,curricular_content,candidate,
EVID_SINGAPURA_Q02_SG_002_P0001_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q02,RESP_SINGAPURA_Q02_20260912T144617Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_002,SG_002__SG_002.md,1,1,1,pt,"Na disciplina de Computação de nível O, os alunos são ensinados a passar por um processo sistemático de pensamento ao resolver problemas (abstração), formular passos para soluções (pensamento algorítmico) e escrever programas de computador (programação/codificação) para produzir as soluções.","Na disciplina de Computação de nível O, os alunos são ensinados a passar por um processo sistemático de pensamento ao resolver problemas (abstração), formular passos para soluções (pensamento algorítmico) e escrever programas de computador (programação/codificação) para produzir as soluções.",not_needed,1.0,supportive,candidate,
EVID_SINGAPURA_Q02_SG_002_P0004_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q02,RESP_SINGAPURA_Q02_20260912T144617Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_002,SG_002__SG_002.md,4,4,1,pt,"O pensamento computacional, conforme definido por Jeannette M. Wing, é uma forma de as pessoas resolverem problemas e que não se trata de tentar fazer com que as pessoas pensem como computadores.","O pensamento computacional, conforme definido por Jeannette M. Wing, é uma forma de as pessoas resolverem problemas e que não se trata de tentar fazer com que as pessoas pensem como computadores.",not_needed,1.0,supportive,candidate,
EVID_SINGAPURA_Q03_SG_002_P0011_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q03,RESP_SINGAPURA_Q03_20260912T144617Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_002,SG_002__SG_002.md,11,11,1,por,Esta unidade de estudo abrange o uso ético e a segurança de dados em aplicativos de desktop ou aplicativos em redes como a internet. São discutidas questões sociais e econômicas decorrentes do uso de tecnologias de computação em ambientes de trabalho.,Esta unidade de estudo abrange o uso ético e a segurança de dados em aplicativos de desktop ou aplicativos em redes como a internet. São discutidas questões sociais e econômicas decorrentes do uso de tecnologias de computação em ambientes de trabalho.,not_needed,,candidate,candidate,
EVID_SINGAPURA_Q03_SG_015_P0003_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q03,RESP_SINGAPURA_Q03_20260912T144617Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_015,SG_015__SG_015.md,3,3,1,por,"Compreender, utilizar e criar tecnologias digitais de forma crítica, significativa, reflexiva e ética.","Compreender, utilizar e criar tecnologias digitais de forma crítica, significativa, reflexiva e ética.",not_needed,,candidate,candidate,
EVID_SINGAPURA_Q04_SG_010_P0037_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q04,RESP_SINGAPURA_Q04_20260912T144617Z,Q04,C04,OECD_PISA,singapura,SG_010,SG_010__SG_010.md,37,38,1,en,Children have a natural curiosity to learn and they are active and competent learners.,As crianças têm uma curiosidade natural para aprender e são aprendizes ativos e competentes.,translated,0.9,relevant,candidate,
EVID_SINGAPURA_Q04_SG_002_P0017_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q04,RESP_SINGAPURA_Q04_20260912T144617Z,Q04,C04,OECD_PISA,singapura,SG_002,SG_002__SG_002.md,17,18,2,pt,"Habilidade de discutir questões que afetam a cultura, o desenvolvimento socioeconômico, a governança, o futuro e a identidade de Singapura, e usar evidências para apoiar seus pontos de vista.","Habilidade de discutir questões que afetam a cultura, o desenvolvimento socioeconômico, a governança, o futuro e a identidade de Singapura, e usar evidências para apoiar seus pontos de vista.",not_needed,0.85,relevant,candidate,
EVID_SINGAPURA_Q05_SG_002_P0017_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q05,RESP_SINGAPURA_Q05_20260912T144617Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_002,SG_002__SG_002.md,17,18,0,portuguese,"Capacidade de: 3.1d: O aluno é capaz de identificar elementos essenciais de tarefas complexas, manter o foco nelas, assumir diversos papéis; • analisar e simplificar problemas em tarefas gerenciáveis (pensamento analítico); • persistir no desenvolvimento de soluções de computador para os problemas (resiliência).","Capacidade de: 3.1d: O aluno é capaz de identificar elementos essenciais de tarefas complexas, manter o foco nelas, assumir diversos papéis; • analisar e simplificar problemas em tarefas gerenciáveis (pensamento analítico); • persistir no desenvolvimento de soluções de computador para os problemas (resiliência).",not_needed,,competências do século XXI,candidate,
EVID_SINGAPURA_Q05_SG_002_P0017_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q05,RESP_SINGAPURA_Q05_20260912T144617Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_002,SG_002__SG_002.md,17,18,1,portuguese,"Habilidade de compreender proteção de dados, questões de direitos autorais e direitos de propriedade intelectual. 1.1d: O aluno é capaz de discutir questões que afetam a cultura, o desenvolvimento socioeconômico, a governança, o futuro e a identidade de Singapura, e usar evidências para apoiar seus pontos de vista.","Habilidade de compreender proteção de dados, questões de direitos autorais e direitos de propriedade intelectual. 1.1d: O aluno é capaz de discutir questões que afetam a cultura, o desenvolvimento socioeconômico, a governança, o futuro e a identidade de Singapura, e usar evidências para apoiar seus pontos de vista.",not_needed,,competências do século XXI,candidate,
EVID_SINGAPURA_Q06_SG_002_P0017_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q06,RESP_SINGAPURA_Q06_20260912T144617Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_002,SG_002__SG_002.md,17,17,1,en,"The 21st Century Competencies dimension highlights the need for students to collaborate, produce creative work, and be self-directed learners.","A dimensão das Competências do Século XXI destaca a necessidade de os alunos colaborarem, produzirem trabalhos criativos e serem aprendizes autodirigidos.",translated,,supporting,candidate,
EVID_SINGAPURA_Q06_SG_002_P0007_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q06,RESP_SINGAPURA_Q06_20260912T144617Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_002,SG_002__SG_002.md,7,7,4,en,Computational thinking develops students' skills in problem-solving through algorithmic thinking and design. Students learn to approach problems systematically by breaking them down into manageable parts.,"O pensamento computacional desenvolve as habilidades dos alunos na resolução de problemas por meio do pensamento algorítmico e do design. Os alunos aprendem a abordar problemas de forma sistemática, dividindo-os em partes gerenciáveis.",translated,,supporting,candidate,
EVID_SINGAPURA_Q07_SG_014_P0056_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q07,RESP_SINGAPURA_Q07_20260912T144617Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_014,SG_014__SG_014.md,56,57,1,eng,"For AI-augmented decisions that affect consumers, consider providing additional information so that they understand why the decisions were made; and for certain categories of such decisions, providing an appropriate channel to contest such decisions.","Para decisões aumentadas por IA que afetam os consumidores, considere fornecer informações adicionais para que eles entendam por que as decisões foram tomadas; e para certas categorias de tais decisões, fornecendo um canal apropriado para contestar tais decisões.",translated,0.9,ethical considerations,candidate,
EVID_SINGAPURA_Q07_SG_002_P0006_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q07,RESP_SINGAPURA_Q07_20260912T144617Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_002,SG_002__SG_002.md,6,7,2,por,"Questões comumente associadas a esta dimensão incluem segurança na internet, propriedade intelectual, vício em computador e privacidade de dados.","Questões comumente associadas a esta dimensão incluem segurança na internet, propriedade intelectual, vício em computador e privacidade de dados.",not_needed,0.85,privacy and security,candidate,
EVID_SINGAPURA_Q08_SG_015_P0002_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q08,RESP_SINGAPURA_Q08_20260912T144617Z,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_015,SG_015__SG_015.md,2,3,3,portuguese,"Foco: Garantir equidade e a formação integral do cidadão, tratando a 'cultura digital' como tema transversal.","Foco: Garantir equidade e a formação integral do cidadão, tratando a 'cultura digital' como tema transversal.",not_needed,,supporting,candidate,
EVID_SINGAPURA_Q08_SG_013_P0001_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q08,RESP_SINGAPURA_Q08_20260912T144617Z,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_013,SG_013__SG_013.md,1,4,2,english,"The 11 governance principles are transparency, explainability, repeatability/reproducibility, security, protection, robustness, fairness, data governance, accountability, human agency and oversight, inclusive growth, social and environmental well-being.","Os 11 princípios de governança são transparência, explicabilidade, repetibilidade/reprodutibilidade, segurança, proteção, robustez, justiça, governança de dados, responsabilidade, agência humana e supervisão, crescimento inclusivo, bem-estar social e ambiental.",translated,,supporting,candidate,
EVID_SINGAPURA_Q09_SG_008_P0005_001,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q09,RESP_SINGAPURA_Q09_20260912T144617Z,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_008,SG_008__SG_008.md,5,5,0,en,"Nevertheless, the heart of teaching and learning is not just about having more technology in the classroom. Our people – our dedicated teachers and visionary school leaders - are at the heart of effective teaching and learning.","No entanto, o coração do ensino e da aprendizagem não se resume apenas a ter mais tecnologia na sala de aula. Nossas pessoas – nossos professores dedicados e líderes escolares visionários – estão no cerne do ensino e da aprendizagem eficazes.",translated,,supporting,candidate,
EVID_SINGAPURA_Q09_SG_012_P0005_002,RUN_SINGAPURA_20260912T144617Z,RUN_SINGAPURA_20260912T144617Z_Q09,RESP_SINGAPURA_Q09_20260912T144617Z,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,singapura,SG_012,SG_012__SG_012.md,5,5,3,en,The inclusion of the 21st Century Competencies component reflects the impact of technology on the kind of skills needed at the workplace of the future.,A inclusão do componente de Competências do Século XXI reflete o impacto da tecnologia no tipo de habilidades necessárias no local de trabalho do futuro.,translated,,supporting,candidate,
