evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_TAIWAN_Q01_TW_001_P0015_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q01,RESP_TAIWAN_Q01_20260912T145057Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,15,15,資A-IV-3,zh,基本演算法的介紹。程式設計 (P) 七年級 資P-IV-1 程式語言基本概念、功能及應用。,"Introdução aos algoritmos básicos. Programação (P) 7º ano. Conceitos básicos de linguagem de programação, funções e aplicações.",translated,1,curricular,candidate,
EVID_TAIWAN_Q01_TW_001_P0015_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q01,RESP_TAIWAN_Q01_20260912T145057Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,15,15,資H-IV-1,zh,個人資料保護。資訊科技合理使用原則。,Proteção de dados pessoais. Princípios de uso razoável da tecnologia da informação.,translated,1,curricular,candidate,
EVID_TAIWAN_Q01_TW_001_P0015_003,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q01,RESP_TAIWAN_Q01_20260912T145057Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,15,15,資H-IV-5,zh,資訊倫理與法律。,Ética e leis da informação.,translated,1,curricular,candidate,
EVID_TAIWAN_Q02_TW_001_P0029_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q02,RESP_TAIWAN_Q02_20260912T145057Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,29,29,科S-U-C2,zh,妥善運用科技工具以組織工作團隊，,Uso adequado de ferramentas tecnológicas para organizar equipes de trabalho.,translated,,currículo,candidate,
EVID_TAIWAN_Q02_TW_001_P0042_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q02,RESP_TAIWAN_Q02_20260912T145057Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,42,42,運a-V-2,zh,能針對科技議題養成社會責任感與公民意識。,Capacidade de desenvolver senso de responsabilidade social e consciência cívica em questões tecnológicas.,translated,,currículo,candidate,
EVID_TAIWAN_Q03_TW_001_P0025_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q03,RESP_TAIWAN_Q03_20260912T145057Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,25,25,TW_001_p0025_c001,zh,能了解資訊科技相關之法律、倫理及社會議題，以保護自己與尊重他人。,"Ser capaz de entender as leis, ética e questões sociais relacionadas à tecnologia da informação, a fim de proteger a si mesmo e respeitar os outros.",translated,,cidadania digital,candidate,
EVID_TAIWAN_Q03_TW_001_P0029_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q03,RESP_TAIWAN_Q03_20260912T145057Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,29,29,TW_001_p0029_c001,zh,具備科技與人文議題的思辨與反省能力，並能主動關注科技發展衍生之社會議題與倫理責任。,"Possuir a capacidade de reflexão crítica sobre questões tecnológicas e humanísticas, além de poder ativamente se envolver em questões sociais e responsabilidades éticas decorrentes do desenvolvimento tecnológico.",translated,,ética digital,candidate,
EVID_TAIWAN_Q04_TW_001_P0043_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q04,RESP_TAIWAN_Q04_20260912T145057Z,Q04,C04,OECD_PISA,taiwan,TW_001,TW_001__TW_001.md,43,43,1,zh,能了解資訊科技相關之法律、倫理及社會議題，以保護自己與尊重他人。,"É capaz de entender as leis, a ética e as questões sociais relacionadas à tecnologia da informação, a fim de proteger a si mesmo e respeitar os outros.",translated,,candidate,candidate,
EVID_TAIWAN_Q04_TW_001_P0042_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q04,RESP_TAIWAN_Q04_20260912T145057Z,Q04,C04,OECD_PISA,taiwan,TW_001,TW_001__TW_001.md,42,42,TW_001_p0042_c001,zh,能主動關注人與科技、社會、環境的關係。,"É capaz de se envolver ativamente na relação entre as pessoas, a tecnologia, a sociedade e o meio ambiente.",translated,,candidate,candidate,
EVID_TAIWAN_Q05_TW_001_P0029_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q05,RESP_TAIWAN_Q05_20260912T145057Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,29,29,0,zh,能使用資訊科技增進團隊合作效率。,É capaz de usar tecnologia da informação para aumentar a eficiência do trabalho em equipe.,translated,,competência,candidate,
EVID_TAIWAN_Q05_TW_001_P0029_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q05,RESP_TAIWAN_Q05_20260912T145057Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,29,29,1,zh,能整合適當的資訊科技與他人合作完成專題製作。,É capaz de integrar a tecnologia da informação apropriada para colaborar com outros na conclusão de projetos.,translated,,competência,candidate,
EVID_TAIWAN_Q05_TW_001_P0029_003,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q05,RESP_TAIWAN_Q05_20260912T145057Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,29,29,2,zh,能針對科技議題養成社會責任感與公民意識。,É capaz de desenvolver consciência social e responsabilidade cívica em relação a questões tecnológicas.,translated,,competência,candidate,
EVID_TAIWAN_Q05_TW_001_P0027_004,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q05,RESP_TAIWAN_Q05_20260912T145057Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,27,27,3,zh,能分析、思辨與批判人與科技、社會、環境之間的關係。,"É capaz de analisar, refletir e criticar a relação entre indivíduos, tecnologia, sociedade e meio ambiente.",translated,,competência,candidate,
EVID_TAIWAN_Q06_TW_001_P0026_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q06,RESP_TAIWAN_Q06_20260912T145057Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,26,26,0,zh,能整合適當的資訊科技與他人合作完成專題製作。,Consegue integrar tecnologia da informação apropriada e colaborar com outras pessoas para completar a produção de um projeto.,translated,,support,candidate,
EVID_TAIWAN_Q06_TW_001_P0011_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q06,RESP_TAIWAN_Q06_20260912T145057Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,11,11,1,zh,能運用設計流程，實際設計並製作科技產品以解決問題。,Consegue aplicar processos de design para projetar e produzir produtos tecnológicos para resolver problemas.,translated,,support,candidate,
EVID_TAIWAN_Q06_TW_001_P0011_003,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q06,RESP_TAIWAN_Q06_20260912T145057Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,11,11,2,zh,能運用科技工具，理解與歸納問題，進而提出簡易的解決之道。,"Consegue usar ferramentas tecnológicas para entender e resumir problemas, e assim propor soluções simples.",translated,,support,candidate,
EVID_TAIWAN_Q07_TW_001_P0027_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q07,RESP_TAIWAN_Q07_20260912T145057Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,27,27,TW_001_p0027_c001,zh,能了解資訊科技相關之法律、倫理及社會議題，以保護自己與尊重他人。,"Ser capaz de entender a legislação, ética e questões sociais relacionadas às tecnologias da informação, para proteger a si mesmo e respeitar os outros.",translated,,relevant,candidate,
EVID_TAIWAN_Q07_TW_001_P0027_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q07,RESP_TAIWAN_Q07_20260912T145057Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,27,27,TW_001_p0027_c001,zh,資訊科技對人類生活之影響。科技與社會的互動關係。科技對社會與環境的影響。,O impacto das tecnologias da informação na vida humana. A relação de interação entre tecnologia e sociedade. O impacto da tecnologia na sociedade e no meio ambiente.,translated,,relevant,candidate,
EVID_TAIWAN_Q08_TW_001_P0026_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q08,RESP_TAIWAN_Q08_20260912T145057Z,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,26,26,0,zh,運用科技工具，理解與歸納問題，進而提出簡易的解決之道。,"Utilizar ferramentas tecnológicas para entender e deduzir problemas, propondo assim soluções simples.",translated,,supportive,candidate,
EVID_TAIWAN_Q08_TW_001_P0029_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q08,RESP_TAIWAN_Q08_20260912T145057Z,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,29,29,1,zh,能針對科技議題養成社會責任感與公民意識。,Desenvolver um senso de responsabilidade social e consciência cívica em relação às questões tecnológicas.,translated,,supportive,candidate,
EVID_TAIWAN_Q08_TW_001_P0029_003,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q08,RESP_TAIWAN_Q08_20260912T145057Z,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,29,29,2,zh,具備科技與人文議題的思辨與反省能力。,Possuir a capacidade de refletir e ponderar sobre questões de tecnologia e humanidades.,translated,,supportive,candidate,
EVID_TAIWAN_Q09_TW_001_P0028_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q09,RESP_TAIWAN_Q09_20260912T145057Z,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,28,28,生H-IV-5,zh,能了解資訊科技相 關之法律、倫理及社 會議題，以保護自己 與尊重他人。能具備正 確的科技價值觀，並 適當的選 用科技產品。能主動關 注人與科 技、社會、環 境的關 係。,"Pode entender as leis, ética e questões sociais relacionadas à tecnologia, para proteger a si mesmo e respeitar os outros. Pode ter um valor tecnológico correto e escolher produtos tecnológicos de forma adequada. Pode ativamente se preocupar com a relação entre as pessoas e a tecnologia, a sociedade e o meio ambiente.",translated,,supportive,candidate,
EVID_TAIWAN_Q09_TW_001_P0029_002,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q09,RESP_TAIWAN_Q09_20260912T145057Z,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,29,29,運c-V-1,zh,能使用資訊科技增 強團隊合作效率。,Pode usar tecnologia da informação para aumentar a eficiência da colaboração em equipe.,translated,,supportive,candidate,
EVID_TAIWAN_Q09_TW_001_P0028_003,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q09,RESP_TAIWAN_Q09_20260912T145057Z,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,28,28,科-J-C1,zh,理解科技與人文議 題，培養科技發展 衍生之守法觀念 與公民意識。,"Compreender as questões de tecnologia e humanidades, cultivando a consciência legal e cidadã decorrente do desenvolvimento tecnológico.",translated,,supportive,candidate,
EVID_TAIWAN_Q10_TW_001_P0026_001,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q10,RESP_TAIWAN_Q10_20260912T145057Z,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,TW_001,TW_001__TW_001.md,26,26,1,zh,能選用適當的資訊科技與他人合作完成作品。,É capaz de escolher tecnologias da informação adequadas e colaborar com os outros para completar trabalhos.,translated,0.85,supporting,candidate,
