evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_URUGUAI_Q01_UY_003_P0009_001,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q01,RESP_URUGUAI_Q01_20260912T145323Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,uruguai,UY_003,UY_003__UY_003.md,9,11,5,es,"CE2. Planifica, evalúa, crea y adapta soluciones tecnológicas con software o hardware, de forma individual o grupal, con el fin de resolver problemas considerando el impacto en la comunidad y el ambiente.","CE2. Planeja, avalia, cria e adapta soluções tecnológicas com software ou hardware, de forma individual ou grupal, com o objetivo de resolver problemas considerando o impacto na comunidade e no ambiente.",translated,,competence_definition,candidate,
EVID_URUGUAI_Q01_UY_003_P0010_002,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q01,RESP_URUGUAI_Q01_20260912T145323Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,uruguai,UY_003,UY_003__UY_003.md,10,10,6,es,"CE3. Incorpora y utiliza el desarrollo incremental en la construcción de soluciones asociadas a las tecnologías digitales de forma individual y colaborativamente, para la resolución de problemas.","CE3. Incorpora e utiliza o desenvolvimento incremental na construção de soluções associadas às tecnologias digitais de forma individual e colaborativa, para a resolução de problemas.",translated,,competence_definition,candidate,
EVID_URUGUAI_Q01_UY_003_P0009_003,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q01,RESP_URUGUAI_Q01_20260912T145323Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,uruguai,UY_003,UY_003__UY_003.md,9,10,4,es,"Contribuye al desarrollo de las competencias generales del MCN: Comunicación, Pensamiento crítico, Pensamiento computacional, Ciudadanía local, global y digital.","Contribui para o desenvolvimento das competências gerais do MCN: Comunicação, Pensamento crítico, Pensamento computacional, Cidadania local, global e digital.",translated,,competence_definition,candidate,
EVID_URUGUAI_Q02_UY_003_P0009_001,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q02,RESP_URUGUAI_Q02_20260912T145323Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,uruguai,UY_003,UY_003__UY_003.md,9,9,1,es,"Contribuye al desarrollo de las competencias generales del MCN: Comunicación, Pensamiento Científico, Pensamiento creativo, Pensamiento crítico, Pensamiento computacional, Ciudadanía local, global y digital, Iniciativa y orientación a la acción.","Contribui para o desenvolvimento das competências gerais do MCN: Comunicação, Pensamento Científico, Pensamento Criativo, Pensamento Crítico, Pensamento Computacional, Cidadania local, global e digital, Iniciativa e orientação para a ação.",translated,,definitional,candidate,
EVID_URUGUAI_Q02_UY_001_P0024_002,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q02,RESP_URUGUAI_Q02_20260912T145323Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,uruguai,UY_001,UY_001__UY_001.md,24,24,3,es,"El uso de TIC no debe seguir un plan curricular rígido, pero debe desarrollarse en cada comunidad educativa.","O uso de TIC não deve seguir um plano curricular rígido, mas deve ser desenvolvido em cada comunidade educativa.",translated,,implementation,candidate,
EVID_URUGUAI_Q03_UY_003_P0009_001,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q03,RESP_URUGUAI_Q03_20260912T145323Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,uruguai,UY_003,UY_003__UY_003.md,9,9,0,es,"Ciudadanía digital (dominio, navegación segura, ética digital y derechos de autor, difamación, acoso cibernético y discursos de odio). Describe los elementos constitutivos de la ciudadanía digital de forma individual. Reflexiona y comprende el impacto de sus acciones en las redes sociales y en la comunicación en línea.","Cidadania digital (domínio, navegação segura, ética digital e direitos autorais, difamação, assédio cibernético e discursos de ódio). Descreve os elementos constitutivos da cidadania digital de forma individual. Reflete e compreende o impacto de suas ações nas redes sociais e na comunicação online.",translated,,supporting,candidate,
EVID_URUGUAI_Q04_UY_002_P0012_001,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q04,RESP_URUGUAI_Q04_20260912T145323Z,Q04,C04,OECD_PISA,uruguai,UY_002,UY_002__UY_002.md,12,12,5,es,"El Plan CEIBAL ya está mostrando los primeros efectos creativos y pedagógicos no solo entre los alumnos, sino en el triángulo de los tres grupos destinatarios: docentes, niños y familia.","O Plan CEIBAL já está mostrando os primeiros efeitos criativos e pedagógicos não apenas entre os alunos, mas no triângulo formado pelos três grupos destinatários: docentes, crianças e famílias.",translated,0.9,supporting,candidate,
EVID_URUGUAI_Q04_UY_001_P0014_002,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q04,RESP_URUGUAI_Q04_20260912T145323Z,Q04,C04,OECD_PISA,uruguai,UY_001,UY_001__UY_001.md,14,14,4,es,"La UNESCO promueve el uso de las TIC en la educación a través de sus programas de “Educación” y “Comunicación e Información”, creando una plataforma intersectorial.","A UNESCO promove o uso das TIC na educação através de seus programas de ""Educação"" e ""Comunicação e Informação"", criando uma plataforma intersetorial.",translated,0.85,supporting,candidate,
EVID_URUGUAI_Q04_UY_002_P0010_003,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q04,RESP_URUGUAI_Q04_20260912T145323Z,Q04,C04,OECD_PISA,uruguai,UY_002,UY_002__UY_002.md,10,10,4,en,"The responsible use of ICTs leads to an improvement in the quality of education, which represents the final step in UNESCO's 'Education for All' programme.","O uso responsável das TIC leva a uma melhoria na qualidade da educação, que representa o passo final no programa 'Educação para Todos' da UNESCO.",translated,0.88,supporting,candidate,
EVID_URUGUAI_Q05_UY_003_P0004_001,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q05,RESP_URUGUAI_Q05_20260912T145323Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,uruguai,UY_003,UY_003__UY_003.md,4,4,1,es,"En esta unidad se hace foco en algunos aspectos de competencias básicas para siglo XXI, con la intención de fomentar el desarrollo competencias vinculadas con la ciudadanía digital, la alfabetización digital y el pensamiento computacional (Bocconi et al., 2017).","Nesta unidade, foca-se em alguns aspectos das competências básicas para o século XXI, com a intenção de fomentar o desenvolvimento de competências vinculadas à cidadania digital, à alfabetização digital e ao pensamento computacional (Bocconi et al., 2017).",translated,0.9,supporting,candidate,
EVID_URUGUAI_Q05_UY_001_P0024_002,RUN_URUGUAI_20260912T145323Z,RUN_URUGUAI_20260912T145323Z_Q05,RESP_URUGUAI_Q05_20260912T145323Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,uruguai,UY_001,UY_001__UY_001.md,24,24,1,es,"La educación innovadora con TIC fomenta la creatividad, el pensamiento crítico, el compromiso ético, con el fin de lograr la inclusión social.","A educação inovadora com TIC fomenta a criatividade, o pensamento crítico, o compromisso ético, com o fim de alcançar a inclusão social.",translated,0.85,supporting,candidate,
