evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_CANADA_Q01_CA_001_P0002_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q01,RESP_CANADA_Q01_20260912T141201Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_001,CA_001__CA_001.md,2,4,0,en,Digital literacy and ethics: Revised and added content to ensure digital literacy and ethics are more evident.,Alfabetização digital e ética: Conteúdo revisado e adicionado para garantir que a alfabetização digital e a ética estejam mais evidentes.,translated,,curricular_content,candidate,
EVID_CANADA_Q01_CA_001_P0002_002,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q01,RESP_CANADA_Q01_20260912T141201Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_001,CA_001__CA_001.md,2,4,1,en,There are clear expectations for students to learn problem solving that includes coding and algorithms.,Existem expectativas claras para que os alunos aprendam a resolver problemas que incluam codificação e algoritmos.,translated,,curricular_content,candidate,
EVID_CANADA_Q02_CA_001_P0002_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q02,RESP_CANADA_Q02_20260912T141201Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_001,CA_001__CA_001.md,2,2,CA_001_p0002_c001,en,"Computational thinking

- There are no references to problem solving with coding.
- There are clear expectations for students to learn problem solving that includes coding and algorithms.","Pensamento computacional

- Não há referências à resolução de problemas com codificação.
- Existem expectativas claras para que os alunos aprendam a resolver problemas que incluem codificação e algoritmos.",translated,,factual,candidate,
EVID_CANADA_Q04_CA_002_P0001_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q04,RESP_CANADA_Q04_20260912T141201Z,Q04,C04,OECD_PISA,canada,CA_002,CA_002__CA_002.md,1,1,CA_002_p0001_c001,en,"There are opportunities for students to explore diverse perspectives and cultures. First Nations, Métis, and Inuit knowledge, practices, and perspectives are clearly and respectfully included.","Há oportunidades para os estudantes explorarem diversas perspectivas e culturas. O conhecimento, práticas e perspectivas das Primeiras Nações, Métis e Inuit estão claramente e respeitosamente incluídos.",translated,,support,candidate,
EVID_CANADA_Q04_CA_002_P0001_002,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q04,RESP_CANADA_Q04_20260912T141201Z,Q04,C04,OECD_PISA,canada,CA_002,CA_002__CA_002.md,1,1,1,en,"Students build foundational knowledge across K-6 to deepen their understanding of scientific ideas, methods, and thinking.","Os alunos constroem conhecimento fundamental ao longo do K-6 para aprofundar sua compreensão de ideias, métodos e pensamentos científicos.",translated,,support,candidate,
EVID_CANADA_Q05_CA_002_P0001_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q05,RESP_CANADA_Q05_20260912T141201Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_002,canada_alberta_k6-science-curriculum-computer-science_2023,1,4,1,pt,"Through science, students—on their own and in groups—develop confidence and skills in critical thinking, problem solving, and communicating to make sense of complex information.","Por meio da ciência, os alunos—sozinhos e em grupos—desenvolvem confiança e habilidades em pensamento crítico, resolução de problemas e comunicação para entender informações complexas.",not_needed,,supporting,candidate,
EVID_CANADA_Q06_CA_002_P0001_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q06,RESP_CANADA_Q06_20260912T141201Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_002,CA_002__CA_002.md,1,1,CA_002_p0001_c001,en,"Through science, students—on their own and in groups—develop confidence and skills in critical thinking, problem solving, and communicating to make sense of complex information.","Através da ciência, os alunos—por conta própria e em grupos—desenvolvem confiança e habilidades em pensamento crítico, resolução de problemas e comunicação para compreender informações complexas.",translated,1.0,supporting,candidate,
EVID_CANADA_Q06_CA_001_P0003_002,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q06,RESP_CANADA_Q06_20260912T141201Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_001,CA_001__CA_001.md,3,3,CA_001_p0003_c001,en,"Content related to investigation, objectivity, evidence, representation, ethics, and explanation is included in the scientific methods organizing idea, guiding questions, and learning outcomes across all grades.","Conteúdos relacionados à investigação, objetividade, evidência, representação, ética e explicação estão incluídos na ideia organizadora de métodos científicos, perguntas orientadoras e resultados de aprendizagem em todos os níveis.",translated,1.0,supporting,candidate,
EVID_CANADA_Q06_CA_001_P0003_003,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q06,RESP_CANADA_Q06_20260912T141201Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_001,CA_001__CA_001.md,3,3,CA_001_p0003_c001,en,There are clear expectations for students to learn problem-solving techniques that include coding and algorithms.,Existem expectativas claras para que os alunos aprendam técnicas de resolução de problemas que incluem codificação e algoritmos.,translated,1.0,supporting,candidate,
EVID_CANADA_Q07_CA_003_P0018_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q07,RESP_CANADA_Q07_20260912T141201Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,18,18,5,en,"Embed privacy and security by design. Identify the data the service will use, store or create. Put appropriate legal, privacy and security measures in place.","Incorporar privacidade e segurança desde o design. Identificar os dados que o serviço usará, armazenará ou criará. Implementar as medidas legais, de privacidade e de segurança apropriadas.",translated,,supporting,candidate,
EVID_CANADA_Q07_CA_003_P0018_002,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q07,RESP_CANADA_Q07_20260912T141201Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,18,18,5,en,Use open standards and common platforms where available.,Usar normas abertas e plataformas comuns quando disponíveis.,translated,,supporting,candidate,
EVID_CANADA_Q07_CA_003_P0006_003,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q07,RESP_CANADA_Q07_20260912T141201Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,6,6,6,en,Ontario is working to achieve digital inclusion by: designing programs and services to be inclusive and accessible from the start...,Ontario está trabalhando para alcançar a inclusão digital ao: projetar programas e serviços para serem inclusivos e acessíveis desde o início...,translated,,supporting,candidate,
EVID_CANADA_Q08_CA_003_P0018_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q08,RESP_CANADA_Q08_20260912T141201Z,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,18,18,1,english,"Ontario is working to achieve digital inclusion by: • designing programs and services to be inclusive and accessible from the start • closing connection gaps in rural and remote communities, and making high-quality, affordable internet available in public places • developing essential digital skills and literacy from childhood to later life • enabling the growth of the civic technology movement to empower people in using technology to address local problems in their communities.","Ontario está trabalhando para alcançar a inclusão digital ao: • desenhar programas e serviços que sejam inclusivos e acessíveis desde o início • fechar lacunas de conexão em comunidades rurais e remotas, e tornar a Internet de alta qualidade e acessível em locais públicos • desenvolver habilidades digitais essenciais e alfabetização desde a infância até a vida adulta • possibilitar o crescimento do movimento de tecnologia cívica para capacitar as pessoas a usar a tecnologia para resolver problemas locais em suas comunidades.",translated,,supporting,candidate,
EVID_CANADA_Q09_CA_003_P0005_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q09,RESP_CANADA_Q09_20260912T141201Z,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,5,5,0,en,"Digital is a means to an end, not an end itself. Digital creates better value for investments and enables more efficient services. It’s a different way of thinking and working to solve human problems and produce better outcomes in an era where computers are widely used, the internet exists, and people have come to expect speed, convenience, and simplicity.","Digital é um meio para um fim, não um fim em si mesmo. Digital cria melhor valor para investimentos e possibilita serviços mais eficientes. É uma forma diferente de pensar e trabalhar para resolver problemas humanos e produzir melhores resultados numa era em que os computadores são amplamente utilizados, a internet existe, e as pessoas passaram a esperar rapidez, conveniência e simplicidade.",translated,0.9,supportive,candidate,
EVID_CANADA_Q09_CA_003_P0017_002,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q09,RESP_CANADA_Q09_20260912T141201Z,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,17,17,4,en,"In a digitally inclusive Ontario, all people can access and benefit from digital technologies in their lives—regardless of skill, ability, location or socio-economic situation. Closing digital divides and achieving digital inclusion is an obligation of people-centred organizations as we become more digitized and design with our users in mind.","Em uma Ontário digitalmente inclusiva, todas as pessoas podem acessar e se beneficiar das tecnologias digitais em suas vidas—independente de habilidades, capacidades, localização ou situação socioeconômica. Fechar as divisões digitais e alcançar a inclusão digital é uma obrigação de organizações centradas nas pessoas à medida que nos tornamos mais digitalizados e projetamos com nossos usuários em mente.",translated,0.95,supportive,candidate,
EVID_CANADA_Q09_CA_003_P0014_003,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q09,RESP_CANADA_Q09_20260912T141201Z,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,14,14,3,en,A better digital service puts the person’s experience front and centre. A user-centred program also means that those who are not able to get online can also benefit from better offline services.,Um melhor serviço digital coloca a experiência da pessoa em primeiro plano. Um programa centrado no usuário também significa que aqueles que não conseguem se conectar online também podem se beneficiar de melhores serviços offline.,translated,0.92,supportive,candidate,
EVID_CANADA_Q10_CA_001_P0001_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q10,RESP_CANADA_Q10_20260912T141201Z,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_001,CA_001__CA_001.md,1,1,CA_001_p0001_c001,en,"Students will learn scientific methods, including investigation, objectivity, evidence, representation, ethics, and explanation in a separate content area and apply these learnings across all content and grades.","Os alunos aprenderão métodos científicos, incluindo investigação, objetividade, evidência, representação, ética e explicação em uma área de conteúdo separada e aplicarão esses aprendizados em todos os conteúdos e séries.",translated,,relevant,candidate,
EVID_CANADA_Q10_CA_003_P0018_002,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q10,RESP_CANADA_Q10_20260912T141201Z,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,18,18,6,en,human-centered service and systems design are core competencies of public servants,design de serviços e sistemas centrados no ser humano são competências centrais dos servidores públicos,translated,,relevant,candidate,
EVID_CANADA_Q10_CA_003_P0016_003,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q10,RESP_CANADA_Q10_20260912T141201Z,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,16,16,5,en,"Working together, under a common strategy, we will strengthen the government’s collective efforts towards achieving digital inclusion, so that no one is left behind in the digital age.","Trabalhando juntos, sob uma estratégia comum, fortaleceremos os esforços coletivos do governo para alcançar a inclusão digital, para que ninguém fique para trás na era digital.",translated,,relevant,candidate,
EVID_CANADA_Q11_CA_002_P0001_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q11,RESP_CANADA_Q11_20260912T141201Z,Q11,C11,UNESCO_GCED_2015,canada,CA_002,CA_002__CA_002.md,1,1,1,en,Exploring the environment through diverse perspectives and traditional knowledge allows students to connect with their surroundings and recognize the responsibility we share for our planet.,Explorar o ambiente através de perspectivas diversas e do conhecimento tradicional permite que os alunos se conectem com seus arredores e reconheçam a responsabilidade que compartilhamos pelo nosso planeta.,translated,,supportive,candidate,
EVID_CANADA_Q11_CA_001_P0001_002,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q11,RESP_CANADA_Q11_20260912T141201Z,Q11,C11,UNESCO_GCED_2015,canada,CA_001,CA_001__CA_001.md,1,1,1,en,Studying science equips students with the skills needed to evaluate information they encounter every day and make evidence-informed decisions.,Estudar ciências fornece aos alunos as habilidades necessárias para avaliar as informações que encontram todos os dias e tomar decisões baseadas em evidências.,translated,,supportive,candidate,
EVID_CANADA_Q12_CA_003_P0028_001,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q12,RESP_CANADA_Q12_20260912T141201Z,Q12,C12,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,28,28,7,en,"Creating new pipelines and partnerships to inject these skills government-wide will help to speed up change, and provide new opportunities to deliver digital products and services. The mix of specialist skills with subject-matter expertise will create a digital-savvy workforce and remove barriers to getting results from digital technology.",Criar novos pipelines e parcerias para injetar essas habilidades em todo o governo ajudará a acelerar a mudança e fornecer novas oportunidades para entregar produtos e serviços digitais. A mistura de habilidades especializadas com expertise no assunto criará uma força de trabalho digitalmente capacitada e removerá barreiras para obter resultados da tecnologia digital.,translated,,direct,candidate,
EVID_CANADA_Q12_CA_003_P0028_002,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q12,RESP_CANADA_Q12_20260912T141201Z,Q12,C12,COMPUTING_AND_DIGITAL_EDUCATION,canada,CA_003,CA_003__CA_003.md,28,28,7,en,"The lab team applies industry-standard design methods and research techniques to rapidly bring rough product or service ideas to life. These approaches enable testing with Ontarians, before concepts proceed into development. The ODS lab also provides tools, processes and training to support Ontario Public Service teams in adopting modern digital practices in their work.","A equipe do laboratório aplica métodos de design padrão da indústria e técnicas de pesquisa para rapidamente dar vida a ideias de produtos ou serviços. Essas abordagens possibilitam testes com os ontarianos, antes que os conceitos sigam para o desenvolvimento. O laboratório ODS também fornece ferramentas, processos e treinamento para apoiar as equipes do Serviço Público de Ontário na adoção de práticas digitais modernas em seu trabalho.",translated,,direct,candidate,
