evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_ESTONIA_Q01_EU_EE_02_P0007_001,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q01,RESP_ESTONIA_Q01_20260912T135902Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-02,EU-EE-02__EU-EE-02.md,7.0,7.0,3,et,"Kujundab ja kaitseb enda digitaalset identiteeti, väldib kübermaailmas valitsevaid ohte, kuid nende ilmnemisel reageerib adekvaatselt.","Desenvolve e protege sua identidade digital, evita os riscos existentes no ciberespaço, mas reage de maneira adequada quando eles ocorrem.",translated,,informação curricular,candidate,
EVID_ESTONIA_Q01_EU_EE_02_P0009_002,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q01,RESP_ESTONIA_Q01_20260912T135902Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-02,EU-EE-02__EU-EE-02.md,9.0,9.0,5,et,Kirjeldab infoühiskonna ja riiklike e-teenuste toimimist Eestis.,Descreve o funcionamento da sociedade da informação e dos serviços eletrônicos do estado na Estônia.,translated,,informação curricular,candidate,
EVID_ESTONIA_Q01_EU_EE_02_P0009_003,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q01,RESP_ESTONIA_Q01_20260912T135902Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-02,EU-EE-02__EU-EE-02.md,9.0,9.0,4,et,"Loob, kohandab ja avaldab digitaalseid õppematerjale (sh 3D-, liit- või virtuaalreaalsuse tehnoloogiate abil).","Cria, adapta e publica materiais de aprendizagem digitais (incluindo usando tecnologias de 3D, realidade aumentada ou virtual).",translated,,informação curricular,candidate,
EVID_ESTONIA_Q02_EU_EE_02_P0001_001,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q02,RESP_ESTONIA_Q02_20260912T135902Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-02,EU-EE-02__EU-EE-02.md,1.0,1.0,4,et,"4. Õppeteema „Digiseade töövahendina“ eesmärk on anda õpilastele vajalikud baasoskused arvuti kasutamiseks, sh tekstitöötluseks, info otsimiseks, hindamiseks ja esitamiseks, tööks andmetega, lähtudes etteantud vormistusnõuetest ja formaatidest. Teema on tihedalt lõimitud teiste õppeainetega.","O objetivo do tema ""Dispositivo digital como ferramenta"" é fornecer aos alunos as habilidades básicas necessárias para usar computadores, incluindo processamento de texto, pesquisa de informações, avaliação e apresentação de dados, de acordo com normas e formatos predefinidos. O tema está intimamente integrado com outras disciplinas.",translated,,supporting,candidate,
EVID_ESTONIA_Q02_EU_EE_02_P0001_002,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q02,RESP_ESTONIA_Q02_20260912T135902Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-02,EU-EE-02__EU-EE-02.md,1.0,1.0,4,et,"2.2.1. Õppeteema „Digihügieen"". Õpitulemused Õpilane: 1) järgib veebilehele kommentaare lisades, veebifoorumi ja postiloendi vahendusel toimuvas arutelus osaledes nii tunnustatud suhtlusnorme kui ka selle keskkonna nõudeid; 2) selgitab ebaeetilise digisuhtluse võimalikke tagajärgi ning hindab kriitiliselt veebisuhtluse sisu ja turvalisust; 3) haldab ja kaitseb oma digitaalset identiteeti...","2.2.1. O tema ""Higiene Digital"". Resultados de aprendizado O aluno: 1) segue os padrões de comunicação respeitando as normas de interação, ao participar de comentários em websites, fóruns online e discussões de listas de e-mail; 2) explica as possíveis consequências da comunicação digital antiética e avalia criticamente o conteúdo e a segurança da comunicação na web; 3) gerencia e protege sua identidade digital...",translated,,supporting,candidate,
EVID_ESTONIA_Q03_EU_EE_01_PNA_001,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q03,RESP_ESTONIA_Q03_20260912T135902Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-01,EU-EE-01__EU-EE-01.md,7.0,7.0,EU-EE-01_p0007_c001,et,"on aktiivne ja vastutustundlik kodanik, kes on huvitatud oma kooli, kodukoha ja riigi demokraatlikust arengust;","é um cidadão ativo e responsável, que está interessado no desenvolvimento democrático da sua escola, local e país;",translated,,fact,candidate,nan; page_recovered:exact_normalized
EVID_ESTONIA_Q03_EU_EE_02_P0004_002,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q03,RESP_ESTONIA_Q03_20260912T135902Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-02,EU-EE-02__EU-EE-02.md,4.0,4.0,EU-EE-02_p0004_c001,et,"haldab ja kaitseb oma digitaalset identiteeti, väldib kübermaailmas valitsevaid riske, kuid ohutude realiseerumisel reageerib neile adekvaatselt.","administra e protege a sua identidade digital, evita os riscos que existem no ciberespaço, mas, quando os perigos se concretizam, reage adequadamente.",translated,,fact,candidate,
EVID_ESTONIA_Q04_EU_EE_01_P0001_001,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q04,RESP_ESTONIA_Q04_20260912T135902Z,Q04,C04,OECD_PISA,estonia,EU-EE-01,EU-EE-01__EU-EE-01.md,1.0,1.0,1,et,"8) ollakse avatud vabale arvamusvahetusele, sealhulgas kriitikale;","8) estão abertos ao debate de opiniões, incluindo críticas;",translated,0.8,relevante,candidate,
EVID_ESTONIA_Q04_EU_EE_02_P0010_002,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q04,RESP_ESTONIA_Q04_20260912T135902Z,Q04,C04,OECD_PISA,estonia,EU-EE-02,EU-EE-02__EU-EE-02.md,10.0,10.0,4,et,"1) sõnastab digiloovtöö projekti eesmärgid, väljundid, tegevuskava ja ülesanded;","1) formula os objetivos, resultados, plano de ação e tarefas do projeto de trabalho digital;",translated,0.7,relevante,candidate,
EVID_ESTONIA_Q04_EU_EE_01_P0001_003,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q04,RESP_ESTONIA_Q04_20260912T135902Z,Q04,C04,OECD_PISA,estonia,EU-EE-01,EU-EE-01__EU-EE-01.md,1.0,1.0,2,et,"11) korraldatakse koolielu inimõigusi ja demokraatiat austava ühiskonna mudelina, mida iseloomustavad kooliperes jagatud ja püsivad alusväärtused ning heade ideede ja positiivsete uuenduste toetamine;","11) a vida escolar é organizada como um modelo de uma sociedade que respeita os direitos humanos e a democracia, caracterizada pelos valores fundamentais compartilhados e duradouros na comunidade escolar e pelo apoio a boas ideias e inovações positivas;",translated,0.9,relevante,candidate,
EVID_ESTONIA_Q05_EU_EE_01_P0001_001,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q05,RESP_ESTONIA_Q05_20260912T135902Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-01,EU-EE-01__EU-EE-01.md,1.0,1.0,EU-EE-01_p0001_c001,et,"keskkond ja jätkusuutlik areng – taotletakse õpilase kujunemist sotsiaalselt aktiivseks, vastutustundlikuks ja keskkonnateadlikuks inimeseks, kes hoiab ja kaitseb keskkonda ning väärtustades jätkusuutlikkust, on valmis leidma lahendusi keskkonna- ja inimarengu küsimustele;","meio ambiente e desenvolvimento sustentável – busca-se a formação do aluno como uma pessoa socialmente ativa, responsável e consciente do meio ambiente, que protege o ambiente e valoriza a sustentabilidade, pronta para encontrar soluções para questões de desenvolvimento ambiental e humano;",translated,,competência,candidate,
EVID_ESTONIA_Q05_EU_EE_01_P0001_002,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q05,RESP_ESTONIA_Q05_20260912T135902Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-01,EU-EE-01__EU-EE-01.md,1.0,1.0,EU-EE-01_p0001_c001,et,"tehnoloogia ja innovatsioon – taotletakse õpilase kujunemist uuendusaltiks ja nüüdisaegseid tehnoloogiaid eesmärgipäraselt kasutada oskavaks inimeseks, kes tuleb toime kiiresti muutuvas tehnoloogilises elu-, õpi- ja töökeskkonnas;","tecnologia e inovação – busca-se a formação do aluno como uma pessoa criativa e capaz de utilizar tecnologias modernas de forma eficiente, que lide bem com o ambiente tecnológico em rápida mudança;",translated,,competência,candidate,
EVID_ESTONIA_Q05_EU_EE_01_P0001_003,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q05,RESP_ESTONIA_Q05_20260912T135902Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,estonia,EU-EE-01,EU-EE-01__EU-EE-01.md,1.0,1.0,EU-EE-01_p0001_c001,et,"sotsiaalne ja kodanikupädevus – suutlikkus ennast teostada; toimida aktiivse, teadliku, abivalmi ja vastutustundliku kodanikuna ning toetada ühiskonna demokraatlikku arengut ja Eesti riiklikku iseseisvust;","competência social e de cidadania – a capacidade de se realizar; agir como um cidadão ativo, consciente, prestativo e responsável, e apoiar o desenvolvimento democrático da sociedade e a independência do Estado da Estônia;",translated,,competência,candidate,
