response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_ESTONIA_Q01_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,estonia,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Estônia organiza as competências de Computação e Educação Digital dentro de seu currículo escolar, focando em temas como segurança na internet, utilização de tecnologias digitais, e desenvolvimento de habilidades para a criação e gestão de um ambiente de aprendizagem digital. Os alunos aprendem sobre programação, e como usar e proteger sua identidade digital.",EVID_ESTONIA_Q01_EU_EE_02_P0007_001; EVID_ESTONIA_Q01_EU_EE_02_P0009_002; EVID_ESTONIA_Q01_EU_EE_02_P0009_003,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q02_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,estonia,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é promovido por meio de temas como ""Digiseade töövahendina"", que se concentra em fornecer habilidades básicas de computação. Os alunos aprendem a usar computadores para produção de textos, pesquisa de informações e trabalho com dados, de acordo com normas predefinidas. Além disso, há um enfoque em ""Digihügieen"", onde os alunos aprendem a gerenciar sua identidade digital, avaliar criticamente o conteúdo online e aplicar medidas de segurança digital.",EVID_ESTONIA_Q02_EU_EE_02_P0001_001; EVID_ESTONIA_Q02_EU_EE_02_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q03_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,estonia,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam a cidadania digital destacando a importância de valores e princípios éticos. Também enfatizam a necessidade de um entendimento crítico sobre o uso de tecnologias e a proteção da identidade digital dos indivíduos, promovendo o uso seguro e responsável da tecnologia.",EVID_ESTONIA_Q03_EU_EE_01_PNA_001; EVID_ESTONIA_Q03_EU_EE_02_P0004_002,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q04_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q04,Q04,C04,OECD_PISA,estonia,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"As evidências mencionam a promoção de um ambiente educacional que prioriza a confiança, a igualdade e a inclusão, princípios que convergem com os referenciais UNESCO e OECD/PISA.",EVID_ESTONIA_Q04_EU_EE_01_P0001_001; EVID_ESTONIA_Q04_EU_EE_02_P0010_002; EVID_ESTONIA_Q04_EU_EE_01_P0001_003,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q05_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,estonia,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI nos documentos curriculares da Estônia incluem a formação de cidadãos socialmente ativos e responsáveis, a consciência cultural e ambiental, a capacidade de inovação tecnológica, a habilidade de análise crítica em meios de comunicação, e o desenvolvimento de competências sociais e de cidadania.",EVID_ESTONIA_Q05_EU_EE_01_P0001_001; EVID_ESTONIA_Q05_EU_EE_01_P0001_002; EVID_ESTONIA_Q05_EU_EE_01_P0001_003,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q06_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,estonia,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A incorporação de colaboração, criatividade e resolução de problemas nas competências e práticas curriculares na Estônia é refletida na promoção de um aluno socialmente ativo e responsável, capaz de encontrar soluções para questões de desenvolvimento humano e ambiental, além de entender a importância da cidadania e da cultura na formação de sua identidade.",EVID_ESTONIA_Q06_EU_EE_01_P0001_001; EVID_ESTONIA_Q06_EU_EE_01_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q07_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,estonia,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam a Inteligência Artificial e a ética ao discutir novos desenvolvimentos tecnológicos, incluindo a importância da proteção de dados e os riscos associados ao uso de tecnologias digitais como a Inteligência Artificial e a Internet das Coisas.",EVID_ESTONIA_Q07_EU_EE_02_P0010_001; EVID_ESTONIA_Q07_EU_EE_02_P0010_002,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q08_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,estonia,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","Os documentos abordam a inclusão, acessibilidade e equidade digital ao enfatizar a utilização de e-ensinos e serviços digitais, além de promulgar a conscientização sobre segurança digital, privacidade e a importância da diversidade cultural.",EVID_ESTONIA_Q08_EU_EE_01_PNA_001; EVID_ESTONIA_Q08_EU_EE_02_P0009_002,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q09_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,estonia,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","A Educação Digital na Estônia procura equilibrar dimensões técnicas e sociais, enfatizando a importância do uso seguro e ético das tecnologias, bem como a criação de ambientes de aprendizagem que respeitem as diferenças individuais dos alunos.",EVID_ESTONIA_Q09_EU_EE_02_P0009_001; EVID_ESTONIA_Q09_EU_EE_02_P0005_002,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_ESTONIA_Q10_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,estonia,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo de Computação e Educação Digital na Estônia promove pensamento crítico, autonomia e participação social através do uso de tecnologias de informação e comunicação (TIC), que incentivam a análise crítica, a colaboração em equipe e o desenvolvimento de competências digitais.",EVID_ESTONIA_Q10_EU_EE_01_P0002_001; EVID_ESTONIA_Q10_EU_EE_02_P0004_002,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
