evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_FINLANDIA_Q01_FI_001_P0001_001,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q01,RESP_FINLANDIA_Q01_20260912T142441Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,FI_001,FI_001__FI_001.md,1,1,1,en,"The core curriculum describes seven transversal competence areas. These epitomise the aims of education and reflect the competences needed in all spheres of life. Competence is constructed of knowledge, skills, values and will. The transversal competences are • thinking and learning-to-learn • cultural competence, interaction and expression • taking care of oneself, managing daily life • multiliteracy • ICT competence • working life competence and entrepreneurship • participation, involvement and building a sustainable future.","A currícula central descreve sete áreas de competência transversal. Estas personificam os objetivos da educação e refletem as competências necessárias em todas as esferas da vida. A competência é construída a partir de conhecimento, habilidades, valores e vontade. As competências transversais são • pensamento e aprendizado a aprender • competência cultural, interação e expressão • cuidar de si mesmo, gerenciar a vida diária • multiliteracia • competência em TIC • competência para o mercado de trabalho e empreendedorismo • participação, envolvimento e construção de um futuro sustentável.",translated,,curricular,candidate,
EVID_FINLANDIA_Q01_FI_001_P0002_002,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q01,RESP_FINLANDIA_Q01_20260912T142441Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,FI_001,FI_001__FI_001.md,2,2,2,en,Multidisciplinary learning modules are tools for integrating learning and for increasing the dialogue between different subjects. For the first time it is compulsory for the schools to organise one such module at least once every school year. The core curriculum obliges the schools to plan and implement these in cooperation between different subjects and involving pupils in their planning.,"Os módulos de aprendizagem multidisciplinares são ferramentas para integrar a aprendizagem e aumentar o diálogo entre diferentes disciplinas. Pela primeira vez, é obrigatório que as escolas organizem pelo menos um desses módulos a cada ano letivo. A currícula central obriga as escolas a planejar e implementar esses módulos em cooperação entre diferentes disciplinas e envolvendo os alunos em seu planejamento.",translated,,curricular,candidate,
EVID_FINLANDIA_Q02_FI_001_P0001_001,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q02,RESP_FINLANDIA_Q02_20260912T142441Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,FI_001,FI_001__FI_001.md,1,2,FI_001_p0001_c001,en,"The core curriculum describes seven transversal competence areas. These epitomise the aims of education and reflect the competences needed in all spheres of life. Competence is constructed of knowledge, skills, values and will. The transversal competences are • thinking and learning-to-learn • cultural competence, interaction and expression • taking care of oneself, managing daily life • multiliteracy • ICT competence • working life competence and entrepreneurship • participation, involvement and building a sustainable future.","O currículo define sete áreas de competências transversais. Estas sintetizam os objetivos da educação e refletem as competências necessárias em todas as esferas da vida. A competência é construída a partir de conhecimentos, habilidades, valores e vontade. As competências transversais são • raciocínio e aprendizagem para aprender • competência cultural, interação e expressão • autocuidado, gerenciamento da vida cotidiana • multiliteracia • competência em TIC • competência para o mundo do trabalho e empreendedorismo • participação, envolvimento e construção de um futuro sustentável.",translated,,support,candidate,
EVID_FINLANDIA_Q03_FI_001_P0001_001,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q03,RESP_FINLANDIA_Q03_20260912T142441Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,FI_001,FI_001__FI_001.md,1,3,0,en,"The core curriculum describes seven transversal competence areas. These epitomise the aims of education and reflect the competences needed in all spheres of life. Competence is constructed of knowledge, skills, values and will. The transversal competences are thinking and learning-to-learn, cultural competence, interaction and expression, taking care of oneself, managing daily life, multiliteracy, ICT competence, working life competence and entrepreneurship, participation, involvement and building a sustainable future.","O currículo básico descreve sete áreas de competência transversal. Estas representam os objetivos da educação e refletem as competências necessárias em todas as esferas da vida. A competência é construída a partir de conhecimento, habilidades, valores e vontade. As competências transversais são pensamento e aprendizado-a-aprender, competência cultural, interação e expressão, cuidar de si mesmo, gerenciar a vida diária, multiletramento, competência em TIC, competência de vida profissional e empreendedorismo, participação, envolvimento e construção de um futuro sustentável.",translated,,direct,candidate,
EVID_FINLANDIA_Q04_FI_001_P0002_001,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q04,RESP_FINLANDIA_Q04_20260912T142441Z,Q04,C04,OECD_PISA,finlandia,FI_001,FI_001__FI_001.md,2,2,3,en,"The school culture makes these values concrete. It is developed through common principles that are defined in the core curriculum. The aim is a school that functions as a learning community that takes care of the safety and wellbeing of each and every member of the community, systematically promotes versatile working approaches as well as cooperation and interaction, is aware of different languages and sees culture as a richness, promotes participation and democracy, promotes equity and equality, takes responsibility for the environment and focuses on a sustainable future.","A cultura escolar torna esses valores concretos. Ela é desenvolvida por meio de princípios comuns definidos no currículo básico. O objetivo é uma escola que funcione como uma comunidade de aprendizagem que cuide da segurança e do bem-estar de cada membro da comunidade, promova sistematicamente abordagens de trabalho versáteis, bem como a cooperação e a interação, esteja ciente de diferentes idiomas e veja a cultura como uma riqueza, promova a participação e a democracia, promova a equidade e a igualdade, assuma responsabilidade pelo meio ambiente e concentre-se em um futuro sustentável.",translated,,strong,candidate,
EVID_FINLANDIA_Q04_FI_001_P0001_002,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q04,RESP_FINLANDIA_Q04_20260912T142441Z,Q04,C04,OECD_PISA,finlandia,FI_001,FI_001__FI_001.md,1,1,2,en,"The core curriculum describes seven transversal competence areas. These epitomise the aims of education and reflect the competences needed in all spheres of life. Competence is constructed of knowledge, skills, values and will.","O currículo básico descreve sete áreas de competência transversal. Essas representam os objetivos da educação e refletem as competências necessárias em todas as esferas da vida. A competência é construída de conhecimento, habilidades, valores e vontade.",translated,,strong,candidate,
EVID_FINLANDIA_Q05_FI_001_P0002_001,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q05,RESP_FINLANDIA_Q05_20260912T142441Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,FI_001,FI_001__FI_001.md,2,2,1,en,"The transversal competences are • thinking and learning-to-learn • cultural competence, interaction and expression • taking care of oneself, managing daily life • multiliteracy • ICT competence • working life competence and entrepreneurship • participation, involvement and building a sustainable future","As competências transversais são • pensamento e aprendizagem a aprender • competência cultural, interação e expressão • cuidado pessoal, gerenciamento da vida diária • multiliteracia • competência em TIC • competência para o mundo do trabalho e empreendedorismo • participação, envolvimento e construção de um futuro sustentável",translated,,competência,candidate,
EVID_FINLANDIA_Q06_FI_001_P0001_001,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q06,RESP_FINLANDIA_Q06_20260912T142441Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,FI_001,FI_001__FI_001.md,1,2,0,en,Multidisciplinary learning modules are tools for integrating learning and for increasing the dialogue between different subjects. For the first time it is compulsory for the schools to organise one such module at least once every school year. The core curriculum obliges the schools to plan and implement these in cooperation between different subjects and involving pupils in their planning.,"Os módulos de aprendizagem multidisciplinares são ferramentas para integrar a aprendizagem e aumentar o diálogo entre diferentes assuntos. Pela primeira vez, é obrigatório que as escolas organizem pelo menos um desses módulos a cada ano letivo. O currículo básico obriga as escolas a planejar e implementar esses módulos em cooperação entre diferentes disciplinas e envolvendo os alunos em seu planejamento.",translated,,supportive,candidate,
EVID_FINLANDIA_Q06_FI_001_P0002_002,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q06,RESP_FINLANDIA_Q06_20260912T142441Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,FI_001,FI_001__FI_001.md,2,3,2,en,"Active involvement of pupils, meaningfulness, joy of learning and school cultures that promote enriching interaction between pupils and teachers are at the core of the new curriculum.","O envolvimento ativo dos alunos, o significado, a alegria de aprender e as culturas escolares que promovem interação enriquecedora entre alunos e professores estão no cerne do novo currículo.",translated,,supportive,candidate,
EVID_FINLANDIA_Q07_FI_001_P0001_001,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q07,RESP_FINLANDIA_Q07_20260912T142441Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,FI_001,FI_001__FI_001.md,1,1,0,en,"The school must take these changes into account, not just by reacting to change but also by taking a proactive role in building the future. The schools also have an important role in defining what kind of future they should be involved in constructing.","A escola deve levar essas mudanças em conta, não apenas reagindo às mudanças, mas também assumindo um papel proativo na construção do futuro. As escolas também têm um papel importante em definir que tipo de futuro devem estar envolvidas na construção.",translated,,supportive,candidate,
