response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_HONG_KONG_Q01_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Em Hong Kong, as competências de Computação e Educação Digital são integradas em documentos curriculares, incluindo o ensino sobre acesso à Internet, serviços e aplicações, e design de páginas web. Os alunos aprendem a navegar pela Internet, analisar criticamente a confiabilidade das informações, e aplicar medidas de segurança. Além disso, há uma ênfase no uso seguro e ético das tecnologias de informação.",EVID_HONG_KONG_Q01_HK_002_P0032_001; EVID_HONG_KONG_Q01_HK_001_P0058_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q02_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é integrado ao currículo de Hong Kong por meio do ensino de codificação, que é usado para desenvolver habilidades de resolução de problemas, criatividade e pensamento computacional. Através da aplicação de jogos e software de codificação, os alunos são incentivados a entender conceitos básicos de codificação e a desenvolver habilidades de pensamento computacional.",EVID_HONG_KONG_Q02_HK_001_P0146_001; EVID_HONG_KONG_Q02_HK_001_P0213_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q03_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital, ética digital e letramento midiático através da promoção do uso responsável da informação e do respeito pela propriedade intelectual. Eles enfatizam a importância da alfabetização informacional em uma sociedade baseada no conhecimento e discutem como as tecnologias impactam a era da informação e as interações sociais.",EVID_HONG_KONG_Q03_HK_001_P0058_001; EVID_HONG_KONG_Q03_HK_002_P0023_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q04_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q04,Q04,C04,OECD_PISA,hong-kong,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"As escolas desenvolvem seu currículo escolar baseado nas diretrizes de valores e atitudes, promovendo consciência ambiental e interdependência entre os seres vivos e seu ambiente, o que está em linha com os princípios da UNESCO e OECD/PISA.",EVID_HONG_KONG_Q04_HK_001_P0038_001; EVID_HONG_KONG_Q04_HK_001_P0121_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q05_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI presentes nos documentos curriculares de Hong Kong incluem o pensamento computacional, a resolução colaborativa de problemas, o pensamento crítico, a criatividade e a capacidade de aprender a aprender.",EVID_HONG_KONG_Q05_HK_001_P0100_001; EVID_HONG_KONG_Q05_HK_001_P0134_002; EVID_HONG_KONG_Q05_HK_001_P0028_003; EVID_HONG_KONG_Q05_HK_001_P0015_004,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q06_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A educação em Hong Kong incorpora colaboração, criatividade e resolução de problemas através de currículos focados em STEM e abordagens de aprendizagem colaborativa. As atividades de projeto interdisciplinares promovem a criatividade e o pensamento crítico dos alunos.",EVID_HONG_KONG_Q06_HK_001_P0100_001; EVID_HONG_KONG_Q06_HK_001_P0111_002; EVID_HONG_KONG_Q06_HK_001_P0112_003,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q07_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais ao enfatizarem a análise ética das questões relativas ao uso das TIC e a importância da responsabilidade social na sua utilização. Eles também tratam dos riscos e benefícios das tecnologias e da necessidade de discutir as implicações legais e éticas associadas a elas.",EVID_HONG_KONG_Q07_HK_002_P0043_001; EVID_HONG_KONG_Q07_HK_002_P0044_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q08_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","A inclusão, acessibilidade e equidade digital são abordadas em diversos contextos, destacando a importância do acesso igualitário à informação e à tecnologia. A literatura enfatiza a necessidade de respeitar os direitos de propriedade intelectual e cultivar a literacia da informação.",EVID_HONG_KONG_Q08_HK_001_P0058_001; EVID_HONG_KONG_Q08_HK_001_P0199_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q09_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O equilíbrio entre as dimensões técnicas da Computação e as dimensões sociais, culturais, éticas e humanas da Educação Digital é alcançado através da integração de tecnologias que promovem a aprendizagem interativa e a conscientização social. A utilização de plataformas eletrônicas e aprendizado colaborativo facilita a troca de conhecimentos e experiências entre os alunos e suas comunidades, enquanto a discussão de questões éticas e sociais associadas à tecnologia é incorporada no currículo.",EVID_HONG_KONG_Q09_HK_001_P0158_001; EVID_HONG_KONG_Q09_HK_002_P0043_002; EVID_HONG_KONG_Q09_HK_001_P0103_003,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q10_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo relacionado à Computação e Educação Digital em Hong Kong promove o pensamento crítico, autonomia e participação social por meio de atividades práticas que envolvem a análise crítica da informação, a colaboração em projetos interdisciplinares e o desenvolvimento de habilidades de participação ativa na sociedade.",EVID_HONG_KONG_Q10_HK_001_P0099_001; EVID_HONG_KONG_Q10_HK_002_P0043_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q11_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q11,Q11,C11,UNESCO_GCED_2015,hong-kong,Que elementos relacionados à cidadania global aparecem nos documentos curriculares?,"Os documentos curriculares mencionam elementos relacionados à cidadania global, como o reconhecimento e respeito por diferentes grupos culturais, a preocupação com questões internacionais, e a importância da compreensão e apreciação das culturas e vidas de diferentes povos ao redor do mundo.",EVID_HONG_KONG_Q11_HK_001_P0056_001; EVID_HONG_KONG_Q11_HK_001_P0078_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q12_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q12,Q12,C12,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Como a formação, atuação ou desenvolvimento profissional docente para Computação e Educação Digital são abordados?","A formação, atuação e desenvolvimento profissional docente para Computação e Educação Digital são abordados através de e-learning e fomento ao aprendizado colaborativo, permitindo que os professores integrem ferramentas digitais em suas práticas pedagógicas. São criadas oportunidades para que os alunos utilizem tecnologias em seus processos de aprendizagem, incentivando a autoaprendizagem e a pesquisa ativa.",EVID_HONG_KONG_Q12_HK_001_P0156_001; EVID_HONG_KONG_Q12_HK_001_P0104_002,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
RESP_HONG_KONG_Q13_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z,RUN_HONG_KONG_20260912T142926Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,hong-kong,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os documentos analisados de Hong Kong enfatizam a importância do respeito às culturas diversas, a consciência cívica e a responsabilidade individual. A educação também se concentra em habilidades de pensamento crítico e na adaptação às mudanças sociais.",EVID_HONG_KONG_Q13_HK_001_P0046_001; EVID_HONG_KONG_Q13_HK_001_P0047_002; EVID_HONG_KONG_Q13_HK_001_P0048_003,openai,3.0,rag-country-v3.2,2026-09-12T14:29:26.616834+00:00,candidate,
