response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_TAIWAN_Q01_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Taiwan organiza as competências de Computação e Educação Digital em seus documentos curriculares através de uma estrutura que inclui o ensino de algoritmos, programação e segurança da informação, além da ética e responsabilidade social relacionadas à tecnologia.",EVID_TAIWAN_Q01_TW_001_P0015_001; EVID_TAIWAN_Q01_TW_001_P0015_002; EVID_TAIWAN_Q01_TW_001_P0015_003,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q02_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é incorporado ao currículo de Taiwan, enfatizando a prática de habilidades digitai através de propostas para melhorar a colaboração digital e o trabalho em equipe, promovendo a responsabilidade social e a consciência cívica em relação à tecnologia.",EVID_TAIWAN_Q02_TW_001_P0029_001; EVID_TAIWAN_Q02_TW_001_P0042_002,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q03_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam a cidadania digital enfatizando a importância de respeitar a ética e as leis relacionadas à tecnologia, além de promover o letramento midiático e a consciência crítica em relação ao uso das mídias e tecnologias na sociedade.",EVID_TAIWAN_Q03_TW_001_P0025_001; EVID_TAIWAN_Q03_TW_001_P0029_002,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q04_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q04,Q04,C04,OECD_PISA,taiwan,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"As evidências destacam a importância do uso responsável da tecnologia e da compreensão das questões sociais relacionadas, que são dimensões reconhecidas pelos referenciais da UNESCO e OECD/PISA.",EVID_TAIWAN_Q04_TW_001_P0043_001; EVID_TAIWAN_Q04_TW_001_P0042_002,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q05_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI nos documentos curriculares incluem habilidades de colaboração, comunicação, pensamento crítico e consciência social.",EVID_TAIWAN_Q05_TW_001_P0029_001; EVID_TAIWAN_Q05_TW_001_P0029_002; EVID_TAIWAN_Q05_TW_001_P0029_003; EVID_TAIWAN_Q05_TW_001_P0027_004,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q06_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A integração de competências como colaboração, criatividade e resolução de problemas ocorre através do uso de ferramentas de tecnologia, design, e práticas de trabalho em equipe nas atividades curriculares.",EVID_TAIWAN_Q06_TW_001_P0026_001; EVID_TAIWAN_Q06_TW_001_P0011_002; EVID_TAIWAN_Q06_TW_001_P0011_003,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q07_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam a ética, privacidade, segurança e o uso responsável das tecnologias digitais ao discutir tópicos como a compreensão das relações entre tecnologia e sociedade, os impactos sociais e ambientais da tecnologia, e a necessidade de respeitar a ética e a legislação relacionada ao uso de informações e comunicação.",EVID_TAIWAN_Q07_TW_001_P0027_001; EVID_TAIWAN_Q07_TW_001_P0027_002,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q08_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","Nos documentos, inclusão, acessibilidade e equidade digital são abordadas com foco em desenvolver habilidades para colaboração digital e responsabilidade social, além de promover a participação ativa em assuntos de tecnologia e ciência.",EVID_TAIWAN_Q08_TW_001_P0026_001; EVID_TAIWAN_Q08_TW_001_P0029_002; EVID_TAIWAN_Q08_TW_001_P0029_003,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q09_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O equilíbrio entre as dimensões técnicas da Computação e as dimensões sociais, culturais, éticas e humanas da Educação Digital é refletido na capacidade de integração do conhecimento tecnológico com a responsabilidade social. Os educandos são incentivados a entender as leis, ética e questões sociais relacionadas à tecnologia, promovendo uma abordagem crítica e consciente do seu uso na sociedade.",EVID_TAIWAN_Q09_TW_001_P0028_001; EVID_TAIWAN_Q09_TW_001_P0029_002; EVID_TAIWAN_Q09_TW_001_P0028_003,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
RESP_TAIWAN_Q10_20260912T145057Z,RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,taiwan,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo relacionado à Computação e Educação Digital em Taiwan promove o pensamento crítico, a autonomia e a participação social através de práticas que incentivam a colaboração e a análise crítica de questões sociais e éticas em tecnologia.",EVID_TAIWAN_Q10_TW_001_P0026_001; EVID_TAIWAN_Q10_TW_001_P0029_002; EVID_TAIWAN_Q10_TW_001_P0042_003,openai,3.0,rag-country-v3.2,2026-09-12T14:50:57.560559+00:00,candidate,
