response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_FINLANDIA_Q01_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O país organiza as competências de Computação e Educação Digital em sua nova currícula central. As competências transversais incluem a 'competência em TIC', que é uma parte fundamental das habilidades necessárias para a vida cotidiana e para o futuro sustentável. Os módulos de aprendizagem multidisciplinares são obrigatórios e devem integrar diferentes disciplinas, envolvendo os alunos no planejamento, promovendo o diálogo e a colaboração.",EVID_FINLANDIA_Q01_FI_001_P0001_001; EVID_FINLANDIA_Q01_FI_001_P0002_002,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q02_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional está incorporado como uma das competências transversais definidas no currículo nacional da Finlândia, que inclui raciocínio e aprendizagem para aprender, competência intercultural e competências em TIC.",EVID_FINLANDIA_Q02_FI_001_P0001_001,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q03_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital, ética digital e letramento midiático através de competências transversais, como competência cultural, interação e expressão, além de promover a participação e construção de um futuro sustentável.",EVID_FINLANDIA_Q03_FI_001_P0001_001,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q04_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q04,Q04,C04,OECD_PISA,finlandia,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"A nova currículo nacional para a educação básica na Finlândia tem convergências claras com os princípios e dimensões dos referenciais UNESCO e OECD/PISA, especialmente no que diz respeito à ênfase em competências transversais como a participação, responsabilidade ambiental e a promoção da equidade e igualdade.",EVID_FINLANDIA_Q04_FI_001_P0002_001; EVID_FINLANDIA_Q04_FI_001_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q05_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI identificadas nos documentos curriculares da Finlândia incluem: pensamento e aprendizagem a aprender, competência cultural, interação e expressão, cuidado pessoal e gestão da vida diária, multiliteracia, competência em TIC, competência para o mundo do trabalho e empreendedorismo, participação, envolvimento e construção de um futuro sustentável.",EVID_FINLANDIA_Q05_FI_001_P0002_001,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q06_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A nova curriculum na Finlândia incorpora a colaboração, criatividade e resolução de problemas através de módulos de aprendizagem multidisciplinares e ênfase na participação ativa dos alunos. A escola promove interação enriquecedora entre alunos e professores.",EVID_FINLANDIA_Q06_FI_001_P0001_001; EVID_FINLANDIA_Q06_FI_001_P0002_002,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q07_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam a ética, privacidade e segurança através de um ensino que promove a cultura de aprendizagem, valores de participação e democracia, além de um foco na sustentabilidade e no bem-estar dos alunos. A integração de módulos de aprendizagem multidisciplinares é ressaltada como uma forma de educar os alunos para um futuro sustentável.",EVID_FINLANDIA_Q07_FI_001_P0001_001; EVID_FINLANDIA_Q07_FI_001_P0002_002; EVID_FINLANDIA_Q07_FI_001_P0002_003,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q08_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","A inclusão, acessibilidade e equidade digital na Finlândia são sustentadas por valores que promulgan a educação de qualidade como um direito para todos os alunos. Existe um foco na diversidade linguística e cultural, sendo promovida uma escola que atue como uma comunidade de aprendizagem, com ênfase na participação e democracia. O currículo enfatiza a promoção da equidade, igualdade, interação respeitosa e construção de ambientes de aprendizagem seguros e diversos, onde cada aluno é valorizado e incentivado.",EVID_FINLANDIA_Q08_FI_001_P0002_001; EVID_FINLANDIA_Q08_FI_001_P0003_002,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q09_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O currículo nacional da Finlândia enfatiza a importância da interação entre dimensões técnicas e sociais na educação, promovendo um ambiente de aprendizado seguro e inclusivo que integra conhecimentos e habilidades de diversas disciplinas.",EVID_FINLANDIA_Q09_FI_001_P0001_001; EVID_FINLANDIA_Q09_FI_001_P0002_002,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
RESP_FINLANDIA_Q10_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo promove o pensamento crítico, a autonomia e a participação social através da valorização da aprendizagem ativa, da promoção de interações significativas entre alunos e professores, e da implementação de módulos de aprendizagem multidisciplinares que envolvem a participação dos alunos no planejamento e execução.",EVID_FINLANDIA_Q10_FI_001_P0001_001; EVID_FINLANDIA_Q10_FI_001_P0002_002; EVID_FINLANDIA_Q10_FI_001_P0003_003,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
