evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_RUANDA_Q01_RW_001_P0008_001,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q01,RESP_RUANDA_Q01_20260912T144341Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,RW_001,RW_001__RW_001.md,8,8,4,en,ICT in education is to be used to enhance teaching and learning and prepare citizens who will adapt in this newly created environment.,A TIC na educação deve ser utilizada para melhorar o ensino e a aprendizagem e preparar cidadãos que se adaptarão a esse novo ambiente.,translated,,informative,candidate,
EVID_RUANDA_Q01_RW_001_P0009_002,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q01,RESP_RUANDA_Q01_20260912T144341Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,RW_001,RW_001__RW_001.md,9,9,5,en,"Broad subject competences are highlighted and broken into key competences for each level these are further broken into key unit competences which are finally split into learning objectives (knowledge, skills, attitudes and values) in every learning unit.","As competências amplas da disciplina são destacadas e divididas em competências-chave para cada nível, que são posteriormente divididas em competências de unidade-chave, que são finalmente divididas em objetivos de aprendizagem (conhecimentos, habilidades, atitudes e valores) em cada unidade de aprendizagem.",translated,,informative,candidate,
EVID_RUANDA_Q01_RW_001_P0008_003,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q01,RESP_RUANDA_Q01_20260912T144341Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,RW_001,RW_001__RW_001.md,8,9,6,en,"The national policy documents based on national aspirations identify some ‘basic competences’ alongside the ‘generic competences’ that will develop higher order thinking skills and help student learn subject content and promote application of acquired knowledge, skills, attitudes and values.","Os documentos de política nacional baseados nas aspirações nacionais identificam algumas 'competências básicas' ao lado das 'competências genéricas' que desenvolverão habilidades de pensamento de ordem superior e ajudarão os alunos a aprender o conteúdo da disciplina e promover a aplicação do conhecimento, habilidades, atitudes e valores adquiridos.",translated,,informative,candidate,
EVID_RUANDA_Q02_RW_001_P0009_001,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q02,RESP_RUANDA_Q02_20260912T144341Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,RW_001,RW_001__RW_001.md,9,9,1,English,"The national policy documents based on national aspirations identify some ‘basic competences’ alongside the ‘generic competences’ that will develop higher order thinking skills and help student learn subject content and promote application of acquired knowledge, skills, attitudes and values.","Os documentos de política nacional baseados nas aspirações nacionais identificam algumas 'competências básicas' juntamente com as 'competências genéricas' que desenvolverão habilidades de pensamento de ordem superior e ajudarão os alunos a aprender o conteúdo do assunto e a promover a aplicação dos conhecimentos, habilidades, atitudes e valores adquiridos.",translated,0.9,supportive,candidate,
EVID_RUANDA_Q02_RW_001_P0018_002,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q02,RESP_RUANDA_Q02_20260912T144341Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,RW_001,RW_001__RW_001.md,18,18,2,English,"Students will have the opportunity to apply ICT in different contexts, and see its importance in daily life.",Os alunos terão a oportunidade de aplicar TIC em diferentes contextos e ver sua importância na vida cotidiana.,translated,0.85,supportive,candidate,
EVID_RUANDA_Q03_RW_001_P0021_001,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q03,RESP_RUANDA_Q03_20260912T144341Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,RW_001,RW_001__RW_001.md,21,21,RW_001_p0021_c001,en,● Use the internet ethically in doing researches.,● Use a internet eticamente em pesquisas.,translated,,supporting,candidate,
EVID_RUANDA_Q03_RW_001_P0021_002,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q03,RESP_RUANDA_Q03_20260912T144341Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,RW_001,RW_001__RW_001.md,21,21,1,en,● Learners will discuss internet ethics and web security strategies.,● Os alunos discutirão ética na internet e estratégias de segurança na web.,translated,,supporting,candidate,
EVID_RUANDA_Q04_RW_001_P0009_001,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q04,RESP_RUANDA_Q04_20260912T144341Z,Q04,C04,OECD_PISA,ruanda,RW_001,RW_001__RW_001.md,9,9,4,en,"Broad subject competences are highlighted and broken into key competences for each level these are further broken into key unit competences which are finally split into learning objectives (knowledge, skills, attitudes and values) in every learning unit.","As competências amplas em ICT são destacadas e desmembradas em competências principais para cada nível, estas são ainda divididas em competências de unidade chave, que são finalmente divididas em objetivos de aprendizagem (conhecimentos, habilidades, atitudes e valores) em cada unidade de aprendizagem.",translated,,supporting,candidate,
EVID_RUANDA_Q04_RW_001_P0009_002,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q04,RESP_RUANDA_Q04_20260912T144341Z,Q04,C04,OECD_PISA,ruanda,RW_001,RW_001__RW_001.md,9,9,4,en,"Through observations, applying ICT skills, and presentation of information acquired during the learning process, the student will not only develop different ICT skills but also deductive and inductive skills, creativity and innovation skills, cooperation and communication, critical thinking and problem solving skills.","Através de observações, aplicação de habilidades de ICT e apresentação de informações adquiridas durante o processo de aprendizagem, o aluno não apenas desenvolverá diferentes habilidades de ICT, mas também habilidades dedutivas e indutivas, habilidades de criatividade e inovação, cooperação e comunicação, pensamento crítico e habilidades de resolução de problemas.",translated,,supporting,candidate,
EVID_RUANDA_Q05_RW_001_P0009_001,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q05,RESP_RUANDA_Q05_20260912T144341Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,RW_001,RW_001__RW_001.md,9,9,1,en,"The national policy documents based on national aspirations identify some ‘basic competences’ alongside the ‘generic competences’ that will develop higher order thinking skills and help student learn subject content and promote application of acquired knowledge, skills, attitudes and values.","Os documentos de política nacional, baseados em aspirações nacionais, identificam algumas ‘competências básicas’ juntamente com as ‘competências genéricas’ que desenvolverão habilidades de pensamento de ordem superior e ajudarão os alunos a aprender o conteúdo das disciplinas e promover a aplicação do conhecimento, habilidades, atitudes e valores adquiridos.",translated,,supporting,candidate,
