response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_REINO_UNIDO_Q01_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Os documentos curriculares do Reino Unido definem e organizam as competências de Computação e Educação Digital através de objetivos claros e conteúdos específicos para diferentes etapas do ensino. Os alunos devem ser capacitados a entender e aplicar princípios fundamentais da ciência da computação, desenvolver habilidades de resolução de problemas e utilizar tecnologias digitais de maneira adequada e responsável.",EVID_REINO_UNIDO_Q01_UK_001_P0001_001; EVID_REINO_UNIDO_Q01_UK_002_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q02_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é definido como um conjunto de princípios e conceitos fundamentais, incluindo abstração, lógica, algoritmos e representação de dados, que são ensinados aos alunos do Reino Unido ao longo do currículo nacional de computação. O desenvolvimento desse pensamento envolve a análise de problemas em termos computacionais e a experiência prática em programação para resolvê-los.",EVID_REINO_UNIDO_Q02_UK_001_P0001_001; EVID_REINO_UNIDO_Q02_UK_002_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q03_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam a cidadania digital e a ética digital enfatizando a segurança no uso da tecnologia, privacidade e a responsabilidade dos alunos ao utilizar as tecnologias de informação e comunicação.",EVID_REINO_UNIDO_Q03_UK_001_P0001_001; EVID_REINO_UNIDO_Q03_UK_002_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q04_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q04,Q04,C04,OECD_PISA,reino-unido,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"O currículo nacional para computação no Reino Unido garante que todos os alunos desenvolvam habilidades em ciências da computação, que incluem a aplicação das principais dimensões presentes nos referenciais UNESCO e OECD/PISA, como o desenvolvimento do pensamento computacional, criatividade e alfabetização digital dos alunos.",EVID_REINO_UNIDO_Q04_UK_001_P0001_001; EVID_REINO_UNIDO_Q04_UK_002_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q05_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI nos documentos curriculares incluem a capacidade de compreender e aplicar princípios de ciência da computação, análise de problemas em termos computacionais, uso responsável da tecnologia, e desenvolvimento de habilidades criativas e de pensamento crítico.",EVID_REINO_UNIDO_Q05_UK_001_P0001_001; EVID_REINO_UNIDO_Q05_UK_002_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q06_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A educação em computação no Reino Unido incorpora colaboração, criatividade e resolução de problemas através de práticas específicas no currículo, como a realização de projetos criativos que envolvem a seleção, uso e combinação de várias aplicações para alcançar metas desafiadoras e a capacidade de decompor problemas em partes menores para resolução.",EVID_REINO_UNIDO_Q06_UK_002_P0001_001; EVID_REINO_UNIDO_Q06_UK_002_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q07_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam a segurança e o uso responsável das tecnologias digitais, mencionando que os alunos devem usar a tecnologia de forma segura e respeitosa, mantendo informações pessoais privadas e identificando onde buscar ajuda em caso de preocupações sobre conteúdos ou contatos na internet. Além disso, eles devem entender como mudanças na tecnologia afetam a segurança, incluindo novas maneiras de proteger sua privacidade online e como identificar e relatar uma variedade de preocupações.",EVID_REINO_UNIDO_Q07_UK_001_P0002_001; EVID_REINO_UNIDO_Q07_UK_002_P0003_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q08_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","Os documentos tratam da inclusão, acessibilidade e equidade digital por meio da necessidade de garantir que todos os alunos se tornem usuários competentes e criativos da tecnologia da informação e comunicação, reconhecendo a importância de usar a tecnologia de maneira segura, respeitosa e responsável. Além disso, enfatizam a inclusão digital como parte do currículo, assegurando que todos os alunos tenham acesso e apoio adequados.",EVID_REINO_UNIDO_Q08_UK_001_P0001_001; EVID_REINO_UNIDO_Q08_UK_002_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q09_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O currículo de computação no Reino Unido enfatiza a importância da alfabetização digital e do pensamento computacional, onde as dimensões técnicas da computação estão intrinsecamente ligadas às dimensões sociais e éticas, preparando os alunos não só para resolver problemas técnicos, mas também para atuar como cidadãos responsáveis em um mundo digital.",EVID_REINO_UNIDO_Q09_UK_001_P0001_001; EVID_REINO_UNIDO_Q09_UK_001_P0002_002,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
RESP_REINO_UNIDO_Q10_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z,RUN_REINO_UNIDO_20260912T144124Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,reino-unido,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo de Computação no Reino Unido promove pensamento crítico, autonomia e participação social ao desenvolver habilidades de raciocínio lógico, permitir a criação e depuração de programas, e encorajar o uso de tecnologia de forma responsável e criativa.",EVID_REINO_UNIDO_Q10_UK_001_P0001_001; EVID_REINO_UNIDO_Q10_UK_001_P0002_002; EVID_REINO_UNIDO_Q10_UK_002_P0002_003,openai,3.0,rag-country-v3.2,2026-09-12T14:41:24.001618+00:00,candidate,
