response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_AFRICA_DO_SUL_Q13_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,africa-do-sul,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os documentos analisados da África do Sul apresentam eixos recorrentes relacionados a tecnologias da informação e comunicação (TIC), gestão de dados e desenvolvimento de soluções através do pensamento computacional.",EVID_AFRICA_DO_SUL_Q13_AF_ZA_01_P0022_001; EVID_AFRICA_DO_SUL_Q13_AF_ZA_02_P0017_002,openai,3.0,rag-country-v3.2,2026-09-12T14:04:54.850066+00:00,candidate,
RESP_AUSTRALIA_Q13_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,australia,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os eixos, conceitos e competências recorrentes nos documentos analisados incluem a identificação de sistemas digitais, o processamento e representação de dados, a criação de soluções projetadas e a consideração da sustentabilidade.",EVID_AUSTRALIA_Q13_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q13_OC_AU_01_P0001_002; EVID_AUSTRALIA_Q13_OC_AU_02_P0001_003,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_BRASIL_Q13_20260912T140932Z,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,brasil,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os documentos analisados mencionam recorrentemente eixos relacionados a: língua portuguesa, matemática, conhecimento do mundo físico e natural, realidade social e política do Brasil, arte, educação física, história, sociologia, filosofia e línguas estrangeiras. Também são abordadas as competências de aplicar conhecimentos em contextos sociais e de trabalho, desenvolvimento do pensamento crítico e científico, e a compreensão das dinâmicas socioespaciais.",EVID_BRASIL_Q13_BR_004_P0477_001; EVID_BRASIL_Q13_BR_003_P0550_002,openai,3.0,rag-country-v3.2,2026-09-12T14:09:32.001422+00:00,candidate,
RESP_CANADA_Q13_20260912T141201Z,RUN_CANADA_20260912T141201Z,RUN_CANADA_20260912T141201Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,canada,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os eixos e conceitos recorrentes nos documentos analisados do Canadá incluem: a centralidade nas pessoas no design de serviços, a importância da inclusão, equidade e acesso, e a utilização de abordagens ágeis e centradas no usuário na entrega de serviços digitais.",EVID_CANADA_Q13_CA_003_P0001_001; EVID_CANADA_Q13_CA_003_P0004_002; EVID_CANADA_Q13_CA_003_P0037_003,openai,3.0,rag-country-v3.2,2026-09-12T14:12:01.973498+00:00,candidate,
RESP_CHILE_Q13_20260912T141439Z,RUN_CHILE_20260912T141439Z,RUN_CHILE_20260912T141439Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,chile,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os eixos recorrentes nos documentos analisados incluem a comunicação, apreciação e análise musical, bem como a valorização crítica da música. Além disso, as competências incluem a identificação de elementos do linguagem musical e a capacidade de argumentar e formular hipóteses com base em evidências.",EVID_CHILE_Q13_CL_002_P0310_001; EVID_CHILE_Q13_CL_002_P0310_002; EVID_CHILE_Q13_CL_002_P0310_003,openai,3.0,rag-country-v3.2,2026-09-12T14:14:39.273509+00:00,candidate,
RESP_CHINA_Q13_20260912T141700Z,RUN_CHINA_20260912T141700Z,RUN_CHINA_20260912T141700Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,china,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os documentos analisados na China abordam temas recorrentes como o uso de tecnologias digitais na educação, competências em gerenciamento de informações e a importância da ética no uso da tecnologia.",EVID_CHINA_Q13_AS_CN_01_P0034_001; EVID_CHINA_Q13_AS_CN_01_P0010_002; EVID_CHINA_Q13_AS_CN_01_P0054_003,openai,3.0,rag-country-v3.2,2026-09-12T14:17:00.161658+00:00,candidate,
RESP_COREIA_DO_SUL_Q13_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,coreia-do-sul,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os documentos analisados mencionam a criação de um ambiente educacional digital inteligente, a realização de serviços educacionais personalizados com o uso de TIC, e o desenvolvimento e disseminação de materiais didáticos digitais como eixos estratégicos recorrentes.",EVID_COREIA_DO_SUL_Q13_KR_001_P0038_001; EVID_COREIA_DO_SUL_Q13_KR_001_P0052_002; EVID_COREIA_DO_SUL_Q13_KR_001_P0050_003,openai,3.0,rag-country-v3.2,2026-09-12T14:19:43.691855+00:00,candidate,
RESP_ESTONIA_Q13_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,RUN_ESTONIA_20260912T135902Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,estonia,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os eixos, conceitos e competências recorrentes nos documentos analisados da Estônia incluem: capacidade de aprender, empatia e responsabilidade social, habilidades de comunicação e expressão em múltiplas línguas, competências para resolução de problemas matemáticos e entendimento de questões ambientais, além do uso responsável da tecnologia e apreciação da arte.",EVID_ESTONIA_Q13_EU_EE_01_PNA_001; EVID_ESTONIA_Q13_EU_EE_01_PNA_002; EVID_ESTONIA_Q13_EU_EE_01_PNA_003; EVID_ESTONIA_Q13_EU_EE_02_P0005_004,openai,3.0,rag-country-v3.2,2026-09-12T13:59:02.489720+00:00,candidate,
RESP_EUA_Q13_20260912T142218Z,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,eua,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os documentos analisados frequentemente mencionam a importância da inclusão, equidade e diversidade no contexto da educação em ciência da computação. Também destaca a necessidade de considerar as diversas necessidades dos usuários durante o processo de design de artefatos computacionais.",EVID_EUA_Q13_US_001_P0039_001; EVID_EUA_Q13_US_001_P0046_002; EVID_EUA_Q13_US_001_P0039_003,openai,3.0,rag-country-v3.2,2026-09-12T14:22:18.546466+00:00,candidate,
RESP_FINLANDIA_Q13_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,finlandia,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os documentos analisados da Finlândia apresentam eixos recorrentes nas competências, destacando a importância da educação integrada e transversal. As competências transversais incluem: pensamento e aprendizagem, competência cultural, interação e expressão, gestão da vida diária, multiliteracia, competência em TIC, e capacidades de vida profissional e empreendedorismo. Os documentos também enfatizam a promoção da participação, envolvimento e construção de um futuro sustentável.",EVID_FINLANDIA_Q13_FI_001_P0001_001; EVID_FINLANDIA_Q13_FI_001_P0002_002,openai,3.0,rag-country-v3.2,2026-09-12T14:24:41.221310+00:00,candidate,
