pais,documentos,paginas_totais,paginas_problematicas,percentual_paginas_problematicas,Grupo A,Grupo B,Grupo C,Grupo D
Unesco,6,806,15,1.8610421836228288,6,0,0,0
africa-do-sul,2,121,1,0.8264462809917356,2,0,0,0
australia,2,8,0,0.0,2,0,0,0
brasil,20,1778,78,4.386951631046119,8,10,0,2
canada,3,48,1,2.0833333333333335,3,0,0,0
chile,5,1391,242,17.397555715312723,3,2,0,0
china,2,97,97,100.0,0,0,2,0
coreia-do-sul,1,323,13,4.024767801857585,0,1,0,0
estonia,2,28,0,0.0,2,0,0,0
eua,1,307,31,10.09771986970684,0,1,0,0
finlandia,1,2,0,0.0,1,0,0,0
gana,2,171,0,0.0,2,0,0,0
hong-kong,2,357,27,7.563025210084033,0,2,0,0
irlanda,1,36,3,8.333333333333334,1,0,0,0
japao,2,803,12,1.4943960149439601,0,2,0,0
nova-zelandia,2,18,0,0.0,2,0,0,0
pisa,1,492,1,0.2032520325203252,1,0,0,0
quenia,2,170,0,0.0,2,0,0,0
reino-unido,2,5,0,0.0,2,0,0,0
ruanda,1,49,0,0.0,1,0,0,0
singapura,18,584,22,3.767123287671233,17,0,1,0
suica,3,35,2,5.714285714285714,3,0,0,0
taiwan,1,54,2,3.7037037037037037,1,0,0,0
uruguai,3,654,46,7.033639143730887,1,2,0,0
