document_id,source_scope,framework_source,country,country_code,continent,title,year,language,file_name,source_path,document_role,validation_status,audit_group,audit_status,pages,pages_problematic,percent_problematic,needs_ocr,structural_error,rag_ingest_status,processing_action
PISA_001,international_reference,OECD/PISA,,,,53f23881-en,,,53f23881-en.pdf,pisa/53f23881-en.pdf,reference,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
UNESCO_001,international_reference,UNESCO,,,,234132poreducação técnica,,,234132poreducação técnica.pdf,Unesco/234132poreducação técnica.pdf,reference,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
UNESCO_002,international_reference,UNESCO,,,,244826poreducação para a cidadania global2015,2015,,244826poreducação para a cidadania global2015.pdf,Unesco/244826poreducação para a cidadania global2015.pdf,reference,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
UNESCO_003,international_reference,UNESCO,,,,371391porum guia para formuladores de políticas,,,371391porum guia para formuladores de políticas.pdf,Unesco/371391porum guia para formuladores de políticas.pdf,reference,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
UNESCO_004,international_reference,UNESCO,,,,374309eng,,,374309eng.pdf,Unesco/374309eng.pdf,reference,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
UNESCO_005,international_reference,UNESCO,,,,375503porum guia para professores da educação secundária,,,375503porum guia para professores da educação secundária.pdf,Unesco/375503porum guia para professores da educação secundária.pdf,reference,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
UNESCO_006,international_reference,UNESCO,,,,381115por_unesco reimaginando a educação futuro_2021,2021,,381115por_unesco reimaginando a educação futuro_2021.pdf,Unesco/381115por_unesco reimaginando a educação futuro_2021.pdf,reference,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
AF-ZA-01,national,,africa-do-sul,ZA,africa,africa-do-sul_caps_computer-applications-technology_grades-10-12,,,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,africa-do-sul/africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,primary,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
AF-ZA-02,national,,africa-do-sul,ZA,africa,africa-do-sul_caps_information-technology_grades-10-12,,,africa-do-sul_caps_information-technology_grades-10-12.pdf,africa-do-sul/africa-do-sul_caps_information-technology_grades-10-12.pdf,primary,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
OC-AU-01,national,,australia,AU,oceania,australia_digital-technologies-v9_sequence-achievement_2022,2022,,australia_digital-technologies-v9_sequence-achievement_2022.pdf,australia/australia_digital-technologies-v9_sequence-achievement_2022.pdf,primary,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
OC-AU-02,national,,australia,AU,oceania,australia_digital-technologies-v9_sequence-content_2022,2022,,australia_digital-technologies-v9_sequence-content_2022.pdf,australia/australia_digital-technologies-v9_sequence-content_2022.pdf,complementary,validated,Grupo A,HTML_MACHINE_READABLE,1,0,0,False,False,ready,direct_page_extraction
