grupo,rank,termo,tfidf,documento_fonte,trecho
africa-do-sul,1,solution development,0.07792691,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,...14 3.1 Solution Development...
africa-do-sul,2,week hours,0.07636537,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,"...Natural Science and Technology 3,5 Social Sciences 3 Life Skills  Creative Arts  Physical Education  Personal and Social Well-being 4 (1,5) (1) (1,5)..."
africa-do-sul,3,weeks hours,0.06930194,africa-do-sul_caps_information-technology_grades-10-12.pdf,...comprehend and apply the concepts of data and information management to understand how a knowledge-driven society functions; and  understand the social...
africa-do-sul,4,grade term,0.06783737,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
africa-do-sul,5,practical theory,0.06590404,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
africa-do-sul,6,before end,0.06399649,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,"...can be answered explicitly by facts, e.g. questions starting with words such as What? When? Where? Who? How many? etc. o Questions that will help you to examine,..."
africa-do-sul,7,systems technologies,0.06293438,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,...14 3.2 Systems Technologies...
africa-do-sul,8,curriculum statement,0.06255847,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,...GLOSSARY OF ACRONYMS AND ABBREVIATIONS .................................................................... 61 4 | P a g e Section 1 Curriculum and Assessment...
africa-do-sul,9,covered per,0.06217398,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,"...of tools and techniques  Quality control of report  Clear link between original task/problem, discussion and conclusion 21 | P a g e 3.6 Social..."
africa-do-sul,10,statement grades,0.06177834,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,...OF ACRONYMS AND ABBREVIATIONS .................................................................... 61 4 | P a g e Section 1 Curriculum and Assessment Policy...
australia,1,digital systems,0.13901965,australia_digital-technologies-v9_sequence-achievement_2022.pdf,"...identify familiar products, services and environments and develop familiarity with digital systems, using them for a purpose. They create, communicate and choose..."
australia,2,digital tools,0.12868364,australia_digital-technologies-v9_sequence-achievement_2022.pdf,"...select design ideas based on their personal preferences. They access and use the basic features of common digital tools to create, locate and share content, and..."
australia,3,end year,0.11694215,,NAO_LOCALIZADO (existe apenas na forma tokenizada; conferir no PDF via Ctrl+F)
australia,4,digital solutions,0.1152744,australia_digital-technologies-v9_sequence-achievement_2022.pdf,...follow and describe basic algorithms involving a sequence of steps and branching to show how simple digital solutions meet a need for known users. For each of the 2...
australia,5,products services,0.11306082,australia_digital-technologies-v9_sequence-achievement_2022.pdf,"...Years 1 and 2 Years 3 and 4 By the end of Foundation students identify familiar products, services and environments and develop familiarity with digital systems,..."
australia,6,explain how,0.09804132,australia_digital-technologies-v9_sequence-achievement_2022.pdf,...Students identify their personal data stored online and its risks. Years 5 and 6 Years 7 and 8 By the end of Year 6 students explain how people design...
australia,7,safely,0.09468074,australia_digital-technologies-v9_sequence-achievement_2022.pdf,...and choose design ideas. Students follow steps and use materials and equipment to safely make a designed solution for a school- selected context....
australia,8,algorithms,0.09445075,australia_digital-technologies-v9_sequence-achievement_2022.pdf,...digital systems. They represent and process data in different ways and follow and describe basic algorithms involving a sequence of steps and branching to...
australia,9,students,0.09381411,australia_digital-technologies-v9_sequence-achievement_2022.pdf,"...achievement F-8 Foundation Years 1 and 2 Years 3 and 4 By the end of Foundation students identify familiar products, services and environments and develop..."
australia,10,designed,0.09329079,australia_digital-technologies-v9_sequence-achievement_2022.pdf,...design ideas. Students follow steps and use materials and equipment to safely make a designed solution for a school- selected context. They show how to...
brasil,1,incluido pela,0.03186246,brasil_ldb-lei-9394_compilada_1996-atualizada.pdf,"...o trabalho e as práticas sociais. XII - consideração com a diversidade étnico-racial. (Incluído pela Lei nº 12.796, de 2013) XIII - garantia do direito à..."
