arquivo,pais,paginas,paginas_problematicas,percentual_problematico,status,grupo_analitico
"/content/corpus/suica/tecnologie-e-media-modello-di-competenza_cantão do ticino — piano di studio, tecnologie e media.pdf",suica,9,1,11.11111111111111,OK_COM_ATENCAO,Grupo A
"/content/corpus/suica/zh_de_modul_mi_suíça alemã — lehrplan 21, medien und informatik.pdf",suica,19,1,5.263157894736842,OK_COM_ATENCAO,Grupo A
"/content/corpus/suica/en33_per_education numerique_suíça francófona — plan d’études romand, éducation numérique.pdf",suica,7,0,0.0,OK,Grupo A
/content/corpus/Unesco/234132poreducação técnica.pdf,Unesco,231,1,0.4329004329004329,OK,Grupo A
/content/corpus/Unesco/371391porum guia para formuladores de políticas.pdf,Unesco,71,5,7.042253521126761,OK_COM_ATENCAO,Grupo A
/content/corpus/Unesco/375503porum guia para professores da educação secundária.pdf,Unesco,84,4,4.761904761904762,OK,Grupo A
/content/corpus/Unesco/381115por_unesco reimaginando a educação futuro_2021.pdf,Unesco,189,0,0.0,OK,Grupo A
/content/corpus/Unesco/374309eng.pdf,Unesco,161,1,0.6211180124223602,OK,Grupo A
/content/corpus/Unesco/244826poreducação para a cidadania global2015.pdf,Unesco,70,4,5.714285714285714,OK_COM_ATENCAO,Grupo A
/content/corpus/nova-zelandia/nova-zelandia_now-underway-dt-implementation_2020.pdf,nova-zelandia,2,0,0.0,OK,Grupo A
/content/corpus/nova-zelandia/nova-zelandia_dt-implementation-support-tool_2020.pdf,nova-zelandia,16,0,0.0,OK,Grupo A
/content/corpus/brasil/brasil_bncc-computacao_complemento-bncc_2022.pdf,brasil,75,5,6.666666666666667,OK_COM_ATENCAO,Grupo B
/content/corpus/brasil/brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025.pdf,brasil,13,0,0.0,OK,Grupo A
/content/corpus/brasil/brasil_resolucao-cne-cp-2_bncc_2017.pdf,brasil,12,0,0.0,OK,Grupo B
/content/corpus/brasil/brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025.pdf,brasil,13,0,0.0,OK,Grupo A
/content/corpus/brasil/brasil_parecer-cne-cp-15_bncc_2017.pdf,brasil,58,0,0.0,OK,Grupo B
/content/corpus/brasil/brasil_curriculo-referencia-tecnologia-computacao-cieb_2018.pdf,brasil,35,7,20.0,OK_COM_ATENCAO,Grupo A
/content/corpus/brasil/brasil_bncc-computacao_anexo-parecer-cneceb-2_2022.pdf,brasil,75,5,6.666666666666667,OK_COM_ATENCAO,Grupo B
/content/corpus/brasil/brasil_politica-nacional-educacao-digital-lei-14533_2023.pdf,brasil,7,0,0.0,OK,Grupo A
