framework_id,area_code,area_name,competence_code,competence_name,description,keywords,source_page
UNESCO_DLGF_2018,0,Devices and software operations,0.1,Physical operations of digital devices,"To identify and use the functions and features of hardware tools and technologies.","device; devices; hardware; physical operation; turn on; turn off; peripheral; dispositivo; dispositivos; hardware; operação física; operacao fisica",23
UNESCO_DLGF_2018,0,Devices and software operations,0.2,Software operations in digital devices,"To know and understand the data, information and/or digital content needed to operate software tools and technologies.","software operation; operating software; user interface; application operation; operação de software; operacao de software; interface; aplicativo",23
UNESCO_DLGF_2018,1,Information and data literacy,1.1,"Browsing, searching and filtering data, information and digital content","To articulate information needs, search for data, information and content in digital environments, access them and navigate between them.","search; browse; filter; information needs; search strategy; buscar; pesquisar; filtrar; necessidade de informação; necessidade de informacao",23
UNESCO_DLGF_2018,1,Information and data literacy,1.2,"Evaluating data, information and digital content","To analyse, compare and critically evaluate the credibility and reliability of sources, data, information and digital content.","evaluate information; evaluate sources; credibility; reliability; critical evaluation; avaliar informação; avaliar informacao; credibilidade; confiabilidade; avaliação crítica; avaliacao critica",23
UNESCO_DLGF_2018,1,Information and data literacy,1.3,"Managing data, information and digital content","To organise, store and retrieve data, information and content in digital environments.","manage data; organise data; organize data; store data; retrieve data; gerenciar dados; organizar dados; armazenar dados; recuperar dados",23
UNESCO_DLGF_2018,2,Communication and collaboration,2.1,Interacting through digital technologies,"To interact through a variety of digital technologies and understand appropriate digital communication means for a given context.","digital interaction; digital communication; communicate online; interação digital; interacao digital; comunicação digital; comunicacao digital",23
UNESCO_DLGF_2018,2,Communication and collaboration,2.2,Sharing through digital technologies,"To share data, information and digital content through appropriate digital technologies, including referencing and attribution.","share information; share content; attribution; referencing; compartilhar informação; compartilhar informacao; compartilhar conteúdo; compartilhar conteudo; atribuição; atribuicao",23
UNESCO_DLGF_2018,2,Communication and collaboration,2.3,Engaging in citizenship through digital technologies,"To participate in society through public and private digital services and seek opportunities for participatory citizenship.","digital citizenship; participatory citizenship; digital public services; civic participation; cidadania digital; cidadania participativa; serviços digitais; servicos digitais; participação cidadã; participacao cidada",23
UNESCO_DLGF_2018,2,Communication and collaboration,2.4,Collaborating through digital technologies,"To use digital tools and technologies for collaborative processes and co-construction and co-creation of resources and knowledge.","digital collaboration; collaborate; co-creation; co-construction; colaboração digital; colaboracao digital; colaborar; cocriação; cocriacao",23
UNESCO_DLGF_2018,2,Communication and collaboration,2.5,Netiquette,"To be aware of behavioural norms and know-how while using digital technologies and interacting in digital environments.","netiquette; behavioural norms; online behavior; online behaviour; etiquette; netiqueta; normas de comportamento; comportamento online",24
UNESCO_DLGF_2018,2,Communication and collaboration,2.6,Managing digital identity,"To create and manage digital identities, protect reputation and deal with data produced through digital tools, environments and services.","digital identity; digital reputation; online identity; identidade digital; reputação digital; reputacao digital",24
UNESCO_DLGF_2018,3,Digital content creation,3.1,Developing digital content,"To create and edit digital content in different formats and express oneself through digital means.","create digital content; edit digital content; digital creation; criar conteúdo digital; criar conteudo digital; editar conteúdo digital; editar conteudo digital",24
UNESCO_DLGF_2018,3,Digital content creation,3.2,Integrating and re-elaborating digital content,"To modify, refine, improve and integrate information and content to create new, original and relevant content and knowledge.","integrate content; re-elaborate; remix; modify digital content; integrar conteúdo; integrar conteudo; reelaborar; modificar conteúdo digital; modificar conteudo digital",24
UNESCO_DLGF_2018,3,Digital content creation,3.3,Copyright and licences,"To understand how copyright and licences apply to data, information and digital content.","copyright; licence; license; intellectual property; direitos autorais; licença; licenca; propriedade intelectual",24
UNESCO_DLGF_2018,3,Digital content creation,3.4,Programming,"To plan and develop a sequence of understandable instructions for a computing system to solve a problem or perform a task.","programming; program; coding; sequence of instructions; programação; programacao; código; codigo; sequência de instruções; sequencia de instrucoes",24
UNESCO_DLGF_2018,4,Safety,4.1,Protecting devices,"To protect devices and digital content and understand risks and threats in digital environments.","protect devices; cybersecurity; security measures; digital threats; proteger dispositivos; cibersegurança; seguranca digital; ameaças digitais; ameacas digitais",24
UNESCO_DLGF_2018,4,Safety,4.2,Protecting personal data and privacy,"To protect personal data and privacy in digital environments and understand how personally identifiable information and privacy policies are used.","personal data; privacy; data protection; personally identifiable information; privacy policy; dados pessoais; privacidade; proteção de dados; protecao de dados; política de privacidade; politica de privacidade",24
UNESCO_DLGF_2018,4,Safety,4.3,Protecting health and well-being,"To avoid health risks and threats to physical and psychological well-being while using digital technologies and protect oneself and others in digital environments.","digital well-being; wellbeing; cyberbullying; health risk; psychological well-being; bem-estar digital; cyberbullying; risco à saúde; risco a saude; bem-estar psicológico; bem-estar psicologico",24
UNESCO_DLGF_2018,4,Safety,4.4,Protecting the environment,"To be aware of the environmental impact of digital technologies and their use.","environmental impact; e-waste; sustainable technology; impacto ambiental; lixo eletrônico; lixo eletronico; tecnologia sustentável; tecnologia sustentavel",24
UNESCO_DLGF_2018,5,Problem-solving,5.1,Solving technical problems,"To identify technical problems when operating devices and using digital environments and solve them.","technical problem; troubleshoot; troubleshooting; solve technical problems; problema técnico; problema tecnico; solucionar problemas técnicos; solucionar problemas tecnicos",25
UNESCO_DLGF_2018,5,Problem-solving,5.2,Identifying needs and technological responses,"To assess needs and identify, evaluate, select and use digital tools and possible technological responses, including accessibility.","technological response; technology needs; select digital tools; accessibility; resposta tecnológica; resposta tecnologica; necessidades tecnológicas; necessidades tecnologicas; selecionar ferramentas digitais; acessibilidade",25
UNESCO_DLGF_2018,5,Problem-solving,5.3,Creatively using digital technologies,"To use digital tools and technologies to create knowledge, innovate processes and products, and resolve conceptual problems in digital environments.","creative use; innovate; innovation; create knowledge; uso criativo; inovar; inovação; inovacao; criar conhecimento",25
UNESCO_DLGF_2018,5,Problem-solving,5.4,Identifying digital competence gaps,"To understand where one's digital competence needs improvement or updating and seek opportunities for development.","digital competence gap; skills gap; self-development; digital evolution; lacuna de competência digital; lacuna de competencia digital; desenvolvimento digital; atualização digital; atualizacao digital",25
UNESCO_DLGF_2018,5,Problem-solving,5.5,Computational thinking,"To process a computable problem into sequential and logical steps as a solution for human and computer systems.","computational thinking; algorithmic thinking; decomposition; abstraction; logical steps; pensamento computacional; pensamento algorítmico; pensamento algoritmico; decomposição; decomposicao; abstração; abstracao; passos lógicos; passos logicos",25
UNESCO_DLGF_2018,6,Career-related competences,6.1,Operating specialised digital technologies for a particular field,"To identify and use specialised digital tools and technologies for a particular field.","specialised digital technology; specialized digital technology; professional digital tools; tecnologia digital especializada; ferramentas digitais profissionais",25
UNESCO_DLGF_2018,6,Career-related competences,6.2,"Interpreting and manipulating data, information and digital content for a particular field","To understand, analyse and evaluate specialised data, information and digital content for a particular field within a digital environment.","specialised data; specialized data; domain data; professional data analysis; dados especializados; dados do domínio; dados do dominio; análise de dados profissional; analise de dados profissional",25
